Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"California Native American Tribes: The Santa Ynez Band of Chumash Indians is a federally recognized tribe that maintains a reservation within the EMA and will work with the EMA GSA. A representative of the Chumash Tribe is a member of the EMA CAG.

&&

The EMA GSA used focused methods to enhance the accessibility of the GSP development process to a diverse range of social, cultural, and economic elements of the population within the EMA. Section 10723.2(h) of SGMA provides that California Native American tribes are among the beneficial users of groundwater that must be considered by the EMA GSA in preparing the GSP. The Santa Ynez Band of Chumash Indians have a reservation within the EMA, and the Tribal Chairman indicated early in the process of developing the GSP that the Tribe looks forward to collaborating with the GSA. The EMA GSA remains in contact with and welcomes participation from the Santa Ynez Band of Chumash Indians in GSP development, and the Tribal Government has a representative on the EMA CAG.","2-38
2-43","1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment: Enagement= Inform & Involve
3. Evidence/strategies listed for level of engagement:

The Santa Ynez Band of Chumash is listed as a beneifical user and the GSP inludes language of targetted outreach and opporutnies of engagement & collaboration with the Tribe and is also represented on the EMA CAG. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Environmental users of groundwater: The California Department of Fish and Wildlife (CDFW) and the National Marine Fisheries Service (NMFS) have been involved in the EMA SGMA process regarding environmental uses of groundwater. Environmental users of groundwater were invited to apply to participate on the EMA CAG.

&&

The EMA GSA’s communications and engagement planning and implementation, public feedback and stakeholder comments on the plan, how feedback was incorporated into the GSP, and responses to comments received (Note: comments and responses to comments will be included in the final draft of the GSP, once all public comments have been received)","2-38

ES-2","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Engagement=Inform w/ intention to involve
3. Evidence/strategies listed for level of engagement:

Environmental users are identified and considered beneficial users in the GSP. Environmental stakeholder engagement documentation seems to be lacking, only provides very brief details of general stakeholder engagement. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"The EMA GSA has kept the public informed throughout the development of the GSP using the GCP and other means discussed herein and will continue to use this web-based tool during GSP implementation along with the Basin’s SGMA website that has GSA-specific pages. E-mails will be sent to interested parties to report on the progress made in implementing projects and actions. Direct mailings will also be sent to stakeholders who have requested direct mailings and provided a mailing address. EMA GSA Committee meetings will continue to be held to present information and invite the public to comment. Materials presented in EMA GSA Committee meetings to update the public on progress will also be made available to local agencies to use in communications with their own constituents, and they will be encouraged to share these materials. Annual reports will be prepared describing monitoring results and progress toward implementing the GSP and meeting sustainability goals. GSP updates must be submitted to DWR every 5 years, and stakeholders will be asked to review and comment on the updates.

&&

GSA Webpage A webpage5 listing public meetings and information about SGMA implementation in the Santa Ynez Basin is currently located at the Santa Barbara County website and the SYRWCD website. The County webpage and the Santa Ynez River Water Conservation District website6 will direct interested parties to register at the GCP (described below). Groundwater Communication Portal The web-based Santa Ynez GCP is an efficient, multi-functional, user-friendly tool that will be used to communicate with interested parties. The GCP will store interested party information and distribute email invitations for all EMA-related meetings and events that are posted to the GCP calendar. There are additional tools within the GCP that will be used to enhance stakeholder communication. These tools include the following: • E-Blast. E-mails will be sent to interested parties using the e-blast tool. E-blasts will be effective for sending reminders of upcoming deadlines, such as the close of a survey or comment period. Interested parties can sign up to receive the e-blasts and may also choose to unsubscribe from them. • Public Comment. During public comment periods, a form will be available on the GCP for interested parties to submit comments. The form allows comments to be submitted by Section of the Draft GSP and automatically stores the information for GSA review, reducing the risk of misplaced comments. Interested parties may also use the form to submit general comments. • Direct Mailing. At key points in the GSP development process, direct mailings will be sent to stakeholders who have requested direct mailings and provided a mailing address. More information about the GCP is provided in Appendix C.","2-43

Appendix J / 10","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

GSP provides general outreach methods applicable to all stakeholders. Does not include targetted outreach during implementation. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"The EMA GSA has kept the public informed throughout the development of the GSP using the GCP and other means discussed herein and will continue to use this web-based tool during GSP implementation along with the Basin’s SGMA website that has GSA-specific pages. E-mails will be sent to interested parties to report on the progress made in implementing projects and actions. Direct mailings will also be sent to stakeholders who have requested direct mailings and provided a mailing address. EMA GSA Committee meetings will continue to be held to present information and invite the public to comment. Materials presented in EMA GSA Committee meetings to update the public on progress will also be made available to local agencies to use in communications with their own constituents, and they will be encouraged to share these materials. Annual reports will be prepared describing monitoring results and progress toward implementing the GSP and meeting sustainability goals. GSP updates must be submitted to DWR every 5 years, and stakeholders will be asked to review and comment on the updates.&&GSA Webpage A webpage5 listing public meetings and information about SGMA implementation in the Santa Ynez Basin is currently located at the Santa Barbara County website and the SYRWCD website. The County webpage and the Santa Ynez River Water Conservation District website6 will direct interested parties to register at the GCP (described below). Groundwater Communication Portal The web-based Santa Ynez GCP is an efficient, multi-functional, user-friendly tool that will be used to communicate with interested parties. The GCP will store interested party information and distribute email invitations for all EMA-related meetings and events that are posted to the GCP calendar. There are additional tools within the GCP that will be used to enhance stakeholder communication. These tools include the following: • E-Blast. E-mails will be sent to interested parties using the e-blast tool. E-blasts will be effective for sending reminders of upcoming deadlines, such as the close of a survey or comment period. Interested parties can sign up to receive the e-blasts and may also choose to unsubscribe from them. • Public Comment. During public comment periods, a form will be available on the GCP for interested parties to submit comments. The form allows comments to be submitted by Section of the Draft GSP and automatically stores the information for GSA review, reducing the risk of misplaced comments. Interested parties may also use the form to submit general comments. • Direct Mailing. At key points in the GSP development process, direct mailings will be sent to stakeholders who have requested direct mailings and provided a mailing address. More information about the GCP is provided in Appendix C.","2-43

Appendix J / 10","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? 


GSP provides general outreach methods applicable to all stakeholders. Does not include targetted outreach during implementation. "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"The EMA GSA has kept the public informed throughout the development of the GSP using the GCP and other means discussed herein and will continue to use this web-based tool during GSP implementation along with the Basin’s SGMA website that has GSA-specific pages. E-mails will be sent to interested parties to report on the progress made in implementing projects and actions. Direct mailings will also be sent to stakeholders who have requested direct mailings and provided a mailing address. EMA GSA Committee meetings will continue to be held to present information and invite the public to comment. Materials presented in EMA GSA Committee meetings to update the public on progress will also be made available to local agencies to use in communications with their own constituents, and they will be encouraged to share these materials. Annual reports will be prepared describing monitoring results and progress toward implementing the GSP and meeting sustainability goals. GSP updates must be submitted to DWR every 5 years, and stakeholders will be asked to review and comment on the updates.

GSA Webpage A webpage5 listing public meetings and information about SGMA implementation in the Santa Ynez Basin is currently located at the Santa Barbara County website and the SYRWCD website. The County webpage and the Santa Ynez River Water Conservation District website6 will direct interested parties to register at the GCP (described below). Groundwater Communication Portal The web-based Santa Ynez GCP is an efficient, multi-functional, user-friendly tool that will be used to communicate with interested parties. The GCP will store interested party information and distribute email invitations for all EMA-related meetings and events that are posted to the GCP calendar. There are additional tools within the GCP that will be used to enhance stakeholder communication. These tools include the following: • E-Blast. E-mails will be sent to interested parties using the e-blast tool. E-blasts will be effective for sending reminders of upcoming deadlines, such as the close of a survey or comment period. Interested parties can sign up to receive the e-blasts and may also choose to unsubscribe from them. • Public Comment. During public comment periods, a form will be available on the GCP for interested parties to submit comments. The form allows comments to be submitted by Section of the Draft GSP and automatically stores the information for GSA review, reducing the risk of misplaced comments. Interested parties may also use the form to submit general comments. • Direct Mailing. At key points in the GSP development process, direct mailings will be sent to stakeholders who have requested direct mailings and provided a mailing address. More information about the GCP is provided in Appendix C.","2-43

Appendix J / 10","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
 NO
3. What level of outreach engagement? 


GSP provides general outreach methods applicable to all stakeholders. Does not include targetted outreach during implementation. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix J,Appendix J serves as C&E Plan
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"Disadvantaged Communities There are several disadvantaged communities within the EMA portion of the Basin based on block groups, census tracts, and census places. These areas are in the southeast portion of the EMA, as shown on Figure 3 below. Specific efforts will be used to ensure that communications are reaching these communities, so they are informed of the GSP development process and invited to participate. Additionally, public meetings and workshops will be inclusionary by using culturally appropriate language, education, and framing4 of the issues around sustainable groundwater management.","Appendix J / 8
Figure 3 (DACs)","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no)
3. DAC places, tracks, or block data used in map?

DAC Blocks were used. GSP includes map of DAC within the area and establishes that most are on the southeast portion of the basin. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Yes,"Tribal Governments Per SGMA §10720.3(c), any federally recognized Indian tribes may voluntarily agree to participate in the planning, financing, and management of SGMA activities. Furthermore, Section §10723.2(h) specifically provides that California Native American tribes are among the beneficial users of groundwater that must be considered by the EMA GSA in preparing the GSP. The Santa Ynez Band of Chumash Mission Indians Tribal Reservation boundaries are within the boundary of the EMA, and the Tribal Chairman indicated early in the SGMA process that the Tribe looks forward to collaborating with the GSA. (See correspondence attached as Appendix E). The EMA GSA remains in contact and welcomes participation with the Santa Ynez Band of Chumash Indians in GSP development. Currently, the Tribal Government is participating in the SGMA process for the EMA GSA through its representative on the Citizen Advisory Group (also known as CAG, discussed below).

&&

2.2.1.2 Other Jurisdictional Areas
In addition to the four member agencies of the EMA GSA, there are several federal, state, tribal, and local agencies that have some degree of water management authority in the EMA. Each agency or organization is discussed below. A map of the jurisdictional extent of the federal, state, and tribal agencies within the EMA is shown on Figure 2-2. A map showing the jurisdictional extent of city and local jurisdictions within the EMA is shown on Figure 2-3.","Appendix J / 9
Figure 2-2","1. Tribal lands identified? (yes/no) YES
2. Tribal lands mapped? (yes/no) YES


Tribal lands are both identified and mapped in the Basin. "
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
No DAC population is mentioned. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location."
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,,Figure 2-8,"1. How are domestic wells mapped (density/point/none)?

Domestic wells are mapped using a density map"
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"3.2.3.1.2 Groundwater Quality Suitability for Agricultural Irrigation
Samples collected from 59 of 138 wells indicated TDS concentrations exceeding the WQO (600 milligrams per liter [mg/L]) in 127 of 437 samples (Table 3-8). The largest concentration of wells with reported concentrations of TDS at or above the WQO are located in the in the southwest and northwest regions of the EMA. Elevated TDS concentrations in the southwestern portion of the EMA may be a result of natural conditions as groundwater moves from recharge areas with low TDS to downgradient locations where TDS is higher. According to stakeholders, concentrations of TDS exceeding the WQO have not been a limiting factor for agricultural production. Concentrations of boron, sodium, and chloride have also been reported at concentrations exceeding the WQO in the EMA. These constituents are generally associated with salt-containing minerals that are naturally present in the watershed. Samples analyzed for concentrations of sodium from 138 of 138 wells exceeded the WQO (20 mg/L) in 435 of 437 samples. According to stakeholders, concentrations of sodium exceeding the WQO have not been a limiting factor for agricultural production. Samples analyzed for concentrations of chloride from 78 of 138 wells exceeded the WQO (50 mg/L) in 196 of 440 samples (Figure 3-27). The largest concentration of wells with reported concentrations of chloride exceeding the WQO are located in the southwest region of the EMA. According to stakeholders, concentrations of chloride exceeding the WQO have not been a limiting factor for agricultural production. Analytical results for eight water samples indicate some caution should be used if irrigating crops, specifically fruit (including grapes) (Hanson, Grattan, and Fulton, 2006), due to potential boron ion toxicity (SWRCB, 2019). Samples analyzed for concentrations of boron from 4 of 49 wells exceeded the WQO (0.5 mg/L) in 8 of 174 samples (Figure 3-29). Wells with reported concentrations of boron at or above the WQO are located to the west of Los Olivos.&&&
3.2.3.1.3 Distribution and Concentrations of Point Sources of Groundwater Constituents
Potential point sources of groundwater quality degradation were identified, and waste discharge requirement permits were reviewed using the SWRCB GeoTracker data management system. Table 3-9 summarizes information from GeoTracker for open/active contaminated sites and Table 3-10 summarizes constituent historically found in exceedance of their respective drinking water quality standards in monitoring wells associated with point source contamination sites. Each of these exceedances occurred in a geographically isolated area and do not reflect typical groundwater quality within the EMA. The locations of these potential groundwater contaminant point sources and the locations of completed/case closed sites is presented on Figure 3-25. The open/active cases include Jim’s Service Center (Site ID T0608300118), two landfill sites, and one oil and gas site in the vicinity of the Zaca Oil Field and gas well fields shown on Figure 3-4.&&&
3.2.3.1.5 Total Dissolved Solids
TDS is defined as the total amount of dissolved minerals and salts in a given volume of water. TDS is a constituent of concern in groundwater because it has been detected at concentrations greater than its WQO of 600 mg/L in a total of 59 wells in the EMA. The SMCL for TDS has been established for aesthetic considerations (including color, odor, and taste) rather than health-related concerns. The SMCL includes a recommended standard of 500 mg/L, an upper limit of 1,000 mg/L and a short-term limit of 1,500 mg/L (SWRCB, 2018). TDS concentrations have ranged from 290 to 1,700 mg/L with an average of 551 mg/L in the EMA. Water quality data from wells with known zones of completion indicate that mean TDS concentrations reported from wells screened in the Careaga Sand are greater than those collected from wells screened in the Paso Robles Formation, which is not unexpected because the Careaga Sand is of marine origin. Based on a review of the publicly available groundwater quality data, the largest concentration of wells with mean TDS concentrations at or above the WQO are located in the southwest (downgradient) region of the EMA (Figure 3-26) and the northwest region of EMA.&&&
3.2.3.1.9 Sodium
Sodium is an unregulated constituent and therefore does not have a regulatory standard. However, sodium is a constituent of concern because elevated sodium concentrations in water can damage crops and affect plant growth. Sodium has been detected at concentrations greater than its WQO of 20 mg/L in the EMA in all wells sampled, and 435 of 437 samples analyzed. Sodium concentrations have ranged from 18.4 to 228 mg/L with an average of 49 mg/L in the EMA. Water quality data from wells with known zones of completion indicate mean sodium concentrations reported from wells screened in the Careaga Sand are greater than those collected from wells screened in the Paso Robles Formation. Based on a review of the publicly available groundwater quality data, wells with mean sodium concentrations at or above the WQO are located throughout the EMA (Figure 3-30). EMA agricultural stakeholders have not indicated that this naturally occurring constituent is impacting agricultural production. &&&
3.2.3.1.10 Nitrate
Nitrate has been detected at concentrations greater than its WQO of 1 mg/L (as N) in the EMA. Groundwater samples collected from 88 of 104 wells indicated nitrate concentrations exceeding the WQO in 634 of 694 samples. The MCL for nitrate has been established at 10 mg/L (SWRCB, 2020). Nitrate concentrations ranged from 0.1 to 16 mg/L (as N) with an average of 4 mg/L (as N). Wells with nitrate concentrations exceeding the MCL are located within three localized areas near the towns of Santa Ynez and Ballard (Heal the Ocean, 2019). Water quality data from wells with known zones of completion indicate mean nitrate concentrations reported from wells screened in the Careaga Sand are greater than those collected from wells screened int the Paso Robles Formation. Nitrate concentrations reported at or above the WQO are located throughout the EMA (Figure 3-31). Six of 68 wells sampled had nitrate concentrations exceeding drinking water standards (refer to Table 3-7). Concentrations of nitrate in groundwater will need to continue to be monitored to protect drinking water beneficial uses.&&&
3.2.3.1.11 Other Constituents
Other diffuse or naturally occurring groundwater constituents reported at concentrations at or above their respective MCL or SMCL include iron, chromium, manganese, zinc, gross alpha, fluoride, and foaming agents (methylene blue active substances or MBAS). Each of these exceedances occurred in samples from a small number of wells, indicating isolated occurrences of these elevated constituent concentrations rather than widespread occurrences, affecting the entire EMA. Sustainability projects and management actions implemented as part of this GSP are not anticipated to directly cause concentrations of any of these constituents in groundwater to increase. The volatile organic water quality constituents reported above the MCLs were generally associated with cleanup sites that are now closed due to adequate mitigation, as presented in Figure 3-25. The constituents listed in this section are generally isolated detections and not widespread within the EMA. An MCL of 10 mg/L for hexavalent chromium recommended by the California Department of Public Health was adopted into the California Code of Regulations (CCR) in 2015. In 2017 the Superior Court of Sacramento County (Court) invalidated the MCL and ordered it removed from the CCR. The Court determined the MCL did not comply with all of the requirements in the Safe Drinking Water Act, including considering the economic feasibility of complying with an MCL (SWRCB, 2017). A revised MCL for hexavalent chromium is being evaluated by the SWRCB. Hexavalent chromium is currently regulated under the total chromium MCL of 0.05 mg/L. A report of a total chromium concentration at or above the respective MCL in a potable water supply well was reported once in 2002 and not since.&&&",,"1. Are all concerning constituents identified as COC's, Yes/No -->which ones? They have considered Nitrate, TDS, chloride, boron, sodium and sulfate as COC's. However just Nitrate, TDS and Sodium had high values exceeding MCL lvl
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? No mention

Nitrate's max lvl is 16 based on table 3-8 and relavant text, however on spatial figure there is no sign of high Nitrate value"
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,,Figure 2-7,"Figure 2-7 maps communities within the basin that are served by Groundwater, some which might overlap with the DAC map provided.. "
