Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"SGMA Regulations require GSAs to consider the interests of all beneficial users and users of groundwater (Water Code Section 10723.2), and establish and maintain a list of persons interesting in receiving notices regarding plan preparation, meeting announcements, and availability of draft plans, maps, and other relevant documents (Water Code Section 10723.4). An initial list of interested parties was developed and discussed at the GSP Kickoff Meeting held on July 24, 2019. The identified stakeholders are listed in Table 1.1. The EVGSA will continue to expand this list throughout the GSP development process.
&&
...the stakeholder participation process can be divided into the following
four phases:
• Phase 1 (years 2015 to 2017) is the GSA Formation and Coordination phase and includes one stakeholder input requirement. This requirement was completed by holding a public hearing to form the GSA from the EVGSA.
• Phase 2 (year 2017 to 2022) is the GSP Preparation and Submission part of the GSP development process. During this phase, stakeholders will be provided with opportunities to provide input on sections of the GSP by attending public meetings or reaching out on the EVGSA website.
• Phase 3 (year 2018+) will occur at any point after completion of Phase 2, consists of GSP review and evaluation. Once the GSP is submitted, any person may provide comments to DWR regarding a proposed or adopted GSP via the SGMA Portal found on DWR’s website.
• Phase 4 (year 2022+) is the Implementation and Reporting phase following adoption of the GSP. Active stakeholder involvement and public meetings are encouraged by DWR during this phase","Appendix C, Page 1-2 (pdf page 42), Table 1.1
&& Appendix C, Page 1-5 (pdf page 45)","
1. Environmental Stakeholders identified?  YES
2. Which level of engagment:Engagement = inform
3. Evidence/strategies listed for level of engagement:
The Audubon Society and The Nature Conservency are listed as environmental stakeholders in table 1.1. The GSP used this table to notify all interest parties (stakeholders) of GSP plan preperation, meeting announcements, and available drafts of the plan. ",
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

GSP does not include any stakeholder engagement for DACs in any capacity since DACs re not listed as stakeholders. ",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",No,"Outreach and Education – EVMWD will conduct outreach and education activities to encourage public involvement in the GSP implementation. Specifically, this category covers costs for ongoing maintenance of the GSP website.",,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? 
 Engagement = Inform (to all listed stakeholders, not Tribes specifically)


More details are needed, most of the engagement opportunities were for GSP development, more information is needed about outreach for tribes during implementation. ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"""The EVGSA will implement the following outreach activities to maximize stakeholder involvement during development and implementation of the GSP:
• Public Notices.
• Public Meetings.
• Communications via GSP Webpage. && Phase 4 (year 2022+) is the Implementation and Reporting phase following adoption of
the GSP. Active stakeholder involvement and public meetings are encouraged by DWR
during this phase.""

Outreach and Education – EVMWD will conduct outreach and education activities to encourage public involvement in the GSP implementation. Specifically, this category covers costs for ongoing maintenance of the GSP website.","Appendix C, Page 1-3 && Appendix C, Page 1-5

10-2","1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

The GSP does not explicitely mention environmental stakeholders in their implementation plans, which are vague, but a brief discussion on public notices, public meetings, and communication via a webpage is offered in the Stakeholder Outreach Plan. Since there are two environmental stakeholders listed in table 1.1, these groups will be notified throughout implementation, but there is a lack of detail in the Stakeholder Outreach Plan on implementation. Engagement =inform and consult",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix C,"Referred to as ""Stakeholder Outreach Plan""",
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,,,"1. Location on the map? (yes/no)
2. Identified by name? (yes/no)
3. DAC places, tracks, or block data used in map?

GSP references not identifying any DACs within the Plan Area. SGMA Data Viewer shows DAC Blocks, Tracts, and Places present within the plan area of Elsinore Valley. Any DAC community within the Basin has not been identified or considered. ",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)

No Tribal Lands are identified or mapped. ",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?

No mention of DAC population size. ",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,"Additionally, some residents and business rely on private wells for groundwater. && EVMWD is the primary producer of groundwater in the Elsinore Valley Subbasin, accounting for
 99 percent of groundwater produced from the subbasin. && The remaining 1 percent of the groundwater produced from the subbasin is accounted for by local private pumpers and the City of Lake Elsinore. There are over 200 documented other wells in the Elsinore Valley Subbasin. Figure 2.7 presents the other documented wells in the subbasin. The total number wells in the GSP area is approximately 280. Assuming a basin area of approximately 36 square miles (23,600 acres), the density of wells in the Elsinore Valley Subbasin is approximately  8 wells per square mile.","Section 2.4.1, Page 2-7 (pdf page 39) && Section 2.4.2.1, page 2-7 and 2-8 (pdf page 40)","1. Does the map include depth by location?

Mention of domestic wells in section 3.11 - Primary Groundwater Uses, but no map or description of domestic wells in the basin. Figure 2.7 on page 2-10 shows all groundwater wells in the basin and clearly labels EVMWD wells, monitoring wells, and non-potable wells. ""Other"" wells are located on map but no labels or description of type of well or depth. The GSP should provide more information on the domestic and private wells in the basin.
",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,"The total number wells in the GSP area is approximately 280. Assuming a basin area of approximately 36 square miles (23,600 acres), the density of wells in the Elsinore Valley Subbasin is approximately 8 wells per square mile.",,"1. How are domestic wells mapped (density/point/none)?

The GSP includes a map of wells within the basin, using point mapping. There are several types of wells that are identified in this figure including Dual Purpose wells, Extraction wells, monitoring wells, non-potable wells, and ""other wells"". Domestic wells are not specifically mentioned or listed, however ""other wells"" could possibly include domestic wells. More details/ information is needed to verify. ",
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"The quality of groundwater in the Subbasin has been described as variable, specifically with respect to TDS, nitrate (NO3), and arsenic (As) (MWH 2005, WEI 2000, 2002, and 2017, and SARWQCB 2019). Concentrations of these constituents vary both in space and time within the Subbasin, but groundwater quality is generally good in the areas where groundwater use is significant. Further assessment of water quality is presented in the following sections.
Impacts to shallow groundwater likely originate from some type of anthropogenic source at the ground surface such as wastewater disposal, commercial or industrial releases, and agricultural activities (concentration of salts, fertilizers, and soil amendments). Because almost all shallow water quality data in the Subbasin were compiled from regulated facility monitoring wells, regulated facilities are the only place that shallow groundwater could be evaluated. In some cases, impacts to shallow groundwater can be attributed to activities at the facilities; however, for some constituents, the correlation is unclear. In addition, because shallow groundwater data are missing in the remainder of the Subbasin, it is difficult to determine whether shallow impacts are widespread. These complications limit the evaluation of shallow groundwater in the Subbasin and impacts at regulated facilities.
Iron. In natural water, Fe is generally analyzed as total iron, which includes Fe3+ and Fe2+. Soluble Fe2+ is more common in groundwater under reducing conditions, occurring at concentrations ranging from 1.0 to 10 mg/L (Manaham 1991 and Hounslow 1995). The MCL is 300 μg/L and no recent samples exceeded this limit; however, several potable supply wells have detected iron concentrations above the MCL in historical samples.
Manganese. Manganese is generally associated with iron under anaerobic conditions where the more soluble forms may occur. In general, if water has more than 0.20 mg/L, manganese will precipitate upon encountering an oxidizing environment. This will cause an undesirable taste, deposition of black deposits in water mains, water discoloration and laundry stains (Todd 1980 and WHO 2003). The MCL is 50 μg/L and no recent samples exceeded this limit. One older potable well has had samples above the MCL. Anthropogenic sources include mining wastes, iron and steel manufacturing, cleaning oxidants, bleaching and disinfection (potassium permanganate),","Section 4.4, Page 4-25 (pdf page 131) &&  Figures 4.11-4.16
Page 4-48, 4.9
Table 2.3
Table 4.2","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, Nitrate, TDS, Arsenic
2. Are the COC's mapped? yes
3. Is there spatial trend data for all COC's? yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? No

""They have studied different COC's and the ones higher than MCL have been identified as : Nitrate, TDS, Arsenic. Also Manganese and Iron in historic samples. Also, There are several contaminated sites in the Elsinore Valley Subbasin that are in varied stages of remediation.
Nitrate (Map - figure 4.13/4.14) and TDS (Map - figure 4.11/4.12) and Arsenic (Map - figure 4.15/4.16) ; The GSP identifies TDS, Nitrate, and Arsenic as the contaminants/constituents of concern in the basin. Included for each is a spatial map of concentrations and graphs showing temporal changes in concentrations of each. The Elsinore GSP states that the State Water Board Groundwater Ambient Monitoring and Assessment Program (GAMA) is the primary source of groundwater quality data""


",
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,,,No further mention of DACs or their water source. ,
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Five USGS streamflow gaging stations provide a general characterization of the stream flow regime in the San Jacinto River, Temescal Wash, and smaller tributaries entering the Subbasin from the east and west. Their locations are shown in Figure 4.17, and daily flows during water years 2006 through 2020 are shown in Figure 4.18.  &&  The presence of base flow in such a small watershed suggests that the relatively wet and steep watersheds draining the Santa Ana Mountains are more likely to provide year-round flow that would sustain riparian vegetation than would watersheds on the east side of the Subbasin. The almost complete lack of base flow at any of the local gauges demonstrates that groundwater is not discharging into the waterways near the gauge locations. An inspection of high-resolution aerial photographs taken on 22 dates between 1994 and 2020 (Google Earth 2020) revealed one stream reach in the area with persistent surface ponding and possibly flow. This is in Temescal Wash starting about 0.75 mile north of Nichols Road (Figure 4.17), where the creek flows through a narrow alluvial gap between bedrock outcrops. Pools are visible along a reach 0.3 to 0.5 miles long in most photographs taken during December through April. The pools are dry in all photos taken in May through November. In all of the photographs, Temescal Wash was dry upstream and downstream of this reach. It is likely that a local reduction in subsurface transmissivity—possibly due to a fault or to local thinning or narrowing of the alluvium—forces a small amount of groundwater into the creek during the wet season. && Depth to groundwater provides a general indication of locations where gaining streams and riparian vegetation are likely to be present. Fortunately, several of the groundwater level monitoring wells are along Temescal Wash and the San Jacinto River. However, those wells are almost all water supply wells, which are typically screened deep in the aquifer. The groundwater elevation (potentiometric head) at the depth of the well screen can be different from the water table, which is the upper surface of the saturated zone. Because recharge occurs at the land surface and pumping occurs at depth, alluvial basins such as this one typically have downward vertical gradients within the aquifer system. Thus, water level information from wells can potentially underestimate the locations where the water table is shallow enough to support phreatophytic riparian vegetation. Large downward vertical hydraulic gradients are present in the Elsinore Area. Near Lake Elsinore and in the area south of the lake, the depth to water in shallow wells is typically a few tens of ft, whereas it is 200 to 500 ft in deep wells at the same locations. The downward gradients approach 1:1, which means an unsaturated zone might be present between shallow and deep aquifer materials (see Section 4.1.5). It is the deep aquifer units that are typically tapped by water supply wells. These large downward vertical gradients are probably the result of clay layers in the alluvium that were lakebed sediments deposited as Lake Elsinore waxed and waned over geologic time (see Chapter 3 above). Given the large magnitude of the downward gradients, the shallow aquifer units are for practical purposes perched and unaffected by pumping and water levels in the deep units. This means that Lake Elsinore and nearby wetlands and phreatophytic vegetation are sustained by surface water and not interconnected with the regional groundwater system && The situation is more complex around the periphery of the Elsinore Area, where groundwater transitions from thin, unconfined conditions in tributary stream valleys to the deep, more segregated conditions in the center of the Area. Figure 4.19 shows hydrographs of depth to water in all of the monitored wells where depth to water is relatively shallow. The Stadium well cluster is located near the San Jacinto River in the zone where the Subbasin begins to deepen and groundwater conditions become more segregated. The screen depths of the shallow and deep wells are unknown, but the depth to water in the shallow well is typically about 40 ft bgs and 60 ft above the water level in the deep well. The depth to water is too large for there to be hydraulic connection between the water table and the river, and it is also beyond the depth reached by the roots of riparian vegetation (see further discussion below). Farther up the river, however, depth to water is probably smaller, based on the presence of a healthy riparian forest bordering the channel.","Section 4.11.1, page 4-49 &&
Section 4.11.2, page 4-54 && 
Figure 4.17, Figure 4.18, Figure 4.19","1. Is there a clear map of ISWs? Yes - See Figure 4.17 depicting gaining and losing portions of surface water in the basin. 
2. Was temporal variability and used and described? Somewhat - temporal range of streamflow measurements provided and hydrographs of wells data are provided but lack of clear description of temporal data and temporal variability in ISWs
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? Somewhat - The GSP uses stream gauge data, aerial photographs, and minimal groundwater depth measurments to verify ISWs. Figure 4.17 shows only one small stretch of gaining ISW and the rest of the surface water is labeled as losing - yet the desrcription in the text contradicts this. The lack of groundwater depth data (and knowledge of well screening depths) leaves significant data gaps and uncertainites in the analysis. We recommend that the GSA provide a more detailed and clear description of the gaining and losing portions of ISWs that is depicted on Figure 4.17 and provide more detail on the specific groundwater data used in the analysis.",
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"The Warm Springs and Lee Lake Areas do not appear to have significant vertical hydraulic gradients, have relatively thin alluvial sediments, and depths to water are relatively shallow along Temescal Wash. The sole well with water level data in the Warm Springs Area—the Cemetery Well—is located about 1,500 ft from Temescal Wash where the ground surface is about 15 ft higher than the creek bed. The depth to water is typically 10 ft, which could be consistent with a hydraulic connection with the creek. In the Lee Lake Area, wells are monitored at four general locations along the creek (Gregory, Station 70, Barney Lee, and Aberhill), and at all of those locations depth to water is commonly 20 ft or less. Allowing for 10 to 15 ft of elevation difference between the well head and the creek bed, the depths to water are consistent with a plausible interconnection with surface water. However, the lack of perennial flow in that area indicates that groundwater is not discharging into the creek. Hydraulic connection would only occur if and when base flow is present. && For screening purposes, a depth to water of less than 30 ft in wells near stream channels was selected as a threshold for identifying possible phreatophyte areas. This depth allows for 10 to 15 ft of root depth, 5 ft of elevation difference between the water level in the well and the overlying water table, and 15 ft of elevation difference between the well head and the bottoms of the creek channel. By this criterion, the roots of riparian vegetation likely reach the water table along Temescal Wash where it passes through the Warm Springs and Lee Lake Areas and along the San Jacinto River upstream of Interstate 15. In the Warm Springs and Lee Lake Areas, no water level data are available for wells away from Temescal Wash, but in the adjacent Bedford-Coldwater Subbasin, ground surface rises much more rapidly than the water table with distance from the Wash, leading to depths to water of tens to over 100 ft. && In summary, there are four regions of possible perennial or seasonal interconnection of groundwater and surface water in the Subbasin: • Shallow, perched groundwater in the central, confined part of the Elsinore Area that is connected to Lake Elsinore but not to the underlying deep aquifer. • Along tributary stream channels as they approach the Elsinore Area—especially along the western side of the Area—where groundwater discharge from fractured bedrock likely supports a shallow water table in the thin alluvial deposits and probably also supports sustained stream base flow during the wet season. • The seasonally ponded reach of Temescal Wash in the canyon reach between the Warm Springs and Lee Lake Areas, where groundwater usually discharges at a low rate into the creek channel during the winter months and flow is sustained enough to create a watertable mound.","Section 4.11.2, page 4-47 and 4-58 (pdf pages 163/164)","1. Are ISWs mapped in the basin? Yes
2. Is the mapping consistent with the assessment? Somewhat - The GSP concludes that there are four regions of possibile perennial interconnection of groundwater and surface water. Yet, in their despcription of each area, a lack of spatial and temporal data leave siginificant data gaps. For example, in the Lee Lake area, the depth to water is typically 10 feet, but the GSP concludes that this is not an ISW because there is a lack of perennial flow - but this could be a losing stream. More groundwater elevations near the Temescal Wash are needed to confirm this. Also, the conlcusions contradict the ISW figure 4.17, which shows the Temescal Wash as losing along its entire reach except for a small portion of gaining - implying the entire surface water system is interconnected. Overall, the GSP seems to treat losing stretches of streams as not interconnected (or not important for managemnet in the GSP), yet depletion of groundwater could impact losing streams and GDEs. ",
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",Somewhat,"Large downward vertical hydraulic gradients are present in the Elsinore Area. Near Lake Elsinore and in the area south of the lake, the depth to water in shallow wells is typically a few tens of ft, whereas it is 200 to 500 ft in deep wells at the same locations. The downward gradients approach 1:1, which means an unsaturated zone might be present between shallow and deep aquifer materials (see Section 4.1.5). It is the deep aquifer units that are typically tapped by water supply wells. These large downward vertical gradients are probably the result of clay layers in the alluvium that were lakebed sediments deposited as Lake Elsinore waxed and waned over geologic time (see Chapter 3 above). Given the large magnitude of the downward gradients, the shallow aquifer units are for practical purposes perched and unaffected by pumping and water levels in the deep units. This means that Lake Elsinore and nearby wetlands and phreatophytic vegetation are sustained by surface water and not interconnected with the regional groundwater system.","Section 4.11.2, page 4-54 (pdf page 160)","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? Somewhat - Principal aquifers are defined in section 3.6. In ISW section, principal aquifers are not explicitely mentioned
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? No - GSP uses a lack of pumping in perched shallow aquifer as a reason to disregard the area as interconnected. GSP is using the logic that principle aquifer = pumping aquifer. We would like to see more data and/or monitoring to ensure that the perched aquifer is not being affected.",
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Somewhat,"Depth to groundwater provides a general indication of locations where gaining streams and riparian vegetation are likely to be present. Fortunately, several of the groundwater level monitoring wells are along Temescal Wash and the San Jacinto River. However, those wells are almost all water supply wells, which are typically screened deep in the aquifer. The groundwater elevation (potentiometric head) at the depth of the well screen can be different from the water table, which is the upper surface of the saturated zone. Because recharge occurs at the land surface and pumping occurs at depth, alluvial basins such as this one typically have downward vertical gradients within the aquifer system. Thus, water level information from wells can potentially underestimate the locations where the water table is shallow enough to support phreatophytic riparian vegetation. && Interconnected surface water in the Plan area has not been documented per se (see Section 4.11), yet, GDEs are present in certain areas within Temescal Wash. However, there are several data gaps that contribute to a lack of a clear relationship between groundwater pumping, groundwater levels, and GDEs.
 ","Section 4.11.2, Page 4-54 (pdf page 160) && Section 7.3, page 7-7 (pdf page 279)
","1. Were data gaps identified? Somewhat - vague mention of data gaps in ISW section (not explicitely stated), but then in section 7.3, the GSP states that ISWs had not been documented in the plan area.
2. Were the data gaps identifed in the ISW section? Somewhat",
