Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Dedicated Tribal Outreach
SGMA requires GSAs to consider the interests relating to the uses and users of groundwater.  These interested parties comprise a wide range of entities including California Native American tribes (federally recognized and non-federally recognized) (WC Section 10723.2). While there are no Tribal Trust Land Tracts (U.S. Department of Interior, Bureau of Indian Affairs) within SV Subbasin boundary based on information and data published by DWR, the SV Subbasin and immediate watershed is located within California Native American traditional lands, including the Maidu, Paiute, and Washoe Tribes. A small portion of the SV Subbasin is located outside of the SVGMD boundary, but within Plumas County, and is commonly referred to as the sliver. This sliver area is the responsibility of the Plumas County GSA, is known to have significant Tribal cultural connections, is entirely comprised of federal lands owned by Plumas National Forest, and is a hydrologically important area located along the federally designated Wild and Scenic River corridor of the Middle Fork Feather River. Accordingly, Plumas County served as the lead entity for SGMA Tribal outreach.
Plumas County utilized the DWR Engagement with Tribal Governments document, which is intended to provide general guidance to GSAs regarding how and when to engage with Tribal governments. As part of DWR’s guidance document, the recommended communication and engagement procedures for Tribes starts with contacting the Native American Heritage Commission (NAHC) to identify the appropriate Tribal entities for notification and engagement outreach. Additionally, Plumas County worked with a local Native American contact and the Plumas National Forest. The NAHC was contacted by Plumas County and a list of Tribes with traditional lands or cultural places located within the SVGMD boundary, SV Subbasin boundary, and watershed boundary was provided. Those Tribes include: Estom Yumeka Maidu Tribe of the Enterprise Rancheria  Greenville Rancheria of Maidu Indians  Mooretown Rancheria of Maidu Indians  Susanville Indian Rancheria  Tsi Akim Maidu  United Auburn Indian Community of the Auburn Rancheria  Washoe Tribe of Nevada and California In addition, the following Tribes were also contacted, as they may have traditional lands or cultural places or knowledge of cultural Tribal resources within the boundaries of the SVGMD, SV Subbasin, and watershed:  Pyramid Lake Paiute Tribe  Reno-Sparks Indian Colony  Mechoopda Indian Tribe  KonKow Valley Band of Maidu  Honey Lake Maidu Communications by email, phone, and/or mail were made to these twelve Tribes to notify them of the SGMA SV Subbasin GSP planning process, to invite them to participate, and to confirm that Tribal engagement is directed by individual Tribes, with interested Tribes communicating their preferred methods of contact and pathways of engagement. For example, engagement could solely be in the form of informational updates as an interested party or could be more involved with direct participation on a committee or during meetings or while attending public workshops. Follow up with individual Tribes was conducted and tailored to the specific Tribal responses received.

&&

Outreach Steps—Phase I Plumas County will contact the Native American Heritage Commission (NAHC) to request a Native American Contacts List of Tribes with known traditional lands or cultural places located within the boundaries of the Sierra Valley Groundwater Management District, Basin Boundary, and Watershed Boundary in Plumas and Sierra counties. Plumas County will then conduct an initial communication with Tribal primary points of contact through both mail and electronic mail (email) formats to provide information on the SGMA GSP planning process and to invite and clarify Tribal interests in participating. Tribal engagement will be directed by individual Tribes, with interested Tribes communicating their preferred methods of contact and pathways of engagement. Engagement could solely be in the form of updates as an interested party or could be more involved with direct participation on a committee, at meetings, and/or during public workshops. Per DWR’s Engagement with Tribal Governments guidance document, a follow up to the Tribal primary points of contact by telephone will also be conducted by Plumas County within two weeks of the initial contact. In the event a Tribal representative cannot be contacted within a responsible timeframe, Plumas County will consult with DWR’s Office of Tribal Policy Advisor for guidance (Anecita Agustinez, DWR Tribal Policy Advisor). Following successful initial communication with the Tribes, Plumas County will facilitate the implementation of actions that may include preparation of a formal letter from the Plumas County Board of Supervisors to each of the Tribes, involvement of the District with the Tribes, development of a Joint Powers Agreement (JPA) or Memorandum of Understanding (MOU) if requesting full participation per the Water Code, and/or establishing an engagement framework.

&&

Public Workshops  Public workshops were held to share information and receive feedback on GSP content. These  workshops were designed to maximize opportunities for public input during key points in the GSP process. The following table recaps the workshops held during 2018, 2019 and 2021. All workshops were noticed through traditional media, social media and the Interested Parties ema","2-36
Appendix B, Page B-1
2-34","1. Tribes identified? (yes/no): Somwehat, identified as having cultural affiliations within the subbasin.
2. If yes, which level of engagment: Engagement=Inform, Involve, Consult
3. Evidence/strategies listed for level of engagement:
The GSP includes general stakehoolder engagement opportunities and also includes dedicated Tribal Outreach which mostly consists of communicating with Tribal representatives during GSP process. ",
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"It is proposed that the following interests, organizations, and/or individuals serve on the TAC. Membership can be updated as needed. • GSA: Sierra Valley GMD • GSA: Plumas County • Planning Partner: Feather River Land Trust • Planning Partner: Greg Hinds • Agricultural Uses: Sierra Valley RCD • Agricultural Uses: UC Cooperative Extension • Tribal Uses: TBD • Integrated Water Management: Upper Feather River IRWM • Small Water Systems: Sierra Brooks Water System, Sierraville Public Utility District • Land Uses: City of Loyalton, USFS Plumas National Forest • Economic Development: Sierra County, Plumas County • Environmental and Ecosystem Uses: Plumas Audubon Society • Water Quality: Departments of Environmental Health (Sierra Co., Plumas Co.) • Soils, Subsidence: Integrated Environmental Restoration Services • Groundwater: Sierra County Public Works • Domestic Well Users (those who rely exclusively on domestic wells for water supply)


&&

Public Workshops  Public workshops were held to share information and receive feedback on GSP content. These  workshops were designed to maximize opportunities for public input during key points in the GSP process. The following table recaps the workshops held during 2018, 2019 and 2021. All workshops were noticed through traditional media, social media and the Interested Parties ema

&&

 CA Dept. of Fish & Wildlife
 US Forest Service
 Feather River Land Trust
 Plumas Audubon
 Trout Unlimited
TAC composition, Interested parties email list, Public workshops","C-4
2-31","
1. Environmental Stakeholders identified? Yes, CA dept. of Fish& Wildlife, US Forest Service, Feaher River Land Trust, Plumas Audobon, and Trout Unlimited are identified as environmental stakeholders within the subbasin. 
2. Which level of engagment: Inform, Collaborate, Involve, Consult
3. Evidence/strategies listed for level of engagement:

Plumas Audobon is part of the Technical Advisory Committee (TAC) which helps guide the development of the GSP. Stakeholder engagement opporutnities are also included in the GSP. ", 
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"2.1.5.5 Informing the Public on GSP Implementation Progress
The public was kept informed on GSP development progress through progress summary presentations provided during public workshops as documented in the CE Plan and through information and documents posted on the District’s website. To keep the public informed on GSP implementation progress, information will continue to be posted on the website and updates will be provided at Board meetings. In addition, the status of projects and management actions will be included in the annual evaluation and reporting to be facilitated by SVGMD and performed. Updates and an assessment of GSP progress will be presented annually in the fall or winter subsequent to completion of the annual reports, as described in the C&E Plan. In the event of undesirable results occurring which necessitate timely implementation of management actions, notices will be distributed via the tools listed above and in accordance with the CE Plan. The Sierra Valley TAC seeks to ensure timely implementation of an expanded monitoring network and GSP projects and management actions. To support this objective, continued engagement of TAC members and Interested Parties should be maintained throughout GSP implementation. This could be achieved through a variety of means: a standing agenda item on District Board meetings to report on GSP implementation on a recurring basis (e.g., every third month), email updates using a newsletter format, ad hoc working groups to advance specific PMAs, and/or periodic GSP implementation reviews (e.g., every six months) as part of Board meetings. ",Chapter 2: 2-37 ,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no). NO
3. What level of outreach engagement? 

GSP only documents outreach plan open to all stakeholders, is not specific to any group/organization. ",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"2.1.5.5 Informing the Public on GSP Implementation Progress
The public was kept informed on GSP development progress through progress summary presentations provided during public workshops as documented in the CE Plan and through information and documents posted on the District’s website. To keep the public informed on GSP implementation progress, information will continue to be posted on the website and updates will be provided at Board meetings. In addition, the status of projects and management actions will be included in the annual evaluation and reporting to be facilitated by SVGMD and performed. Updates and an assessment of GSP progress will be presented annually in the fall or winter subsequent to completion of the annual reports, as described in the C&E Plan. In the event of undesirable results occurring which necessitate timely implementation of management actions, notices will be distributed via the tools listed above and in accordance with the CE Plan. The Sierra Valley TAC seeks to ensure timely implementation of an expanded monitoring network and GSP projects and management actions. To support this objective, continued engagement of TAC members and Interested Parties should be maintained throughout GSP implementation. This could be achieved through a variety of means: a standing agenda item on District Board meetings to report on GSP implementation on a recurring basis (e.g., every third month), email updates using a newsletter format, ad hoc working groups to advance specific PMAs, and/or periodic GSP implementation reviews (e.g., every six months) as part of Board meetings. ",Chapter 2: 2-37,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? 

GSP only documents outreach plan open to all stakeholders, is not specific to any group/organization. ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"""2.1.5.5 Informing the Public on GSP Implementation Progress
The public was kept informed on GSP development progress through progress summary presentations provided during public workshops as documented in the CE Plan and through information and documents posted on the District’s website. To keep the public informed on GSP implementation progress, information will continue to be posted on the website and updates will be provided at Board meetings. In addition, the status of projects and management actions will be included in the annual evaluation and reporting to be facilitated by SVGMD and performed. Updates and an assessment of GSP progress will be presented annually in the fall or winter subsequent to completion of the annual reports, as described in the C&E Plan. In the event of undesirable results occurring which necessitate timely implementation of management actions, notices will be distributed via the tools listed above and in accordance with the CE Plan. The Sierra Valley TAC seeks to ensure timely implementation of an expanded monitoring network and GSP projects and management actions. To support this objective, continued engagement of TAC members and Interested Parties should be maintained throughout GSP implementation. This could be achieved through a variety of means: a standing agenda item on District Board meetings to report on GSP implementation on a recurring basis (e.g., every third month), email updates using a newsletter format, ad hoc working groups to advance specific PMAs, and/or periodic GSP implementation reviews (e.g., every six months) as part of Board meetings. """,Chapter 2:2-37,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? 

GSP only documents outreach plan open to all stakeholders, is not specific to any group/organization. ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix 2: Stakeholder Communications & Engagement Plan,Tite: SIERRA VALLEY GROUNDWATER BASIN Stakeholder Communications & Engagement Plan,
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,Stakeholder communication and engagement may be impacted by the economic status of the community. The Sierra Valley is generally considered a Disadvantaged Community (DACs) based on DWR criteria (https://gis.water.ca.gov/app/dacs/) in that the City of Loyalton and Chilcoot-Vinton and the City of Portola (nearby in Plumas County) are all classified by DWR as DACs. ,2-30,"1. Location on the map? (yes/no) NO, DACs were not mapped on the GSP as DACs. 
2. Identified by name? (yes/no) Specific cities were identified as DACs based on the DWR Mapping tool, including City of Loyalton and Chilcoot-Vinton and the City of Portola.  
3. DAC places, tracks, or block data used in map?
DAC Places",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Somewhat,"There are no Tribal Trust Land Tracts (U.S. Department of Interior, Bureau of Indian Affairs) within the SV Subbasin based on information and data published by DWR.2 50 Should any new information change this determination in the future, a figure showing Tribal Trust Land Tracts will be added to this Section. However, there are tribal cultural influences throughout the Sierra Valley watershed as described further below. The Northern Sierra Nevada Mountains contain the physical evidence of a rich and complex Native American history reaching back thousands of years. These landscapes are rooted deeply in tribal memory. The mountain valleys were central places from which long used trails radiated out following the ridgetops and the many water courses. The benches and terrace above the valleys were places where large encampments were established and maintained season after season. Sierra Valley presented an expansive base for settlement and held an array of valuable resources. The low elevationpass at the northeast end was a gateway for Great Basin populations to enter the mountains while thenorthwest arm of Sierra Valley and the outlet of the Middle Fork of the Feather River (Middle Fork) provided a natural pathway east  from Northern Sierra Nevada (Elliott 2021).

Archaeological sites in this same vicinity show evidence of human occupation from as early as5,500 years ago. As climate and ecosystems fluctuated from warmer and wetter to colder and drier conditions, Sierra Valley was continuously used for seasonal forays and settlement. Artifacts and cooking features present at multiple ancient campsites documented in the area suggests a strong emphasis on the processing and export of bulbs, roots and seeds. Hunting of theabundant waterfowl within the marsh-like lowlands, and rabbits and deer on the drier valley bottom and surrounding hills was also very important (Elliott 2021). The Washoe to the east and the Mountain Maidu (or Northeastern Maidu) to the north and west met within Sierra Valley for uncounted generations. Thesetribes had different cultural backgrounds and very different languages. The pre-contact Washoe were a Great Basin tribe. Sierra Valley was at the northeastern edge of a large traditional territory that encompasses much of today’s Western Nevada. They gathered a variety of roots, bulbs and grasses from the valley but there was reportedly a particularly prized grass found here that they called múćim which was also the name they applied to the valley itself. The Washoe obtained resources through trade or access into Mountain Maidu territory (e.g., acorns and salmon) (Elliott 2021). The pre-contact Mountain Maidu were adept at life in the Northern Sierra Nevada Mountains. Central to them was the upper reaches of the Middle Fork and the North Fork of the Feather River including the fall salmon runs. A strong Mountain Maidu presence in Northwestern Sierra Valley is evident in the archaeological resources recorded in this vicinity. The Mountain Maidu also benefited in trade coming from the east obtaining resources not readily available in their traditional territory (e.g., obsidian) (Elliott 2021). All of this was massively disrupted in the middle of the nineteenth century with Euro-American contact.While there are no known accounts confirming entry into Sierra Valley, early trappers were reportedly working along the Truckee River in the early 1830s (Elliott 2021). The pioneer ranches that began to be developed in the mid-1850s spelled the end of traditional lifeways of the Mountain Maidu and the Washoe within Sierra Valley. By the 1860s, large portions of the valley bottom were being drained and put under cultivation. Yet at least some of the mountain camps were still used by surviving families and groups. As late as November 1867, the Mountain Messenger noted that the tribes had once again engaged in their annual practice of fall burning in the hills surrounding Sierra Valley. Burning was routinely undertaken season after season but this period certainlymarked the end of the annual cycle. The remaining Native American population could no longer gain access to manage the ecosystem at a landscape level (Elliott 2021).

 Estom Yumeka Maidu Tribe
of the Enterprise Rancheria
 Greenville Rancheria of
Maidu Indians
 Honey Lake Maidu
 KonKow Valley Band of Maidu
 Mechoopda Indian Tribe of
Chico Rancheria
 Mooretown Rancheria of
Maidu Indians
 Pyramid Lake Paiute Tribe
 Reno-Sparks Indian Colony
 Susanville Indian Rancheria
 Tsi Akim Maidu
 United Auburn Indian
Community of the Auburn
Rancheria
 Washoe Tribe of NV and CA
Targeted Tribal outreach TAC emails",Chapter 2:2-3 2-31,"1. Tribal lands identified? (yes/no) Tribes with historical and cultural affiliations with the basin have been included and identified within the subbasin. Several tribes have been identified to have some form of affiliations with the subbasin and have been listed. 
2. Tribal lands mapped? (yes/no) NO
",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Somewhat,"Beckwourth is a census-designated place (CDP) in Plumas County located near the northwest corner of the valley. The population of Beckwourth from the 2010 census was 432 and was 414 in 2019. Both Vinton and Chilcoot are unincorporated communities in Plumas County located near the northeast corner of the valley. They are both included in the CDP of Vinton-Chilcoot. Chilcoot is an unincorporated community in Plumas County located near the northeast corner of the valley, also included in the CDP of Chilcoot-Vinton. The population of the Chilcoot-Vinton from the 2010 census was 454 and was 422 in 2019/2020. Sierra Brooks is a CDP community in Sierra County located near the southeast corner of the valley. The population of Sierra Brooks from the 2010 census was 478 and in 2019/20. Loyalton is an incorporated city in Sierra County located near the southeast corner of the valley. The population of Loyalton from the 2010 census was 769 and 1093 in 2019. Campbell Hot Springs, also known as Sierra Hot Springs, is a small resort community located near the southern boundary of valley approximately 6 miles southeast of Sierraville, just southeast of the Sierraville Dearwater Airport. There is no population data for the community of Campbell Hot Springs. The year-round population is minimal, but the community hosts a considerable number of tourists annually in its lodge, hotel, and camping area. Sierraville is a CDP community in Sierra County located near the southern boundary of the valley. The population of Sierraville from the 2010 census was 200 and 85 in 2019. Sattley is a CDP community in Sierra County located near the southwest corner of the valley. The population of Sattley from the 2010 census was 49 and was 86 in 2019. Calpine is a CDP community in Sierra County located near the southwest corner of the valley. The population of Calpine from the 2010 census was 205 and was 182 in 2019.


&&


Stakeholder communication and engagement may be impacted by the economic status of the community. The Sierra Valley is generally considered a Disadvantaged Community (DACs) based on DWR criteria (https://gis.water.ca.gov/app/dacs/) in that the City of Loyalton and Chilcoot-Vinton and the City of Portola (nearby in Plumas County) are all classified by DWR as DACs. ","2-18
2-30","1. Does the GSP document the size of the population for each DAC?
GSP identifies the city of Layalton and Chilcoot-Vinton as DACs and has included the population of these cities in the GSP, but does not make an explicit reference to this population representing DAC population.",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location. ",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"The approximate number of domestic and municipal wells per square mile, agricultural wells per 112 square mile, and unknown (i.e., water use type not provided/available) wells per square mile, 113 are shown in Figure 2.1.1-7, Figure 2.1.1-8, and Figure 2.1.1-9, respectively (source: DWR Well Completion Report Map5 114 ). The numbers of wells per type are listed in Table 2.1.1-2.","2-6
Figure 2.1.1-7","1. How are domestic wells mapped (density/point/none)?
Domestic wells are mapped alongside Municipal Wells. It is recommended to map Domestic and municipal wells seperately.  Wells are mapped  uding a density map. ",
