Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"To ensure broad public awareness and involvement as the GSP is developed, the GSA has tasked Advisory Committee members to act as liaisons to educate, inform and solicit input from the wider local community throughout the collaborative process. Key meetings and milestones during the process in which the general public is encouraged to attend and provide feedback on draft GSP content or other SGMA related issues include, but are not necessarily limited to:
• Bi-monthly Advisory Committee meetings when draft GSP sections are introduced,
discussed or evaluated by members
• Advisory Committee engagement with constituents, with support as needed from GSA
staff, during related meetings, events, and discussions by members,
• Stakeholder meetings led by GSA staff with participation from Advisory Committee
members, Technical Consulting Team members and/or Facilitation Support Services
• Public comment periods when draft GSP sections are made available for review
• Regularly scheduled District Board meetings
• Special meetings that are scheduled, noticed in advance and open to the public 
At key intervals during GSP development, the GSA will hold public meetings in order to share information, respond to questions or concerns about SGMA, and solicit input from the wider community. Interested parties can also reach out to District staff at any time to share and discuss specific elements of the GSP or SGMA in general.

DWR created a stakeholder engagement chart to help GSAs identify and engage the range of beneficial groundwater users in a local basin that must comply with SGMA. Table 1 below is a modified version which lists identified stakeholder groups in the Butte Valley community. Originally developed by GSA staff, the table has been reviewed and improved by the Butte Valley Advisory Committee. Interested parties may also assist the GSA in identifying all stakeholders who have an interest in or may be affected by SGMA. The table may be improved and updated at any time during the GSP development or implementation process. Listed groups represent a priority target audience for SGMA related communication and engagement. ","Appendix 1-A Engagement & Communiction Plan Page 6-7
Table 1","1. DAC's on the Map? (yes/no): NO, No map of SDAC either
2. If yes, which level of engagment:
No DAC location map was provided, instead the GSP mentions SDACs present in the basin and identifies the specific locations where they are located. 
Engagement=Inform

3. Evidence/strategies listed for level of engagement:
The GSP does not include specific DAC engagment during development, instead lists SDACs as stakeholders and lists engagement opportunities for all stakeholders.",
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"To foster meaningful engagement with Native American Tribes, the GSA will maintain a government-to-government relationship with any tribe in Siskiyou County or the larger Klamath River watershed which expresses interest in SGMA. In addition, the GSA has appointed a tribal representative to the Advisory Committees for the Shasta Valley, Scott Valley and Butte Valley groundwater basins. Tribal representation on these committees is based on multiple factors, including cultural relationship to the area, ancestral territory and land held in trust or reservation within a given basin. The GSA has begun developing communication protocols and coordination agreements with tribes who have voiced interest in SGMA. Individual tribes are recognized as sovereign tribal nations; no one tribe represents another. In Butte Valley, the Shasta Indian Nation is represented on the local SGMA Advisory Committee. 

DWR created a stakeholder engagement chart to help GSAs identify and engage the range of beneficial groundwater users in a local basin that must comply with SGMA. Table 1 below is a modified version which lists identified stakeholder groups in the Butte Valley community. Originally developed by GSA staff, the table has been reviewed and improved by the Butte Valley Advisory Committee. Interested parties may also assist the GSA in identifying all stakeholders who have an interest in or may be affected by SGMA. The table may be improved and updated at any time during the GSP development or implementation process. Listed groups represent a priority target audience for SGMA related communication and engagement. 

The GSA holds publicly noticed public Board and Advisory Committee meetings to allow stakeholders to engage and provide input throughout the process as well as meetings  with specific working groups in the Basin to address specific technical topics or questions. As the GSP is developed and implemented, the website will be updated accordingly with  new information for public comment. Notices of public hearings are communicated  through multiple methods including local newspapers and postings on the County of  Siskiyou website, and a SGMA email outreach list, informing the public on meeting 165 information, subject, and how to provide comments.

The GSA maintains a government-to-government relationship with any Native American
Tribe in Siskiyou County or the larger Klamath River watershed which expresses interest
 in SGMA. Tribal representatives have been appointed to the advisory committees in the
 Scott Valley, Shasta Valley and Butte Valley groundwater basins. Moreover, Siskiyou
 County and the Karuk Tribe formalized good faith communication protocols around SGMA
 through an established memorandum of understanding.

Klamath Coalition of the Willing This is a large group of NGO’s, Tribes, and irrigators brought together to develop solutions related to the Klamath Basin conflicts. County staff and the technical team has interacted with the group and developed project ideas that are both being implemented and in initial design phases, including managed aquifer recharge, storage development and improvin  upland lake management. These projects are further described in Chapter 4.","Appendix 1-A Engagement & Communiction Plan Page 5-7
Table 1

Page 1-5
Page 1-6
Page 1-9","1. Tribes on the Map? (yes/no): 
Does not provide a map highlighting Tribes or Tribal Lands but does include Tribes as a stakeholder. 
2. If yes, which level of engagment:
Engagement=Involve/Collaborate
Specific Tribes such as the Shasta Indian Nation is represented on the SGMA Advisory Committee, and the committee has also appointed a tribal representative to represent other tribes present in the plan area. Tribes were also engaged through general stakeholder engagement . Tribes have also been a part of the Klamath Coalition of the Willing which is aimed at developing projects with benefits to all water users. 
3. Evidence/strategies listed for level of engagement:
Evidence is bolded (in Column J). 

",
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"California Department of Fish and Wildlife
 o GSA staff has monthly coordination meetings with CDFW staff to discuss  numerous topics, which includes SGMA updates and key items and issue’s
related to groundwater management.

DWR created a stakeholder engagement chart to help GSAs identify and engage the range of beneficial groundwater users in a local basin that must comply with SGMA. Table 1 below is a modified version which lists identified stakeholder groups in the Butte Valley community. Originally developed by GSA staff, the table has been reviewed and improved by the Butte Valley Advisory Committee. Interested parties may also assist the GSA in identifying all stakeholders who have an interest in or may be affected by SGMA. The table may be improved and updated at any time during the GSP development or implementation process. Listed groups represent a priority target audience for SGMA related communication and engagement. 

The GSA holds publicly noticed public Board and Advisory Committee meetings to allow  stakeholders to engage and provide input throughout the process as well as meetings  with specific working groups in the Basin to address specific technical topics or questions.  As the GSP is developed and implemented, the website will be updated accordingly with  new information for public comment. Notices of public hearings are communicated  through multiple methods including local newspapers and postings on the County of  Siskiyou website, and a SGMA email outreach list, informing the public on meeting 165 information, subject, and how to provide comments.

Advisory Committee Members
• Steve Albaugh, Private Pumper
• Don Bowen (Vice Chair), Residential
• Don Crawford, Private Pumper
• Patrick Graham, CDFW Butte Valley Wildlife Area
• Greg Herman, Private Pumper
• Steve Lutz, Butte Valley Irrigation District
• Carol Mckay, City of Dorris
• Richard Nelson (Chair), Private Pumper
• Jeff Volberg, Environmental/Conservation
• Howard Wynant, Shasta Indian Nation","Page 1-5
Page 1-6
Page 1-9
Appendix 1-A, Table 1, Page 15","1. Who are the stakeholders?
Table 1 of Appendix 1-A (C&E Plan) lists the following environmental stakeholders: California Department of Fish and Wildlife
Sierra Club, California Waterfowl,Ducks Unlimited, Rocky Mountain Elk Foundation, National Wild Turkey Federation, 
2. Which level of engagment:
They have monthly meetings with the GSA staff to dicuss progress and other SGMA related topics specifically fcocusing on groundwater management. There is also environmental representation on the GSA Advisory Committee, represented by Jeff Volberg. The GSP documents engagement for committee members but also provies information about general stakeoholder engagement such as public meetings, updates and outreach stategies. 
3. Evidence/strategies listed for level of engagement:
3. Level of Engagement: Collaborate",
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"DWR created a stakeholder engagement chart to help GSAs identify and engage the range of beneficial groundwater users in a local basin that must comply with SGMA. Table 1 below is a modified version which lists identified stakeholder groups in the Butte Valley community. Originally developed by GSA staff, the table has been reviewed and improved by the Butte Valley Advisory Committee. Interested parties may also assist the GSA in identifying all stakeholders who have an interest in or may be affected by SGMA. The table may be improved and updated at any time during the GSP development or implementation process. Listed groups represent a priority target audience for SGMA related communication and engagement. 

The GSA holds publicly noticed public Board and Advisory Committee meetings to allow stakeholders to engage and provide input throughout the process as well as meetings  with specific working groups in the Basin to address specific technical topics or questions. As the GSP is developed and implemented, the website will be updated accordingly with  new information for public comment. Notices of public hearings are communicated  through multiple methods including local newspapers and postings on the County of  Siskiyou website, and a SGMA email outreach list, informing the public on meeting 165 information, subject, and how to provide comments.","Appendix 1-A, Table 1, Page 15","1. Documents outreach plans to stakeholders? The text references outreach stategies for all stakeholders but does not include any DAC-specific outreach.
2. List specific outreach methods for DACs?  No
3. What level of outreach engagement? 

Engagement= Inform

",
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Yes,"Tribal Engagement: In addition to the role that tribal representatives will play on Advisory Committees, the GSA will, as noted, maintain a government-to-government relationship with any tribe in the Siskiyou County/Klamath River watershed region that expresses interest in participating in SGMA activities. The GSA will seek to foster trust building, provide the opportunity for tribes to have meaningful involvement, and create a forum by which sovereign tribes can communicate their respective needs and interests around SGMA. As noted earlier, the GSA has utilized DWR Facilitation Support Services to help develop and maintain positive relationships with interested tribes.

District Board Meetings: GSA staff, with support from its technical and facilitation consultants, will provide regular updates to the District Board during the GSP development and implementation process. In turn, the District Board will provide guidance and direction to the overall SGMA implementation process. At times, Advisory Committee members, tribes or other interested parties may address the District Board regarding issues linked to SGMA. The District Board will provide a notice of intent and public hearing prior to formal adoption of the GSP.
 
Constituent Briefings: Advisory Committee members, and, as needed, GSA staff, will provide updates for, and solicit feedback from, their local constituent groups regarding ongoing SGMA activities. Briefings should inform key constituents about SGMA implementation, major milestones and achievements, and opportunities for voluntary participation in the groundwater monitoring program. Committee members will report back constituent input received at briefings to the full Advisory Committee for discussion and consideration.","Appendix 1-A, Page 12","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  ( yes/no) YES
3. What level of outreach engagement?  Engagement=Involve & Inform

GSP documents outreach stategies for Tribes specifically, they will continue to be engaged through various mediums, including maintaining a government-to-government relationship and communication, having tribal representation on the GSP Advisory Commitee as well as have the opporunity to address the District Board regarding SGMA and GSP Implementation. ",
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Constituent Briefings: Advisory Committee members, and, as needed, GSA staff, will provide updates for, and solicit feedback from, their local constituent groups regarding ongoing SGMA activities. Briefings should inform key constituents about SGMA implementation, major milestones and achievements, and opportunities for voluntary participation in the groundwater monitoring program. Committee members will report back constituent input received at briefings to the full Advisory Committee for discussion and consideration.

Local Organizations: At times District Board members and staff, as well as Advisory Committee members, will share information and coordinate with established community organizations such as NGO’s, irrigation districts, or localized interested parties by attending standing meetings and utilizing known communication channels. Additional coordination may occur through non-SGMA related forums, monthly information pieces in newsletters, or by disseminating information in any other manner that reaches the desired target audience.

Coordination with State and Federal Agencies: In order to ensure effective integration of distinct, yet oftentimes overlapping, water management and policy programs, the GSA will coordinate and share information, as needed, with state and federal agencies such as the California Department of Fish and Wildlife, Department of Water Resources, State Water Resources Control Board, US Fish and Wildlife Service and National Marine Fisheries Service. ","Appendix 1-A, Page 12","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO, not specific to environmental stakeholders, only generally to all stakeholders.
3. What level of outreach engagement? Engagement = Inform

GSP documents how environmental federal agencies were given opportuity to engage, they list outreach stategies and opportunities for engagement including have active representation during GSP implementation for environmental users on the advisory committee as well as maintain an open line of communication with environmental federal agencies about groundwater management. ",
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"The Siskiyou County Groundwater Sustainability Agency developed a Butte Valley Basin
 Stakeholder Communication and Engagement Plan (C&E Plan) to educate interested
  parties about local SGMA implementation, describe the phases of GSP development,
 encourage public participation in the process, and address noticing and communication
 requirements in the law (Appendix 1-A).","Page 1-6
Appendix 1-A",Appendix 1-A is referenced as the Communications & Engagement Plan for this GSP. ,
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,"There are three severely disadvantaged communities (SDACs) in the Basin that suffer from  a combination of economic, health, and environmental burdens. By definition, disadvantaged  communities (DACs) have a median household income (MHI) between $38,270 and $51,026  while SDACs have a MHI of less than $38,270 (DWR 2016b). All three of the communities  in the Basin are categorized as SDACs: Dorris has a MHI of $28,963, Macdoel has a MHI of  $35,294, and Mount Hebron has a MHI of $28,170. There are no DACs in the Basin (DWR 2016b).",Page 2-11,"1. Location on the map? (yes/no) No, No SDACs mapped either
2. Identified by name? (yes/no) No
3. DAC places, tracks, or block data used in map? No Map

The GSP states that there are 3 SDACs in the Basin but towards the end of the text claim there are no DAC. This is confusing because I am unsure if they attempt to say they are not DACs and instead SDACs, yet there is no map provided either. ",
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Somewhat,"Modoc Tribe of Oklahoma
Karuk Tribe","Appendix 1-A, Table 1, Page 8","1. Tribal lands identified? (yes/no) YES , Tribes were identified but not mapped. 
2. Tribal lands mapped? (yes/no) NO

",
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Somewhat," The Siskiyou County Flood and Water Conservation District serves as the Groundwater Sus104 tainability Agency (GSA) for the Basin. The Basin has three notable population centers: the City of Dorris (Population: 962), Macdoel (Population: 155), and Mount Hebron (Population: 81) (DWR 2016b). Due to their small populations, Macdoel and Mount Hebron are described as census-designated places by the United States (U.S.) Census Bureau. U.S. Highway 97 crosses the Basin from the southwest to northeast, passing through Dorris and Macdoel. The Union Pacific Railroad passes through Butte Valley from north to south, passing through all three cities. The  railroad generally follows U.S. Highway 97 between Macdoel and Dorris and leaves the Valley north of Dorris via a train tunnel through the Mahogany Mountain ridge. South of Mount Hebron,the railroad generally follows the path of Butte Creek (Figure 1.1).


extra: There are three severely disadvantaged communities (SDACs) in the Basin that suffer from a combination of economic, health, and environmental burdens. By definition, disadvantaged communities (DACs) have a median household income (MHI) between $38,270 and $51,026 while SDACs have a MHI of less than $38,270 (DWR 2016b). All three of the communities in the Basin are categorized as SDACs: Dorris has a MHI of $28,963, Macdoel has a MHI of $35,294, and Mount Hebron has a MHI of $28,170. There are no DACs in the Basin (DWR 2016b).",Page 2-10,"1. What is the size of the population for each DAC?

Somewhat because they mention area in which SDACs are located within the basin and then identify the populations of each of these locations. Although it is not explicitly said, the text is back to back. ",
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?

The figure is a density map but does not provide information in text or in the map of well depths. ",
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,Figure 1.5: Choropleth maps indicating number of domestic (panel A),"Section 2, Table 1.5","1. How are domestic wells mapped (density/point/none)?
Density Map
",
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"Constituents of Concern (COCs) were identified based on visual identification of potential groundwater quality issues using the maps generated in this assessment, identification of common constituents of concern, and through discussion with stakeholders. Resulting from this analysis and discussion with stakeholders, the full list of constituents of concern (COCs) were: 1. Arsenic2. Boron 3. Benzene 4. 1,2 Dibromoethane (EDB) 5. Nitrate as N 6. Specific Conductivity A series of maps for each COC, with water quality data from the past 30 years (1990-2020), show the location of tested wells and whether the maximum concentration ever recorded in that well has exceeded the MCL. In Butte Valley, the water quality source database categorized some wells as either municipal or monitoring. Municipal wells are a public supply well related to a city or town. Monitoring wells are used for monitoring groundwater, such as for site cleanup programs or Irrigated Lands Regulatory Program. Time series graphs included in this section plot the concentration of the COC versus time for applicable wells. For easy visual assessment, each graph only includes seven wells. Multiple graphs were created for each constituent and are arranged from the maximum sampled concentration in each well, to the lowest.&&&Contaminated Sites   Groundwater monitoring activities also take place in the Basin in response to known and potential sources of groundwater contamination, including underground storage tanks. These sites are subject to oversight by regulatory entities, and any monitoring associated with these sites can provide opportunities to improve the regional understanding of groundwater quality. To identify known plumes and contamination within the Basin, SWRCB GeoTracker was reviewed for active clean-up sites of all types. The GeoTracker database shows one open Leaking Underground Storage Tank (LUST) site and two open cleanup program sites with potential or actual groundwater contamination located within the Basin. &&& Groundwater in the Basin has been characterized as mixed-cation to magnesium-bicarbonate wa1694
ter, and as sodium bicarbonate water near Dorris (DWR 1968, 2004). The dissolved-solids content of groundwater in the Basin is commonly less than 360mg/l, though TDS concentrations have been measured in excess of 1,100 mg/L; locally high TDS values have been attributed to evaporites in localized playa deposits (DWR 1968, 2004). Within Butte Valley, groundwater quality issues have historically included locally high arsenic, iron, manganese, boron, TDS, sodium, calcium, ammonia, hydrogen sulfide, phosphorus, and electrical conductivity (DWR 2004). High TDS and sodium have also been noted in shallow wells with hydraulic continuity to Meiss Lake, where salts fromm natural inflow and irrigation-return flows are concentrated by evaporation (DWR 2004). The City of Dorris relies on a single groundwater well for water supply, drilled in 1971, which penetrates the volcanic water bearing formations below the lake deposits, reaching a depth of 1, 236 ft (377 m) (Bray & Associates 2015). Previous water supply wells penetrating lake deposits were found to have arsenicvels exceeding the 1962 drinking water standard of 0.05 parts per million (ppm; 1 ppm = 1 mg/L) (DWR 1968). A 1968 DWR investigation suggested the elevated arsenic levels were the result of industrial contamination, the effects of which continue to be an issue in shallow groundwater wells near Dorris (DWR 1968, 2004; Bray & Associates 2015). 

&&& 

Groundwater in the Basin has been characterized as mixed-cation to magnesium-bicarbonate water, and as sodium bicarbonate water near Dorris (DWR 1968, 2004). The dissolved-solids content of groundwater in the Basin is commonly less than 360mg/l, though TDS concentrations have been measured in excess of 1,100 mg/L; locally high TDS values have been attributed to evaporites in localized playa deposits (DWR 1968, 2004). Within Butte Valley, groundwater quality issues have historically included locally high arsenic, iron, manganese, boron, TDS, sodium, calcium, ammonia, hydrogen sulfide, phosphorus, and electrical conductivity (DWR 2004). High TDS and sodium have also been noted in shallow wells with hydraulic continuity to Meiss Lake, where salts from natural inflow and irrigation-return flows are concentrated by evaporation (DWR 2004). The City of Dorris relies on a single groundwater well for water supply, drilled in 1971, which penetrates the volcanic water bearing formations below the lake deposits, reaching a depth of 1, 236 ft (377 m) (Bray & Associates 2015). Previous water supply wells penetrating lake deposits were found to have arsenic levels exceeding","Appendix 2B / 
Figure 1 thru 24 / Appendix 2b
Pg 76 / 2.2.2.3
pg 83 / 2.2.2.3
Figure 1.23","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? YES (1. Arsenic 2. Boron 3. Benzene 4. 1,2 Dibromoethane (EDB) 5. Nitrate as N 6. Specific Conductivity)
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constituents which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? (Not specifically mentioned)

Constituents of concern (COCs) were: 1. Arsenic2. Boron 3. Benzene 4. 1,2 Dibromoethane (EDB) 5. Nitrate as N 6. Specific Conductivity. They have gathered data from (agricultural,contamination, domestic, research state small water, public water supply) monitoring wells. 

This basin has contamination site shown on Figure 1.23. Data has been gathered from 1990 to 2020. They also mention historically they had some high values locally, they need to make a clear statement that those historical, locally high constitutes are not of concern anymore.","1. Are all concerning constituents identified as COC's, Yes/No -->which ones?
2. Are the COC's mapped?
3. Is there spatial trend data for all COC's?
4. Are constitues which are not of concern identified?
5. Is there a data gap/ Or not enough data related COC's?


"
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,"There are three severely disadvantaged communities (SDACs) in the Basin that suffer from a combination of economic, health, and environmental burdens. By definition, disadvantaged  communities (DACs) have a median household income (MHI) between $38,270 and $51,026  while SDACs have a MHI of less than $38,270 (DWR 2016b). All three of the communities  in the Basin are categorized as SDACs: Dorris has a MHI of $28,963, Macdoel has a MHI of  $35,294, and Mount Hebron has a MHI of $28,170. There are no DACs in the Basin (DWR 2016b).

The Basin has no adjudicated areas and contains one irrigation district, one water district, and four  small water suppliers (Figure 1.2). The Butte Valley Irrigation District (BVID) is a private water supplier that manages irrigation water for roughly 5,000 acres (20 sq km) of land northwest of Mount  Hebron. It manages the largest groundwater distribution and management network in the Basin  and distributes water throughout the service area through a network of pipes. Farms serviced by  the irrigation district are allocated 2 acre-feet per acre per year (AFY) (0.6 m/yr)). BVID supplies  water from approximately 20 wells out of its 25 well network. The City of Dorris has a small munic130 ipal water district serving approximately 938 residents (McKay 2019). It has 2 wells in its supply  network. However, one well is only used as an emergency supply (McKay 2019). Groundwater  supplies 100% of the district water supply (McKay 2019).",Page 2-11,"Somewhat since the two sections are back to back, first the DAC section is written and right after water supply is showsn with areas with DACs correlating with some areas that have identified water sources. ",
