Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Disadvantaged Communities: The City of Ventura (Ventura Water) serves the areas indicated by DWR as Disadvantaged Communities (DACs) and Severely Disadvantaged Communities (SDACs). As the water supplier for DACs in the Basin, the City represented DAC interests through its participate on the MBGSA Board of Directors. In addition, direct outreach to DACs was accomplished via Ventura Water bill stuffers and newsletters, including materials provided in Spanish.",2021-02-24 00:00:00,"1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform
3. Evidence/strategies listed for level of engagement:

The GSP briefly discusses DACs present within the Plan area, and states that the City of Ventura represents DACs in the MBGSA Board of Directors. There is no other documentation on what this representation looks like. More information is needed. ",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"California Native American Tribes: The Agency ensured that a representative of overlying California Native American tribes was on the Agency’s interested parties list, in order to receive notices of all Agency meetings and other stakeholder involvement opportunities.


&&

Portions of the Barbareno-Ventureno Band of Chumash are located within the Mound Basin. Although the tribe is not subject to the requirements of SGMA, any federally recognized Indian tribe may voluntarily participate with GSAs in the preparation or administration of a GSP. MBGSA will inform the Tribal Elder, Julie Tumamait, throughout the GSP development process and GSP implementation.",2021-02-24 00:00:00,"1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform
3. Evidence/strategies listed for level of engagement:

Several tribes have been identified as stakeholders for this GSP and at least one tribe elder is being notified about GSP development and implementation. No other information is given about further engagement about other tribes. ",
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Environmental Users of Groundwater: There are several environmental organizations dedicated to preserving and maintaining environmental values operating within the boundaries of the Basin. To account for these users’ interests, the Agency designated a seat on its fivemember governing board to be filled by an Environmental Stakeholder Director. The Environmental Stakeholder Director is appointed from nominations received from local environmental nonprofit organizations supportive of the Basin’s groundwater sustainability. The Environmental Stakeholder Director is responsible for engaging stakeholders within the Basin and representing environmental interests before the Agency.

&&

MBGSA is governed by a five-member board comprised of one director appointed by each member public agency (City of San Buenaventura, the County of Ventura, and United) and two stakeholder directors representing agricultural and environmental interests.","2-24
2-4","
1. Environmental Stakeholders identified? Specific Environmental Stakeholders were not identified, instead the GSP uses vaue language to capture the image of multiple environmental organiztions being involved in the GSP development. 
2. Which level of engagment: Engagement = Inform 
3. Evidence/strategies listed for level of engagement:
Although the GSP discusses having 1 of the 9 board members of the GSP Advisory Committee being an environmental stakeholder, they do not specificy which organization it is or who the environmental stakeholder is. ",
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"4 OUTREACH ACTIVITIES MBGSA will implement the following outreach activities to maximize stakeholder involvement during the development of the GSP and throughout SGMA implementation. 4.1 Public Notices To ensure that the general public is apprised of local activities and allow stakeholders to access information, SGMA specifies several public notice requirements for GSAs. Refer to Table 1 in Appendix A for a summary of statutory requirements. Three sections of the California Water Code require public notice before establishing a GSA, adopting (or amending) a GSP, or imposing or increasing fees: 4.2 Stakeholder Identification Pursuant to Water Code Sections 10723.8(a)(4) and 10723.2, the Agency will consider the interests of all beneficial uses and users of groundwater, as well as those responsible for implementing a GSP. MBGSA has engaged stakeholders in the development of the Agency to serve as the GSA. For example, during development of the joint powers authority agreement (“JPA Agreement”) forming the Agency, the signatory members held numerous public meetings to discuss important terms to be included in the JPA Agreement. The signatory members also held multiple stakeholder outreach meetings to engage and educate stakeholders within the Mound Basin about the SGMA requirements the JPA Agreement, and the Agency’s intention to form a GSA for the Mound Basin. In addition to the Agency’s public outreach efforts, it also designated two seats on its five-seat Board of Directors for Stakeholder Directors: one seat is reserved for an Agricultural Stakeholder Director and one seat is reserved for an Environmental Stakeholder Director. The Agency plans to continue its practice of seeking broad stakeholder engagement in management of the Mound Basin’s groundwater resources as it undertakes the process to develop
and implement the Plan for the Mound Basin over the next several years. SGMA mandates that a GSA establish and maintain a list of persons interested in receiving notices regarding plan preparation, meeting announcements, and availability of draft plans, maps, and other relevant documents. The MBGSA compiled a list of interested persons for this purpose that will be maintained throughout the GSA formation and GSP development phases. An initial list of stakeholders and interested parties include, but are not limited to, the following: ","Appendix D, Page 4","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

Engagement= Inform 
Most of the engagement and outreach methods listed by the GSP during implementation consist of informing all stakeholders. Does not include any targetted outreach to DACs, Tribes, or Environmental Groups. ",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"4 OUTREACH ACTIVITIES MBGSA will implement the following outreach activities to maximize stakeholder involvement during the development of the GSP and throughout SGMA implementation. 4.1 Public Notices To ensure that the general public is apprised of local activities and allow stakeholders to access information, SGMA specifies several public notice requirements for GSAs. Refer to Table 1 in Appendix A for a summary of statutory requirements. Three sections of the California Water Code require public notice before establishing a GSA, adopting (or amending) a GSP, or imposing or increasing fees: 4.2 Stakeholder Identification Pursuant to Water Code Sections 10723.8(a)(4) and 10723.2, the Agency will consider the interests of all beneficial uses and users of groundwater, as well as those responsible for implementing a GSP. MBGSA has engaged stakeholders in the development of the Agency to serve as the GSA. For example, during development of the joint powers authority agreement (“JPA Agreement”) forming the Agency, the signatory members held numerous public meetings to discuss important terms to be included in the JPA Agreement. The signatory members also held multiple stakeholder outreach meetings to engage and educate stakeholders within the Mound Basin about the SGMA requirements the JPA Agreement, and the Agency’s intention to form a GSA for the Mound Basin. In addition to the Agency’s public outreach efforts, it also designated two seats on its five-seat Board of Directors for Stakeholder Directors: one seat is reserved for an Agricultural Stakeholder Director and one seat is reserved for an Environmental Stakeholder Director. The Agency plans to continue its practice of seeking broad stakeholder engagement in management of the Mound Basin’s groundwater resources as it undertakes the process to develop and implement the Plan for the Mound Basin over the next several years. SGMA mandates that a GSA establish and maintain a list of persons interested in receiving notices regarding plan preparation, meeting announcements, and availability of draft plans, maps, and other relevant documents. The MBGSA compiled a list of interested persons for this purpose that will be maintained throughout the GSA formation and GSP development phases. An initial list of stakeholders and interested parties include, but are not limited to, the following:","Appendix D, Page 4","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? 

Engagement= Inform 
Most of the engagement and outreach methods listed by the GSP during implementation consist of informing all stakeholders. Does not include any targetted outreach to DACs, Tribes, or Environmental Groups. ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"4 OUTREACH ACTIVITIES MBGSA will implement the following outreach activities to maximize stakeholder involvement during the development of the GSP and throughout SGMA implementation. 4.1 Public Notices To ensure that the general public is apprised of local activities and allow stakeholders to access information, SGMA specifies several public notice requirements for GSAs. Refer to Table 1 in Appendix A for a summary of statutory requirements. Three sections of the California Water Code require public notice before establishing a GSA, adopting (or amending) a GSP, or imposing or increasing fees: 4.2 Stakeholder Identification Pursuant to Water Code Sections 10723.8(a)(4) and 10723.2, the Agency will consider the interests of all beneficial uses and users of groundwater, as well as those responsible for implementing a GSP. MBGSA has engaged stakeholders in the development of the Agency to serve as the GSA. For example, during development of the joint powers authority agreement (“JPA Agreement”) forming the Agency, the signatory members held numerous public meetings to discuss important terms to be included in the JPA Agreement. The signatory members also held multiple stakeholder outreach meetings to engage and educate stakeholders within the Mound Basin about the SGMA requirements the JPA Agreement, and the Agency’s intention to form a GSA for the Mound Basin. In addition to the Agency’s public outreach efforts, it also designated two seats on its five-seat Board of Directors for Stakeholder Directors: one seat is reserved for an Agricultural Stakeholder Director and one seat is reserved for an Environmental Stakeholder Director. The Agency plans to continue its practice of seeking broad stakeholder engagement in management of the Mound Basin’s groundwater resources as it undertakes the process to develop and implement the Plan for the Mound Basin over the next several years. SGMA mandates that a GSA establish and maintain a list of persons interested in receiving notices regarding plan preparation, meeting announcements, and availability of draft plans, maps, and other relevant documents. The MBGSA compiled a list of interested persons for this purpose that will be maintained throughout the GSA formation and GSP development phases. An initial list of stakeholders and interested parties include, but are not limited to, the following:","Appendix D, Page 4","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? 

Engagement= Inform 
Most of the engagement and outreach methods listed by the GSP during implementation consist of informing all stakeholders. Does not include any targetted outreach to DACs, Tribes, or Environmental Groups. ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"In addition to the high degree of direct stakeholder representation on the MBGSA Board of Directors, the MBGSA found it important to develop and implement a SEP to seek, encourage, and consider as much public input on the GSP as possible and to ensure compliance SGMA requirements (Appendix D).","Appendix D
2-22",Appendix D outlines the Communications and Engagement Plan. ,
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,,"Appendix D, Figure 1","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) NO
3. DAC places, tracks, or block data used in map? Block Groups and Tracts were used in map. 

A map is provided in Appendix D, listed as Figure 1 but is not discussed any further. It is only listed after the appendix but no context is provided. No names of specific DACs is mentioned either. ",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,,,"1. Tribal lands identified? (yes/no) Yes, although tribes are identified, no other information is presented about their locations. 
2. Tribal lands mapped? (yes/no) NO
",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
No documentation of DAC population. ",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?

No menton of domestic well depth. ",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,,,"1. How are domestic wells mapped (density/point/none)?

Domestic wells are not mapped. ",
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"Available groundwater quality data and existing technical studies were reviewed to understand the age, major-ion chemistry, and spatial and temporal trends in key groundwater quality indicator constituents, such as total dissolved solids (TDS), sulfate, chloride, and nitrate, in the principal aquifers of Mound Basin. Groundwater quality data are available from wells screened in three HSUs in Mound Basin: the fine-grained Pleistocene deposits, Mugu Aquifer, and Hueneme Aquifer. Maps of recent (2017) concentrations of the key indicator constituents and time-series graphs of historical concentrations detected at selected wells are shown on Figures 3.1-12 through 3.1-25. Water quality data for 2017 (VCWPD, 2021) were selected for these maps because 2017 was the most recent year when a relatively large number of Mound Basin wells was sampled; fewer wells were sampled in 2018 by VCWPD due to staffing issues). The major-ion chemistry of the HSUs is shown using stiff diagrams on Figures 3.1-21 through Figure 3.1-23. Comparison of the stiff diagrams reveals that groundwater in the fine-grained Pleistocene deposits has a very different chemistry than groundwater in the principal aquifers (Mugu and Hueneme aquifers). Groundwater in the fine-grained Pleistocene deposits is 3 to 5 times more mineralized and has a different or-ion signature than groundwater in the Mugu and Hueneme aquifers.","Page 45-46 / 3.1.4.3 / Figures 3.1-12 through 3.1-25
Table 3.1-03","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, TDS, sulfate, chloride, nitrate 
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? No
5. Is there a data gap/ Or not enough data related COC's? No mention

Figures 3.1-12 through 3.1-19 show TDS, sulfate, chloride, and nitrate concentrations in the Hueneme and Mugu Aquifers by monitoring location and concentration level. All major contaminents quality needs to be listed as they have been reviewed, need to have a clear table to show contaminents even if they are not of concern in this basin. 


",
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Somewhat,"As described in Section 3.1.1.3 and summarized the beginning of Section 3.3, surface water is imported to Mound Basin via pipeline from Casitas MWD by the City of Ventura for use within the Casitas MWD service area (Figure 2.2-01).",Figure 2-2.01 / GSP Figures Document Page 5 of 87,"The figure provided shows the groundwater supply wells and approximate communities mapped that rely on groundwater supply. Although DACs are not specifically mapped in this figure, we can use the DAC map provided in Figure 1 od Appendix D to identify communities that rely on groundwater.  It would be more effective to have DACs mapped here to see the direct relationship. ",
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",No,"Data are not available to characterize the interconnection of Santa Clara River surface water and groundwater. Although the frequent perennial baseflow conditions imply that surface and groundwater is interconnected, it is not known specifically which groundwater in which units are connected and where && Surface water flow in the various barrancas crossing Mound Basin in response to precipitation events may be briefly interconnected with the shallow alluvial aquifer or perched groundwater, but this cannot be verified with available data.",Page 67 and 68 / 3.2.6,"1. Is there a clear map of ISWs? no map included
2. Was temporal variability and used and described? no
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? No - very little information is given about the location of stream gauges and groundwater well, screening depths, and dates of data used in analysis. The plan states that data is unavailable, but still characterizes the basin",
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",No,"Available data do not suggest depletion of interconnected surface water systems within Mound Basin caused by groundwater use. The following paragraphs describe available information regarding groundwater-surface water interaction that support this conclusion.
&&
Surface bodies in the Mound Basin include the Santa Clara River and its estuary and several smaller, ephemeral streams (barrancas). The Santa Clara River has perennial baseflow within its reach that spans the Mound Basin. The perennial baseflow is fed by shallow groundwater and tile drain discharges from the Mound and Oxnard Basins. The barrancas are ephemeral and flow in response to storm events and, hence, may only be transiently interconnected with shallow groundwater. Despite the interconnection with shallow groundwater, there is no depletion of interconnected surface water in the Basin because there are no groundwater extractions from the shallow groundwater units and groundwater in the principal aquifers is physically separated from the surface water bodies by several hundred feet of fine- grained materials. No groundwater dependent ecosystems (GDEs) have been identified in the Basin that appear to be relying on groundwater from a principal aquifer. 
&& 
Data are not available to characterize the interconnection of Santa Clara River surface water and groundwater. Although the frequent perennial baseflow conditions imply that surface and groundwater is interconnected, it is not known specifically which groundwater in which units are connected and where. 
&&
It is possible that the principal interconnection with the Santa Clara River in Mound Basin could be limited to perched groundwater in the stream terrace deposits. 
&& 
Regardless of the questions and uncertainty surrounding interconnection of shallow aquifer and/or stream terrace groundwater with the Santa Clara River baseflow, it can be concluded that there is no depletion of interconnected surface water in this area because neither unit has any known groundwater extractions within Mound Basin. ",Page ES-vi/ ES-2 && Pages 67 and 68 / 3.2.6,"1. Are ISWs mapped in the basin? no
2. Is the mapping consistent with the assessment? No - no map. The plan concludes that there is not enough data to describe or understand ISWs in the basin and states that because the shallow aquifer is not the main pumping aquifer, the possible ISWs are not significant.",
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",No,"Furthermore, SSP&A (2020) concluded that there is no significant evidence for interactions between groundwater in the principal aquifers and shallow groundwater, which
is consistent with the several hundred feet of fine-grained materials that lie between the shallow aquifer and the principal aquifers near the Santa Clara River
&&
Regardless of the questions and uncertainty surrounding interconnection of shallow aquifer and/or stream terrace groundwater with the Santa Clara River baseflow, it can be concluded that there is no depletion of interconnected surface water in this area because neither unit has any known groundwater extractions within Mound Basin. ",Page 68 / 3.2.6,"1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? Yes - ISW section mentions the ""shallow aquifers"" and ""principal aquifer""
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? No
",Changed from somewhat to no because the plan does not consider shallow aquifer as principal aquifer
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Somewhat,Data are not available to characterize the interconnection of Santa Clara River surface water and groundwater,Page 67 / 3.2.6,"1. Were data gaps identified? Somewhat - data gaps are not explicity mentioned but the plan does acknolwedge that data is not available 
2. Were the data gaps identifed in the ISW section? Somewhat",Changed from no to somewhat because the plan does acknowledge their lack of availablity of data although it is not a clear identification of data gaps
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",No,,,1. Is there a map AND description of pISW? No clear descriptions or maps of ISWs and/or potential ISWs,
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,,Figures G -2 through G-12 in appendix G,"1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types? Somewhat - Appendix G discussed and mapped the vegeation in each potential GDE from the NC dataset. No inventory or description of fauna. 
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? no",
ISW/GDE,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"Figure 3.1-11 shows areas of iGDEs mapped in Mound Basin. A map of each numbered iGDE area is presented in Appendix G, indicating the NCCAG class or classes mapped. Each iGDE was screened in general accordance with TNC recommendations to evaluate groundwater dependency (TNC, 2018). The screening results are presented in Appendix G. 
&&
This appendix presents the screening results for the 11 areas of mapped “indicators of groundwater dependent ecosystems” (iGDEs) within the Mound Basin (Areas 1 through 11) (Figure G-1). Figures G-2 through G-12 include aerial imagery and mapping of specific “vegetation types commonly associated with the sub-surface presence of groundwater” and “wetland features commonly associated with the surface expression of groundwater under natural, unmodified conditions” (CNRA, 2020) within each of Areas 1 through 11. As noted in the Mound Basin Groundwater Sustainability Plan (GSP, Section 3.2.7), mapping of iGDEs is recommended as a starting point for the identification and analysis of potential groundwater dependent ecosystems (pGDEs) under SGMA (Klausmeyer et al., 2018). Determining whether an iGDE is actually a groundwater dependent ecosystem (GDE) requires local-scale information regarding land use, groundwater levels, surface water hydrology, and geology. That local-scale information is provided in this appendix, together with an evaluation of whether each iGDE is dependent on groundwater from a principal aquifer in Mound Basin.",Page 69 / 3.2.7 && Page 1 / appendix G; Figure 3.1-11,"1. Is there a map? yes - figure 3.1-11 presents iGDEs
2. Is there a description of data sources and processing? (describe in notes) yes - appendix G goes through each iGDE and evaluates whether it is depended on groundwater or not. The plan seems to rely on aerial photos and topographic maps and makes claims about groundwater depths without any details. No mention of groundwater depths, stream flow, temporal data, or screening depths. ",
