GENERAL,Unnamed: 1,General Notes ,Unnamed: 3,Unnamed: 4,GSP Information,Answer,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","environment, stakeholder, environmental beneficial user",Somewhat,A list of interested parties was developed and provided to DWR during formation of the BCGSA. The BCGSA will continue to expand this list throughout the GSP development process. An initial list of stakeholders is presented in Table 1..The Nature Conservancy,Page 1 / Appendix D,"They list public comment/website outreach, but they only identifiy one environmental stakeholder, which is The Nature Conservancy. TNC has said that they were not engaged in this process, but are on the interested parties email list and therefore able to comment publicly (aka this process!). 

Level of engagement: inform
"
,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Not Applicable,,,
,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Stakeholder engagement opportunities will be tracked and available on the BCGSA website throughout the GSP development process. Figure 1 shows the required stakeholder engagement opportunities throughout the four phases of GSP development as described by DWR (DWR, 2018). Forms of stakeholder engagement may include public meetings, information distributed to the BCGSA list of stakeholders, or DWR open public comment periods online via the SGMA Portal found at https://sgma.water.ca.gov/portal/#intro. Phase 4 (year 2022+) is the Implementation and Reporting phase following adoption of the GSP.
Active stakeholder involvement and public meetings are encouraged by DWR during this phase.",page 5 / Appendix D,"Does not seem involved during implementation. Provide opportunities to attend meetings but no engagement./Also It doesn't mention how they were notified and needs more detail. The outreach and communication plan provides a very basic understanding of consultation (public notice, meetings, and website) of neighboring tribes, but no real engagement.

Level of engagement: inform"
,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","environment, stakeholder, environmental beneficial user",Somewhat,"Stakeholder engagement opportunities will be tracked and available on the BCGSA website throughout the GSP development process. Figure 1 shows the required stakeholder engagement opportunities throughout the four phases of GSP development as described by DWR (DWR, 2018). Forms of stakeholder engagement may include public meetings, information distributed to the BCGSA list of stakeholders, or DWR open public comment periods online via the SGMA Portal found at https://sgma.water.ca.gov/portal/#intro. Phase 4 (year 2022+) is the Implementation and Reporting phase following adoption of the GSP.
Active stakeholder involvement and public meetings are encouraged by DWR during this phase.",Page 5 / Appendix D,"Does not seem involved during implementation. Provide opportunities to attend meetings but no engagement./Also It doesn't mention how they were notified and needs more detail. The outreach and communication plan provides a very basic understanding of consultation (public notice, meetings, and website) of neighboring tribes, but no real engagement.

Level of engagement: inform"
,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"Stakeholder community and engagement plan, beneficial user",Yes,,Appendix D: Stakeholder Outreach Plan,"Somewhat, it's not very detailed and covers the baseline concept of what communication and outreach is, eg: website, public hearings, public meeting opportunities"
,,DACs,1,"Does the GSP identify each DAC by name and location on a map? Please indicate in the Notes whether DAC places, tracks, or block data were used.","Disadvantaged Communit*, DAC",Not Applicable,,,No DACs in the basin per SGMA Data Viewer
,,Tribes,1,Are tribal lands identified and mapped in the basin?,"tribal, tribe",No,,,"No tribal lands identified in the basin per SGMA Data Viewer, but four tribes were identified as interested parties. "
,,DACs,2,Does the GSP describe the size of the population in each DAC?,"Disadvantaged Communit*, DAC, population",Not Applicable,,,
,,DACs,2,Does the GSP map the location of all domestic wells by location and by depth?,domestic well,No,Small domestic wells are not included in the WMWD database and are not included in the model. Appendix E 4.3.5,Appendix E 4.3.5,"Domestic well density map is provided, but specific locations and depths are not provided"
,,DACs,2,Does the GSP map the density of domestic wells in the basin?,domestic well,Yes,,"Figure 2-4 pg 2-16 
2.1.2.1",The map doesn't specify the specific location of the wells. 
,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"
TDS and nitrate are the constituents of concern in the Basin. Current average conditions(2010 through 2019)show average recent concentrations of TDS of 674 mg/L and nitrate as nitrogen concentrations of 2.75 mg/L. The values represent the average concentrations of these constituents in all drinking water and ambient groundwater monitoring events between 2010 and 2019; water quality samples from regulated facilities were not included in the analysis. These average conditions serve as a snapshot and allow a comparison of water quality conditions across the Basin.

4.7.2. Total Dissolved Solids (TDS) 
As indicated above, average recent TDS concentrations in the Basin are just below the secondary MCL for drinking water (500 mg/L). Recent maximum TDS concentrations from all mg/L several historical water quality analyses from wells had higher concentrations of TDS (e.g., exceeding 500 mg/L). Based on data collected by the BCGSA agencies and Glen Ivy (a  small water system) from 2010 through 2019, TDS ranges from 210 milligrams per liter (mg/L) to 1,110 mg/L. The recommended TDS secondary maximum contaminant level (SMCL) for aesthetics is 500 mg/L.
4.7.3. Nitrate as Nitrogen (NO3 as N) 
The average recent nitrate as nitrogen concentration (2.75 mg/L) is low relative to the MCL  of 10 mg/L. Figure 4-13 shows the maximum nitrate as nitrogen concentrations at each well in the Basin. Several wellsin the northern portion of the Basin show elevated historical nitrate concentration of up to 24.8 mg/L. However, no current nitrate detections exceed the MCL of 10 mg/L for nitrate as nitrogen. Nitrate has multiple and widespread sources including fertilizer application (agricultural and landscaping) and wastewater disposal (both municipal and domestic). Given that these sources are on or near the ground surface, shallow groundwater typically is characterized by higher concentrations than deep groundwater.  
4.7.4. Other Constituents 
In 2021, the BCGSA performed a round of baseline water quality sampling for the GSP. This  sampling was designed to serve as a snapshot of ambient water quality for 48 constituents,  including perfluorooctanesulfonic acid (PFOS) and perfluorooctanoic acid (PFOA). Eight wells  were sampled, three in Bedford and two in Coldwater; the results of this sampling event are  included in Appendix F. PFOS and PFOA were detectable with maximum concentration of 14  nanograms per liter (ng/L) and 25 ng/L respectively. The PFOS concentration is slightly above  the response limit of 10 ng/L parts per trillion (ppt) but the PFOA concentration is below the 40 ng/L for PFOS (SWRCB 2020). The response limit for both PFOS and PFOA are based on a  running four quarter average, so are not triggered by one sample. 
Available water quality data indicate slightly elevated sulfate concentrations in the Basin.  While historical sulfate concentrations ranged from 4 to 339 mg/L, recent samples collected in 2021 show sulfate concentrations from 110 to 270 mg/L. Concentrations in two Bedford  wells were above the SMCL for sulfate of 250 mg/L but all wells were below the primary (health related) MCL of 500 mg/L. Sulfate will continue to be monitored as part of the BCGSA’s  monitoring program, it was not selected as a constituent of concern. The causes of elevated  sulfate may be anthropogenic or naturally occurring. The anthropogenic sources of sulfate  are likely from historical agricultural practices that are similar to nitrate and the natural  occurrence due to geologic environment are similar to TDS. Therefore, TDS and nitrate are  sufficient proxies for sulfate. 
Other constituents that could impact beneficial uses or users, including arsenic, were not  detected. While recent water quality data are limited, there is no indication of other constituents of concern. The BCGSA will continue to monitor water supply wells for Title 22  constituents to ensure adequate water quality in the Basin. 

","ES-3 / Executive Summary
Appendix F
2-8 / 2.1.4.2 
4- 8 / 4.7.1 
4-8 / 4.7.2","
Describes TDS and Nitrates as the main consituents of concern, and includes a map of nitrate and TDS concentrations by well, the sampling is from 2012. The GSP also lists a number of other consituents that are present to a lesser degree: PFOS, PFOA and Sulfate. The other COC's have been identified not as a concern level in Appendix F.

Consituents of Concern: TDS and Nitrates"
,,DACs,2,"Does the GSP identify the sources of water for DACs (e.g., what percentage is supplied by groundwater?","Disadvantaged Communit*, DAC",Not Applicable,,,
BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. ","Interconnected surface water, ISW, gaining, losing",Somewhat,"A review of 27 high-resolution aerial photographs (Google Earth 2021) between 1994 and 2020 did not reveal any reaches of Temescal wash that appeared to have groundwater discharge; that is, flowing or ponded reaches in an otherwise dry channel during the dry season. Thus, the reach of Temescal Wash that passes through the Bedford-Coldwater Basin does not appear to gain flow from groundwater seepage into the channel, at least during the dry season. Water levels in wells near the creek further suggest that the water table is usually below the creek bed elevation. 

&& Depth to groundwater provides a general indication of locations where gaining streams and riparian vegetation are likely to be present. However, available data are of limited use for this purpose due to insufficient geographic and vertical coverage. Available data are almost entirely from water supply wells, which are typically screened deep in the aquifer. The groundwater elevation (potentiometric head) at the depth of the well screen can be different from the true water table, which is the first zone of saturation reached when drilling down from the ground surface. Because recharge occurs at the land surface and pumping occurs at depth, deep alluvial basins such as this one typically have large downward head gradients within the aquifer system. Thus, water level information from wells can potentially underestimate the locations where the water table is shallow enough to support phreatophytic riparian vegetation. Creeks and rivers that lose water commonly form a mound in the water table near the creek or river. The height and width of the mound depends on the transmissivity of the shallowest aquifer. As an example, in other basins where this condition is observed, groundwater elevations in a shallow well adjacent to the Arroyo Seco in the Salinas Valley California rose 5 to 10 feet more than groundwater elevations in wells 1,000 feet away when the river started These examples suggest that shallow wells within 100 to 200 feet of a stream channel would be needed to confirm the presence of hydraulic connection between surface water and groundwater in the Bedford-Coldwater Basin.

 && Groundwater does not discharge into streams unlessthe watertable is equal to or higherthan the elevation of the stream bed. In addition, the water table does not provide water to phreatophytic vegetation unless it is at least as high as the base of the root zone. The depth of the root zone is uncertain, partly because the relatively few studies of rooting depth have produced inconsistent results and partly because rooting depth for some riparian species is facultative. Thismeansthatthe plants will grow deeperrootsif the watertable declines. Many species (including cottonwood and willow) germinate on moist soils along the edge of a creek in spring. As the stream surface recedes during the first summer, the seedlings survive if the roots grow at the same rate as the water-level decline. Over a period of years, roots grow deeper as the land surface accretes from sediment deposition and/or the creek channel meanders away from the young tree or shrub. Available water level data from wells were reviewed to identify parts of the Basin where the water table elevation might possibly be high enough to be reached by phreatophyte roots. For screening purposes, a depth to water of less than 30 feet in wells was selected as a threshold for identifying possible phreatophyte areas. This depth allows for 10 to 15 feet of root depth, 5 feet of elevation difference between the water level in the well and the overlying true water table, and 15 feet of elevation difference between well heads and the bottoms of nearby creek channels. A second limitation of available groundwater elevation data is the sparse geographic  distribution of wells with measurements. Fortunately, many wells in the Basin with water- level data are located along Temescal Wash. Figure 4-16 shows a map of the eleven wells with relatively long-term water-level records. They are clustered into five areas. The only location where the typical spring depth to water was less than 30 feet was at the north end of the Basin, near the Flagler and Corona Non-Potable wells. Hydrographs of water levels in those wells are shown in Figure 4-17. Typical spring depths to water in the five wells in that area ranged from 15 to 27 feet. Slightly farther upstream—at the TVWD wells—typical depths to water were slightly greater than 30 feet. Depth to water increases rapidly to the west of Temescal Wash. At the Corona and Station 71 wells, the typical depth to water was 80 to 200 feet.","pg 4-11 / 4.9.1
pg 4-12 / 4.9.2 && Figure 4-16 && Figure 4-17","Assessed stream flow temporally (1994 - 2020) and spatially. Only used aerial photographs. Did not assess/consider wet season. Plan used stream flow measurments, aerial photos, and sparse shallow groundwater measurements to assess ISWs. Groundwater depths are used when describing ISWs and GDEs. An area of wells show depths less than 30 feet, suggesting connection, but a lack of groundwater data along all surface water leaves too many data gaps for an adequate assessment."
,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","Interconnected surface water, ISW, gaining, losing",No," In summary, groundwater levels in the Basin appear to be too low to normally maintain a hydraulic connection with the Temescal Wash channel. Therefore, groundwater pumping does not deplete flow in Temescal Wash. Groundwater levels might be high enough tosupport phreatophytic riparian vegetation with roots extending 10-15 feet below the elevation of the creek bed.",Page 4-12 / 4.9.2 && Figure 15 HYDROGEOLOGIC CONCEPTUAL MODEL – NEW BEDFORDCOLDWATER BASIN/,"In HYDROGEOLOGIC CONCEPTUAL MODEL – NEW BEDFORDCOLDWATER BASIN they show on Figure 15 that there is a connection with ground water, but they fail to address it clearly./ Data gaps are identified but more explanation and data is needed. Potential ISW needs to be identified based on lack of data."
,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","principal aquifer, shallow ",Yes,"A second limitation of available groundwater elevation data is the sparse geographic distribution of wells with measurements. Fortunately, many wells in the Basin with waterlevel data are located along Temescal Wash. Figure 4-16 shows a map of the eleven wells with relatively long-term water-level records. They are clustered into five areas. The only location where the typical spring depth to water was less than 30 feet was at the north end of the Basin, near the Flagler and Corona Non-Potable wells. Hydrographs of water levels in those wells are shown in Figure 4-17. Typical spring depths to water in the five wells in that area ranged from 15 to 27 feet. Slightly farther upstream—at the TVWD wells—typical depths to water were slightly greater than 30 feet. Depth to water increases rapidly to the west of Temescal Wash. At the Corona and Station 71 wells, the typical depth to water was 80 to 200 feet.",Figure 4-17 / 4.9.2 ,"There is one unconfined aquifer (see cross sections in figures 3-8 and 3-9) and the GSP acknowledges it, even though a lack of shallow groundwater data exists. "
,,Environment,2,Were data gaps identified when mapping ISWs?,"Interconnected surface water, ISW",Somewhat,"As noted in Section 6.7.8, there are several data gaps related to depletions of interconnected surface water along Temescal Wash. Data gaps include lack of water level data in certain areas, lack of dedicated monitoring (vs. production) wells, lack of wells within or near the wash channel, and uncertainty regarding vertical gradients. The objective of Project 1 is to address this data gap and improve protection of a potentially groundwater-dependent ecosystem (GDE) along Temescal Wash. Wells with water-level data are clustered in a small number of locations. Water levels are unknown in many areas that experienced vegetation die-back.

• Almost all wells with water-level data are also production wells. Water-level drawdown that results from pumping is greater and more persistent near a pumping well than in areas far from the well. Consequently, it is difficult to accurately estimate depth to the water table in areas where there is no nearby pumping. • The wells with data are not in the creek channel or within the areas with dense riparian vegetation, and the vertical distance between the wellhead and creek channel has not been surveyed at any well locations. The elevation difference can be estimated, but the lack of measured data produces uncertainty in estimating the depth to water at the channel. • Vertical water-level gradients within the aquifer system are largely unknown. Pumping commonly creates vertical water-level gradients within basin fill materials, such that the true water table near the land surface is higher than the water level in a deep production well at the same location. Some indication of vertical gradients can be gleaned from a study of flow and vegetation along Temescal Wash downstream of EVMWD’s Regional WRF in 2007 to 2008 (MWH 2008). Although the WRF is in the Elsinore Subbasin, vertical gradients caused by pumping would be similar in the Bedford MA. Shallow (seven-foot-deep) piezometers were installed in the channel at several locations along a four-mile reach extending downstream from the WRF. Water levels at piezometer TW7, CM2 and TW2 are included in the hydrographs for the Alberhill and Cemetery wells (see Figure 6-4). Unfortunately, most of the piezometers are not located near production wells. In terms of depth to water, the piezometer water levels appear generally shallower and more stable than are water levels in the nearest monitored production wells, which is consistent with the presence of vertical gradients caused by pumping at depth.","8-4 / 8.6 
6-39  / 6.7.8",Data gaps identfied in the sustainable management criteria and PMA sections but not the ISW section explicitely
,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","Interconnected surface water, ISW, data gap",No,,,No potential ISWs were identified
,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,"Furthermore, some of the plant species included in the NCCAG mapping are facultative phreatophytes, which means they will exploit a water table if it is within a reachable depth but otherwise survive on soil moisture (typically with smaller stature and greater spacing between plants). These species include red willow (Salix laevigata), which is the most common species mapped along Temescal Wash. 

The MSHCP includes mapped areas that are potential habitat for several animal species. The western edge of a very large habitat area for burrowing owl overlaps the eastern edge of the Basin. However, the owl is an upland species that is not dependent on riparian or wetland vegetation. The coastal California gnatcatcher is a bird species federally listed as threatened. Critical habitat areas delineated by the U.S. Fish and Wildlife Service that are in or near the Basin are shown in Figure 4-22. 

Animals dependent on riparian vegetation can also be considered dependent on groundwater. The Western Riverside County Multi-Species Habitat Conservation Plan (MSHCP) evaluates the presence and habitat needs of 146 species. The only ones mapped in the vicinity of the Basin are upland plants and burrowing owls, none of which are dependent on groundwater (Western Riverside County Regional Conservation Authority 2020). The federally threatened California coastal gnatcatcheris a bird species associated with sage scrub environments. The designated critical habitat areas are almost exclusively in upland areas outside the Basin. However, edges of a few mapped habitat areas border the Temescal Wash corridor (see Figure 4-20). 

","Figure 4-22 pg 4-13/ 4.9.3
Figure 4-21 pg 4-16  / 4.9.4.1
6-31 / 6.7.2.1 && Figure 4-16","The GSP mentions endangered species, but they say they are not dependant on GW in that area. 
No inventory of species provided, but some limited descriptions of fauna and flora species. Provides a map of where gnatcatchers exist in basin area. No other inventories or descriptions of other species. 
Also does not provide the mentioned MSHCP, which is the reference document for the species that are ""not groundwater dependent"". Plan includes NC dataset polygons with NDMI values from GDE pulse and a wetland map (figure 4-16 and 4-21) "
,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Somewhat,"However, older and more recent aerial photographs indicate that the vegetation has not been a permanent feature of the landscape. The figure also shows the distribution of vegetation classified as Natural Communities Commonly Associated with Groundwater (NCCAG) by The Nature Conservancy in cooperation with DWR. Based on multiple historical vegetation surveys from the early 2000s, the Nature Conservancy prepared detailed statewide mapping of NCCAG vegetation that is accessible on-line (DWR et al. 2020). The extent of NCCAG vegetation is much greater than the extent of dense riparian vegetation and includes vegetation where the water table is certainly deeper than the root zone (such as near the Corona wells). Thus, some of the vegetation in the NCCAG polygons is probably not relying on groundwater. ","Figure 4-16 / 4.9.3
4.9.4","The GSP usese NCCAG, but also discounts the data from NCCAG. Figure 4-16 is a map of NDMI (from GDE Pulse) but there is no map of GDEs.  Riparian vegetation is discussed in reference to ISWs, but not GDEs specifically. No section explicitly on GDEs, however, there is a section on riparian vegetationa and wetlands with maps of both."
,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",No,"However, available data are of limited use for this purpose due to insufficient geographic and vertical coverage. Available data are almost entirely from water supply wells, which are typically screened deep in the aquifer. The groundwater elevation (potentiometric head) at the depth of the well screen can be different from the true water table, which is the first zone of saturation reached when drilling down from the ground surface. Because recharge occurs at the land surface and pumping occurs at depth, deep alluvial basins such as this one typically have large downward head gradients within the aquifer system. Thus, water level information from wells can potentially underestimate the locations where the water table is shallow enough to support phreatophytic riparian vegetation. && Water levels in wells with relatively shallow depth to water declined 15 to 25 feet during 2012 to 2015, albeit unevenly in some wells.",4-11 &&4-14 / 4.9.2,"While there was depth to water data presented in GSP, it was not used to verify the dataset"
,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)Other?  If so, please specify in the Notes. ","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",No,"Older historical aerial photographs show that dense riparian vegetation was not always present prior to the 1990s (that is, prior to the Google Earth imagery). Figure 4-20 shows aerial photographs taken in 1967 of a 2-mile reach of Temescal Wash in the northern part of the Bedford-Coldwater Basin. It includes the area shown in Figure 4-18 (green rectangle). There was almost no dense riparian vegetation anywhere along the Wash in 1967. Two factors probably contributed to the lack of vegetation. First, precipitation had been consistently below average since 1947 (see additional discussion in Chapter 5). Second, groundwater pumping was higher in those days to support irrigation of citrus groves (some of which are visible in the photograph). Pumping from the Bedford area averaged 3,000 acre-feet per year (AFY) during 1947 to 1967 (WEI 2015b) versus 1,800 AFY during 2015 to 2019. Both of these factors probably contributed to low surface flow and low groundwater levels, which together killed any prior dense riparian vegetation or prevented such vegetation from becoming established. In summary, the extent, density and health of riparian vegetation has been variable historically. Vegetation appears to become denser and lusher when surface flow is more abundant and groundwater levels are consistently shallow, and it dies back during droughts and when groundwater levels are low. At any given time, the extent to which riparian vegetation along some reaches of Temescal Wash is phreatophytic and therefore affected by groundwater levels is unclear. The presence of groundwater elevations that are probably within reach of phreatophyte roots, the presence of patches of dense riparian tree canopy, and the co-occurrence of groundwater declines and vegetation stress and mortality within the past decade all suggest that some vegetation is dependent on groundwater. However, other drought-related decreases in water availability could have contributed to the observed impacts on vegetation. Additional information regarding the true water table depth in the riparian zone and a more comprehensive evaluation of rainfall, irrigation, and wastewater discharge time series is needed to confirm the degree of vegetation dependence on groundwater levels. 

 && The NCCAG vegetation mapping tool also includes a wetlands map, which is reproduced here with simplified mapping categories in Figure 4-21. In the Bedford-Coldwater Basin, almost all of the wetland polygons are   ithin the Temescal Wash channel and accounted for in the preceding discussion of riparian vegetation. The wetland categories for those polygons are mostly marsh (palustrine) or riverine and characterized as   easonally flooded. Vegetation along the low-flow channel is classified as permanently or semi-permanently flooded, which a brief inspection of aerial photographs shows is clearly incorrect. A handful of small wetland polygons were mapped in upland areas west of Temescal Wash. Most are high up in the stream canyons where perennial stream flow or shallow groundwater is sustained by small amounts of groundwater inflow from the bedrock tributary areas and not affected by pumping in the main part of the Basin. Several patchestotaling 1.4 acres are midway between the wash and western Basin boundary, where regional groundwater levels are many tens of feet below the ground surface. The seasonal flooding or saturation that supportsthe wetlandtype vegetation almost certainly derives from pooled rainfall runoff or interflow rather than discharge of regional groundwater.",4-15 && 4-16 / 4.9.4,They consider flooding to remove NC dataset polygon using criteria 1 (Presence of Surface Water)  and 3 (principle aquifer was not considered main pumping aquifer)
,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",No,"the Normalized Difference Vegetation Index (NDVI) and the Normalized Difference Moisture Index (NDMI). Both are calculated asratios ofselected visible and infrared light wavelengths. The Nature Conservancy developed a second on-line mapping tool called GDE Pulse that provides annual dry-season averages of NDVI and NDMI for each mapped NCCAG polygon for 1985-2018 to assist with the identification of groundwater dependent ecosystems (GDEs) (TNC 2020). In Figure 4-16, the polygons are color-coded by the change in NDMI from 2012 to 2015, with positive values in increasingly dark shades of green and negative values in increasingly dark shades of red. Negative values indicate stress due to desiccation. The NDVI patterns were similar to the NDMI patterns.
","4-13 / 4.3.9.5
Figure 5-1 / 5.2","They have a whole section on 5.2 regarding whole dry and wet season. however they don't cover GDE on that section.. 2012 to 2015
No water year types were used to characterize groundwater conditions in GDEs. Figure 5-1 shows water years types for precipitation but is not cross referenced to groundwater conditions and depths"
,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",No,"A second limitation of available groundwater elevation data is the sparse geographic distribution of wells with measurements. Fortunately, many wells in the Basin with water-level data are located along Temescal Wash. Figure 4-16 shows a map of the eleven wells with relatively long-term water-level records. They are clustered into five areas. The only location where the typical spring depth to water was less than 30 feet was at the north end of the Basin, near the Flagler and Corona Non-Potable wells. Hydrographs of water levels in those wells are shown in Figure 4-17. Typical spring depths to water in the five wells in that area ranged from 15 to 27 feet. Slightly farther upstream—at the TVWD wells—typical depths to water were slightly greater than 30 feet. Depth to water increases rapidly to the west of Temescal Wash. At the Corona and Station 71 wells, the typical depth to water was 80 to 200 feet.",page 4-12 / 4.9.2,They didn't use DEM or LIDAR and no mention of correcting for land surface elevations provided. Figure 4-17 presents shallow water hydrographs of groundwater elevations (MSL) but not discussed in detail under GDEs
