Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"Stakeholders associated with these beneficial users and uses include the following. These users are also represented on the SVBGSA Board and Advisory Committees as described in the next section.  Environmental organizations. Environmental organizations that are stakeholders include Sustainable Monterey County, League of Women Voters of Monterey County, Landwatch Monterey County, Friends and Neighbors of Elkhorn Slough, California Native Plant Society Monterey Chapter, Trout Unlimited, Surfriders, the Nature Conservancy (TNC) and the Carmel River Steelhead

Environmental Users. Environmental users include the habitats and associated species maintained by conditions related to surface water flows such as steelhead trout and groundwater dependent ecosystems (GDEs) including brackish and freshwater marsh and riparian habitats. Environmental users include native vegetation and managed wetlands.",2021-02-02 00:00:00,"
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Engagement =  Inform & Involve
3. Evidence/strategies listed for level of engagement:",
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"SVBGSA seeks to engage more constructively with URCs and DACs moving forward in subbasin planning processes and ultimately GSP implementation. In August 2019, SVBGSA hired the Consensus Building Institute (CBI) to conduct an assessment with URC and DAC community leaders via formal interviews. The purpose of the assessment was to capture insights and recommendations to inform an engagement strategy for URCs and DACs. CBI conducted 14 interviews and summarized findings from the assessment to identify initial strategic steps for work with URCs and DACs for GSP planning and implementation. Based on this work, an initial set of short and middle term actions to complete from January 2021-August 2021 was identified and work has begun on these items during the GSP development period and will be operational for implementation in Fall 2021. The Board of Directors affirmed these short and middle term actions on February 11, 2021, and are intended for focus during implementation of the GSP. Middle and long-term actions with URCs were identified for 2022. The Spectrum of Community to Ownership will be utilized as a guide in further shaping SVBGSA work with URCs and DACs communities in the Basin in consultation with community leaders

SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to
engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees
o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the 6 GSPs in the Basin including public outreach. • Online communications
o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, “What does your GSA do with the Sustainability Fee?” newsletter that accompanies each tax bill. Upper Valley Aquifer Subbasin GSP 2-15 August 12, 2021 • Media coverage. Appendix 2C includes SVBGSA’s media policy. o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions. • Educational materials. ","Appendix D
2-14 to 2-15, 2-17","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) YES
3. What level of outreach engagement? Engagement = Involve and Inform 

GSP documents outreach to all stakeholders, DACs are part of the Advisory Committee. The GSP has a specific section that addresses outreach and engagement to DACs which is Appendix D. ",
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"The Advisory Committee, at this time, does not include representation from:
• Tribes
• Federal government

The Subbasin also does not contain any tribal lands (RWMG, 2018).","3-3
2-3","1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  ( yes/no)
3. What level of outreach engagement? ",
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to
engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees
o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the 6 GSPs in the Basin including public outreach. • Online communications
o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, “What does your GSA do with the Sustainability Fee?” newsletter that accompanies each tax bill. Upper Valley Aquifer Subbasin GSP 2-15 August 12, 2021 • Media coverage. Appendix 2C includes SVBGSA’s media policy. o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions. • Educational materials. ",2-14 and 2-15,"1. Documents outreach plans to stakeholders? (yes/no) YES, documents outreach for ALL stakeholders (general outreach)
2. List specific outreach methods for Environmental stakeholders?  ( yes/no) NO
3. What level of outreach engagement? Engagement = Inform and Involve

GSP documents outreach for all stakeholders. Does not include targetted outreach for Environmental Stakeholders but does include them in the Advisory Board. ",
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Section 2 of GSP,Stakeholder & Engagement Plan is not an appendix as most GSPs have done. It is Chapter 2 of the GSP.,
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"The SVBGSA program area has well documented DAC designation including 7 Census Designated Places (CDPs), 60 Block Groups, and 20 Tracts. Additionally, work conducted by the Greater Monterey County Integrated Regional Water Management Program (IRWMP) identified 25 small DACs, SDACs, and suspected disadvantaged communities in unincorporated areas of the IRWMP region (RWMG, 2018). Figure 2-3 shows where DACs, SDACs, and EDAs are located within the Salinas Valley
Groundwater Basin, and Appendix 2D further describes DACs.

Figure 1 shows the communities currently designated as DACs, SDACs, or EDAs in the Salinas Valley. This figure combines census tracts, blocks, and places to give a more complete representation of the communities within this area. Currently, the statewide median household income is $63,783. Therefore, the calculated DAC and SDAC thresholds are $51,026 and $38,270, respectively (see https://water.ca.gov/Work-With-Us/Grants-AndLoans/Mapping-Tools). For example, Castroville has a median household income of $35,000 (Rural Community Assistance Corporation, 2017). Moss Landing is not currently designated as a DAC; however, according to a survey by the California Rural Water Association (2018), its median household income is $47,600. 

Underrepresented communities (URCs) and Disadvantaged Communities (DACs). URCs and DACs include CSD, San Jerardo Cooperative, San Ardo Water District, SanVicente Mutual Water Company, Environmental Justice Coalition for Water","2-17
Figure 2-3 / Page 2-18

Appendix 1-D

2-2","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) YES
3. DAC places, tracks, or block data used in map? DAC Places, Blocks and Tracts all used. ",
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
",
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
GSP does not discuss population size of DACs in the basin. ",
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
GSP does not map specific locations, only includes Density Map. The GSP does not mention or discuss domestic well depths or depth ranges. ",
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 3-8, Figure 3-9, and Figure 3-10 show the density of domestic, production, and public supply wells, respectively, in the Subbasin, with the production wells being inclusive of the public supply wells.",Figure 3-8 / Page 3-14,"1. How are domestic wells mapped (density/point/none)?
Density Map is used to map domestic wells. ",
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"The SVBGSA does not have regulatory authority over groundwater quality and is not charged with improving groundwater quality in the Salinas Valley Groundwater Basin. Projects and actions implemented by the SVBGSA are not required to improve groundwater quality; however, they must not further degrade it.&&&
Figure 5-13 shows a map of nitrate distribution in the northern part of the Subbasin prepared by CCGC. The orange and red areas around King City and along the eastern boundary of the Subbasin illustrate where groundwater has nitrate concentrations above the drinking water MCL of 45 mg/L as NO3.&&&
Based on the water quality information for the DDW and ILRP wells from GAMA Groundwater Information System, the following are the COC for drinking water supply wells in the Subbasin and will be included in the GSP monitoring program:
• 1,2,3-trichloropropane
• benzo(a)pyrene
• boron
• cadmium
• chloride
• dinoseb
• hexachlorobenzene
• iron
• lindane
• manganese
• nitrate (as nitrogen)
• nitrate + nitrite (sum as nitrogen)
• specific conductance
• sulfate
• total dissolved solids
• vinyl chloride 
The only COC in the Subbasin for agricultural wells is chloride. Chloride is known to cause reductions in crop production when the concentration in irrigation water exceeds the agricultural water quality objectives. The COC for active cleanup sites listed in Table 5-2 are not part of the monitoring network described in Chapter 7. However, the status of these constituents at these sites will continue to be monitored by the DTSC or the CCRWQCB. Furthermore, the COC for these sites that have a regulatory standard under Title 22 for drinking water wells, or the Basin Plan for irrigation supply wells will be monitored in the DDW and ILRP wells that are part of the monitoring network.&&&
Table 5-3 reports the constituents of concern in the Upper Valley Subbasin based on GAMA Groundwater Information System data up to 2019. The number of wells that exceed the regulatory standard for any given COC is based on the latest sample for each well in the monitoring network. Not all wells have been sampled for all COC. Therefore, the percentage of wells with exceedances is the number of wells that exceed the regulatory standard divided by the total number of wells that have ever been sampled for that COC. Additionally, Table 5-3 does not report all of the constituents that are monitored under Title 22 or the Basin Plan, it only includes the constituents that exceed a regulatory standard. The total list of constituents sampled in the water quality monitoring network are listed in Table 8-5. Maps with the locations of wells that exceeded the regulatory standard for any of the COC listed in Table 5-3 from 2013 to 2019 are provided in Appendix 5B.","figure 4-15
Page 5-20 / 5.3
Page 5-23 / 5.3.3
Page 5-26 / 5.3.3
Page 5-27 / 5.3.4
Figure 5-12, 5-13
Table 5-2, 5-3
Figure 1 thru 6 /Appendix 5B ","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, 1,2,3-trichloropropane• benzo(a)pyrene• boron• cadmium• chloride• dinoseb• hexachlorobenzene• iron • lindane • manganese • nitrate (as nitrogen)• nitrate + nitrite (sum as nitrogen)• specific conductance • sulfate• total dissolved solids • vinyl chloride
2. Are the COC's mapped? Yes, (The COC's have been mapped based on sampling location from--> Farm domestic wells, DDW wells, and Irrigation wells)
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? They mention GSP does not have regulatory authority to control WQ.

Based on the water quality information for the DDW and ILRP wells from GAMA Groundwater Information System, the following are the COC for drinking water supply wells in the Subbasin and will be included in the GSP monitoring program: • 1,2,3-trichloropropane• benzo(a)pyrene• boron• cadmium• chloride• dinoseb• hexachlorobenzene• iron • lindane • manganese • nitrate (as nitrogen)• nitrate + nitrite (sum as nitrogen)• specific conductance • sulfate• total dissolved solids • vinyl chloride


",
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Yes,"As highlighted in the IWRM Plan, small disadvantaged communities in unincorporated areas often have small public water systems that serve fewer than 200 connections. The smallest of these communities have State Small Water Systems (SSWS), which serve between five and 14 connections); Local Small Water Systems (LSWS), which serve between two and four connections; and/or households served by private domestic groundwater wells. There is a significant difference in capacity, water supply, and infrastructure needs between a DAC served by a large water system (e.g., a large disadvantaged community of several thousand people, or a small disadvantaged community served by a large water utility) and a small disadvantaged community served by a small water system or by private wells.

Drinking water systems are categorized according to the number of service connections: • Public water systems, which are referred to as municipal public water systems in this GSP for clarity, are water systems that provide drinking water to at least 15 service connections or serve an average of at least 25 people for at least 60 days a year, • State small water systems are water systems that provide piped drinking water to between five and 14 service connections, and do not regularly serve drinking water to more than an average of 25 individuals daily for more than 60 days out of the year, • Local small water systems are water systems that provide drinking water to between two and four service connections, and • Private domestic wells usually provide water to only one or two connections.

DACs in the Basin rely primarily on groundwater for their drinking water supply, except for those who rely on bottled water due to unsafe or poor water quality conditions. The primary drinking water problems experienced by small DACs in Monterey County are related to nitrate contamination, seawater intrusion, or other contaminants of concern. Numerous studies over the decades have documented these challenges. ","Appendix 2-D: Disadvanatged Communities
FIgure 3-6 / Page 3-10 ","GSP documents approximately how many connections to water systems DACs have in the Basin Area, breaking it down by water system type such as public water systems, domestic wells, small and local water systems.

Figure 3-6 on Page 3-10 also highlights on the map that communities in the Basin that are dependent on groundwater. ",
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Figure 4-11 shows locations of ISW, in the Upper Valley Subbasin evaluated on a monthly basis over the entire model period from 1967 to 2017. This analysis also excludes the period from June to September assuming that the majority of flow in the river during these months is from conservation releases from the reservoirs. The blue cells indicate areas where surface water is connected to groundwater for more than 50% of the number of months in the model period and are designated as areas of ISW. The clear cells represent areas that have interconnection less than 50% of the model period and require further evaluation to determine whether the SMC, discussed in Chapter 8, apply. The gray cells show locations of canals, drains, or connectors and were excluded from the analysis. These ISW locations are based on simulated results from the preliminary SVIHM, which is calibrated to measured groundwater levels and streamflows. Although seepage along the ISW reaches is based on assumed channel and aquifer parameters as model inputs, the preliminary SVIHM is the best available tool to estimate ISW locations. The model construction and uncertainty are described in Chapter 6 of this GSP. This map does not show the extent of interconnection which is estimated in Chapter 5. Interconnection between surface water and groundwater can vary both in time and space. A seasonal analysis is included in Appendix 4A. 

&& 

To understand whether surface water is connected to groundwater only during certain months, a monthly analysis was undertaken. The monthly analysis produces 2 pieces of information for each month of the year: (1) the average percent of years simulated by the SVIHM that a stream has hydrologic connection, based on the average monthly connectivity of every model grid cell identified as ISW along the stream, and (2) the average extent of where hydrologic connection occurs. Figure 4A-1 shows the average percent of time when connectivity occurs at any location along a given stream in Salinas Valley. These data show the average temporal connectivity along the entire length of a stream; however, some reaches of the stream have much lower or higher connectivity then indicated by the average values. The results on Figure 4A-1 are most useful for identifying the seasonal trends of connectivity for streams. Tributaries to the river and streams away from the river show seasonal variation in connectivity, with higher average connectivity in the Winter and Spring months and lower average connectivity in the Summer months. Consistent with the seasonal variations in average time of connectivity, the lengths of ISW along the streams away from the Salinas River are generally longest during the late Winter and Spring months and shortest during the late Summer months. The average ISW length varies during the year in the Langley Area Subbasin and along Arroyo Seco in Forebay Subbasin, with the locations of ISW in 4.4.5.1 representing the stream reaches with more consistent connection. The lengths of average ISW away from Salinas River in Upper Valley vary very little, if at all, during the year. The average monthly variations and extents are based on results from the provisional SVIHM and are subject to change in future updates to the GSP as additional data increases the understanding regarding ISW extents

&& 

The preliminary SVIHM is used to map the potential locations of ISW, as described in Chapter 4 and shown in Figure 4-11. There is no data that verifies the location and extent of surface water connection to groundwater, nor the extent to which groundwater extraction depletes surface water. Therefore, this section describes the hydraulic principles that establish the relationship between surface water and groundwater, upon which the current conditions and monitoring network are based

&&

Depletion of ISW is estimated by evaluating the change in the modeled stream leakage with and without pumping (i.e., water flowing from the stream into the groundwater system). A model simulation without any groundwater pumping in the model (i.e., SVIHM with no pumping) was compared to the model simulation with groundwater pumping (i.e., SVIHM with pumping). The difference in stream depletion between the 2 models is the depletion caused by the groundwater pumping. This comparison was undertaken for the entire area of the Salinas Valley included in the model and also for the Subbasin. The stream depletion differences are only estimated for the interconnected segments identified in Figure 4-14. The methodology for quantifying stream depletion is described in detail by Barlow and Leake (2012).",Page 4-25 / 4.4.5.1 && Page 1 / appendix 4A && Page 5-31 / 5.5.1 && Page 6-1 / 6.1; Figure 4-11,"1. Is there a clear map of ISWs? yes - figure 4-11 shows the SVIHM model cells of connection greater than 50% of time and connection less than 50% of time
2. Was temporal variability and used and described? yes - figure 4-11 presents the percentage of connection during model period (1967-2017) 
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? no - no description of where data is coming from in either ISW section (4.4.5.1 and 5.5.1). All that is said is the model is used. 

Note: In the groundwater monitoring network section (7.2) figure 7-1 shows the aquifer monitoring network, which covers a portion of the basin, but there is no discussion on how the monitoring network was used in the ISW model",
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"The ISW delineated along the Salinas River in section 4.4.5.1 of the GSP represent reaches that are connected during a majority (greater than 50%) of months during the non-peak conservation release period (October through May) over the full SVIHM simulation period from 1967 to 2017. However, model results indicate that the ISW length along the Salinas River is virtually the same throughout the year, connected the vast majority of time. 

&& 

The blue cells indicate areas where surface water is connected to groundwater for more than 50% of the number of months in the model period and are designated as areas of ISW. The clear cells represent areas that have interconnection less than 50% of the model period and require further evaluation to determine whether the SMC, discussed in Chapter 8, apply.",Page 1 / appendix 4A && Page 4-25 / 4.4.5.1,"1. Are ISWs mapped in the basin? Yes
2. Is the mapping consistent with the assessment? Somewhat - The plan has a vague conclusion that most of the surface water is connected and the map shows connected cells (greater than 50%) and uncertain ISWs (less than 50%) connection. Hard to know if conclusions are consistent when little detail is given on data used",
