Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,,,"1. Location on the map? (yes/no)
2. Identified by name? (yes/no)
3. DAC places, tracks, or block data used in map?

GSP references that certain counties in the Basin ""meet the requirements"" for disadvanatged communities but does not go into detail about this, does not include map. No further mention of DACs. 

It is recommended that the GSP should include a map that encapsulates that the whole basin is considered a DAC. ",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,"The population within the Subbasin is projected to increase by 1% from 2,407 people in 2010 to 2,434
people in 2030 (DWR, 2020a).",2021-02-08 00:00:00,"1. Does the GSP document the size of the population for each DAC?
GSP does not document size of DAC population. 

Note: GSP references the population of the subbasin, referencing a population from 2010 which was listed as 2,407 people. ",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location. ",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Using the information from Table 2.3, Figure 2-7; Figure 2-8; and Figure 2-9 identify the density of wells per square mile for agricultural wells, industrial/monitoring/miscellaneous wells, and domestic wells, respectively. Each of the squares on the figures represent approximately one square mile of land. The color of each square indicates the number of wells within the square.","Figure 2-9
Page 2-18
Page 2-15","1. How are domestic wells mapped (density/point/none)?
Density map is used to map domestic wells. ",
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Somewhat,"2.2.2.6 Groundwater Quality
Limited groundwater quality monitoring data are available within Tule Lake Subbasin. In most instances, many of the groundwater wells have not been monitored frequently, with many wells being sampled only once during the period of record for a parameter.
DWR Bulletin 118 generally describes the water quality of the groundwater within the Tule Lake Subbasin as ranging widely in response to the source and proximity to sources of surface and subsurface impairment. Water quality for wells constructed in the unconfined volcanic rocks within and adjacent to the Tule Lake Subbasin is good with a sodium-bicarbonate character and a total dissolved solids (TDS) ranging from 150 to 270 mg/L. A shift in water quality is observed with the unconfined volcanics that are proximate to lake sediments. The character shifts to a sodium/calcium/magnesium-bicarbonate/sulfate water that is much higher in total dissolved solids (600 to 800 mg/L), which generally increases in proportion to the penetrated thickness of interfingering lake deposits (DWR, 2004).
The State Water Resources Control Board’s GAMA Program has created tools to analyze groundwater throughout the State. Appendix G includes water quality information obtained from GAMA. A summary of key constituents in all wells monitored in the subbasin, identified that major ions, volatile organic compounds (VOCs), track elements, and TDS can be found in high concentrations throughout the subbasin. However, radionuclides, pesticides, and nutrients are typically only detected at low concentrations.
The SWRCB performed an analysis of domestic well water throughout the state. Data were collected over two years (summer 2017 – summer 2019) for chemical constituents that have an established maximum contaminant level (MCL) or secondary maximum contaminant level (SMCL) along with several other constituents. The top six constituents were represented in the analysis: nitrate, arsenic, hexavalent chromium, uranium, 1,2,3 trichloropropane (1234 TCP), and perchlorate. The results of this study show that only arsenic exceeded the MCL of 10 micrograms per liter. Hexavalent chromium is identified as unknown for the area. It is assumed that this constituent was not tested for in the subbasin. The remaining four constituents did not exceed the established MCL or SMCL.","Page 2-55 / 2.2.2.6
Appendix G","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, Arsenic (The top six constituents were represented in the analysis: nitrate, arsenic, hexavalent chromium, uranium, 1,2,3 trichloropropane (1234 TCP), and perchlorate. The results of this study show that only arsenic exceeded the MCL of 10 micrograms per liter)
2. Are the COC's mapped? Yes, however they have done a poor job on mapping the COC's. they have done block groups and it is not clear.
3. Is there spatial trend data for all COC's? It's not clear how long they have been collecting the data, however they mention for domestic wells from 2017 to 2019
4. Are constitues which are not of concern identified? somehow, they have data gaps 
5. Is there a data gap/ Or not enough data related COC's? Yes



",
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,Figure 2-4 shows the areas and water source types within the Subbasin.,"2-10
Figure 2-4","The whole subbasin is considered a DAC based on SGMA Data Viewer and DWR Mapping Tool , and Figure 2-4 maps the basin with the water source types. However, the GSP should make the connection between DACs and water source type clear. ",
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",No,"Interaction between groundwater and surface water in the Subbasin was analyzed through the use of the model. Direct measurement of the gain or loss from surface water to groundwater in the area is not feasible; however, the model provides sufficient information to characterize interconnected surface water systems. The model was used to develop estimates of timing and volume of gains and losses. Within the Subbasin, natural surface water systems include the small reach of the Lost River which extends into the Tulelake area and the “Sumps”. This system is highly regulated as part of Reclamation’s Klamath Project, and flows in the Lost River and water levels within the Sumps are dependent on surface water deliveries made available by Reclamation from the Klamath Project. The Tule Lake National Wildlife Refuge is located within the Subbasin and primarily consists of four “Sumps,” two of which act as regulating reservoir within TID (Sumps 1A and 1B). The other two Sumps (Sumps 2 and 3) have been reclaimed and are farmed as lease and co-op lands. The operational spills and tailwater resulting from irrigation within TID are conveyed through TID’s extensive drainage system, which utilizes gravity and pumped discharge into portions of the canal system or into the Tule Lake Sumps. Water regulated and stored within the Tule Lake Sumps may be diverted or rediverted for irrigation within TID or discharged by TID’s D‐Pumping Plant to the P‐Canal, which serves the Lower Klamath National Wildlife Refuge and the water users on the P‐Canal system of the Project. The Sumps are operated by TID, and the surface water level must be maintained at specified elevations throughout the year. Based on the Biological Opinion to protect the endangered sucker fish, the Sumps must be maintained at an elevation of at least 4,034.60 feet during April 1 through September 30; and, based on the Rules and Regulations relative to flood control, the elevation is maintained at 4,034.00 feet the remainder of the year.",Page 2-58-59 / 2.2.2.8,"1. Is there a clear map of ISWs? no - there is no map or figure of ISWs
2. Was temporal variability and used and described? no
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? no - the plan only mentions the use of the model, but this is very vague and no details are provided in the ISW section or other sections",
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Shallow groundwater and surface water systems can be hydraulically connected. The surface water bodies can either be gaining (receiving water from the groundwater system) or losing (losing water to the groundwater system). As shown in the water budgets (see Section 4), there is interaction between the groundwater system and the land system within the Tule Lake Subbasin. However, the majority of surface water in the Subbasin consists of water within the Tulelake Irrigation District canals, drains, and the Tule Lake Sumps as a result of deliveries from the Klamath Project.

&& There are not active groundwater recharge projects in the Tule Lake Subbasin; however, the Tule Lake Sumps and the District’s conveyance facilities are unlined, which led to groundwater recharge shown in Table 4.1. In addition, with rising power costs, TID has minimized D-Plant pumping, which has led to increased surface water recirculation and increased groundwater recharge.

&& As previously stated, the only surface water within the Subbasin is a small portion of the Lost River which terminates in the Tule Lake Sumps. This system is highly regulated as part of Reclamation’s Klamath Project, and flows in the Lost River and water levels within the Sumps are dependent on surface water deliveries made available by Reclamation from the Klamath Project. Due to the nature of the Lost River and Sumps, a separate monitoring network for groundwater-surface water interaction has not been developed. However, DWR Monitoring Well No. 48N04E22M001M is located adjacent to the Lost River and is included in the Groundwater Level Monitoring Network","Page 5-5 / 5.2.4.1

&& Page 4-3 / 4.1.1

&& Page 3-5 / 3.3.1.5

Table 4.1
Table 4.2","1. Are ISWs mapped in the basin? no
2. Is the mapping consistent with the assessment? somewhat - the plan seems to consider the river, canals, and Sumps as ISW in the water budget section, but there is not a clear description or statement of this. Based on tables 4.1 and 4.2, the historical water budgets, there is loss of surface water to the groundwater system and also some groundwater discharge to main canals and Lost Rivers. Yet, in the monitoring network section, the plan states that there will be no ISW monitoring network because the surface water systems are highly regulated. Unsure what the conclusion is.",
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged; shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (or related appendix)  (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged (in ISW section or related appendix)= yes","principal aquifer, shallow ",Somewhat,"Interaction between groundwater and surface water in the Subbasin was analyzed through the use of the model.

&& Model Layers 4 and 5 were split into an even thickness to capture screening intervals from pumping wells that extend through these depths. Finally, Model Layer 6 was extended beyond the deepest pumping wells in the region to provide an adequate buffer between the deepest pumping wells and the bottom most layer of the GSP Model.

&& The principal water-bearing formations in the subbasin include Tertiary to Quaternary lake deposits and volcanics. In general, two major aquifer systems have been identified in the Subbasin, the alluvial aquifer system and the volcanic aquifer system.","Page 2-58 / 2.2.2.8

&& PDF page 231 / appendix K","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? somewhat - unsure what aquifers are represented in the model
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s) yes",
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",No,,,"1. Were data gaps identified? no
2. Were the data gaps identified in the ISW section? no",
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",No,,,1. Is there a map AND description of pISW? no,
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,,"Unlabeled Table, Page 2 / Appendix H","1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types (in GDE section or related appendix)? somewhat - an unlabeled table in appendix H presents the vegetation name and wetland name in the NC dataset GDE poygons in the basin. No description of fauna or endangered/threatened species in GDEs
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? no",
