Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,", the objectives of the SASb’s engagement efforts are to:
• Educate Interested Parties about the importance of the GSP, what is and is not feasible, what must be accomplished, and how success will be measured.
• Ensure Interested Parties and beneficial users of water are able to contribute meaningful input, which is then considered in the decision-making process.
• Involve a diverse group of Interested Parties in the GSP process.
• Make public participation easy and accessible.

SGMA stresses the importance of local groups to create local plans and ultimately to locally manage sustainable solutions. To achieve this, stakeholder input to consider beneficial groundwater uses and users of groundwater is imperative to support the GSP process and implementation. The SASb supports various agricultural activities (including but not limited to grazing, vineyards, and orchards); rural residential wells; municipal and industrial supply; aquatic ecosystems associated with rivers and streams, some of which provide habitat for threatened or endangered species, and groundwater dependent terrestrial ecosystems. While a more extensive list of Interested Parties is included in Appendix F, a summary of stakeholder groups is listed below.

&&

""Disadvantaged Communities • Environmental Justice Coalition for Water • Florin Census-Designated Place (CDP) DAC • Lemon Hill CDP DAC • Parkway CDP DAC • Fruitridge Pocket CDP DAC • Freeport CDP DAC
Three maps, depicted below, were prepared showing DACs in the SASb using information available from the DWR Water Tool, DAC Boundaries-Places, 2016. From the organizations above, a list of potentially Interested Parties was developed which will be used in outreach to DACs in accordance with the C&E Plan.""","pg9, 2.0 Appendix 1-D
Appendix G, Appendix 1-D
""
pg 70-71-72, Appendix 1-D""","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement=Inform 
3. Evidence/strategies listed for level of engagement: GSP documents opportunities for engagement for all stakeholders, does not specifically include taregtted engagement for DACs. ",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Individual emails will also be sent to invite known Interested Party groups to participate. For example, letters were sent via email to local Native American Tribal governments, Ag-Res communities and small water system users inviting participation in the GSP process. Small community water systems within the SASb will also be identified and communicated withindividually. Also, refer to H12","pg 27, APpendix 1-D
pg9, 2.0 Appendix 1-D
Appendix G, Appendix 1-D","1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment:ENgagement= Inform
3. Evidence/strategies listed for level of engagement:

The GSP documents targeted outrech to members of tribes within the basin by writing a letter to local Native American Tribes. No further details are provided about opportunities of engagement or any further collaboration/discussions. ",
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Refer to H12
Environmental Users of Groundwater • Various agencies on this list address environmental concerns related to groundwater and the SASb GSAs will work with them to consider and protect such interests, including but not limited to the additional organizations cited. • Stone Lakes National Wildlife Refuge • Sacramento Valley Conservancy • The Nature Conservancy • Cosumnes River Preserve • Cosumnes Coalition • Delta Meadows State Park","pg 27, APpendix 1-D
pg9, 2.0 Appendix 1-D
Appendix G, Appendix 1-D
pg 65, Appendix 1-D","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Engagement=Inform with the intention to involve
3. Evidence/strategies listed for level of engagement:
Environmental stakeholders are identified as beneficial users of groundwater within the basin. Although the GSP does include language that suggests environmental stakeholders are being considered and will be reached out to, no further details are provided about intended engagement. ",
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"
How will public input be used?
GSP Regulations (Section 355.4) require that GSAs consider the interests of the beneficial uses and users of groundwater in the subbasin. In addition, the GSAs will consider the effects on land use and property 
 interests of the GSP. Public input is essential in understanding and considering these interests and effects. During the GSP review and approval process, DWR will take public comments into account when determining whether interests within the subbasin have been considered in the development and implementation of the GSP

In addition, GSP Staff will be available throughout the GSP development process to
446 communicate and engage with Interested Parties and the public. Interested Parties can be
447 involved in GSP development by providing input throughout the process.","
Figure 7. page 21, Appendix 1-D
Pg 22, Appendix 1-D

Page 1-15","1. Documents outreach plans to stakeholders? (yes/no) 
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

GSP provides vague  language about intended outreach during GSP implementation. Does not include specific outreach to specific groups or entities. ",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"
How will public input be used?
GSP Regulations (Section 355.4) require that GSAs consider the interests of the beneficial uses and users of groundwater in the subbasin. In addition, the GSAs will consider the effects on land use and property 
 interests of the GSP. Public input is essential in understanding and considering these interests and effects. During the GSP review and approval process, DWR will take public comments into account when determining whether interests within the subbasin have been considered in the development and implementation of the GSP","
Figure 7. page 21, Appendix 1-D
Pg 22, Appendix 1-D","1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? 


GSP provides vague  language about intended outreach during GSP implementation. Does not include specific outreach to specific groups or entities. ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"
How will public input be used?
GSP Regulations (Section 355.4) require that GSAs consider the interests of the beneficial uses and users of groundwater in the subbasin. In addition, the GSAs will consider the effects on land use and property 
 interests of the GSP. Public input is essential in understanding and considering these interests and effects. During the GSP review and approval process, DWR will take public comments into account when determining whether interests within the subbasin have been considered in the development and implementation of the GSP","
Figure 7. page 21, Appendix 1-D
Pg 22, Appendix 1-D","1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 


GSP provides vague  language about intended outreach during GSP implementation. Does not include specific outreach to specific groups or entities. ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"SGMA stresses the importance of local groups to create local plans and ultimately to locally manage sustainable solutions. To achieve this, stakeholder input to consider beneficial groundwater uses and users of groundwater is imperative to support the GSP process and implementation. The SASb supports various agricultural activities (including but not limited to grazing, vineyards, and orchards); rural residential wells; municipal and industrial supply; aquatic ecosystems associated with rivers and streams, some of which provide habitat for threatened or endangered species, and groundwater dependent terrestrial ecosystems. While a more extensive list of Interested Parties is included in Appendix F, a summary of stakeholder groups is listed below.","pg 11, 3.0, Appendix 1-D, Page 6 of Stakeholder Communication & Engagement Plan",Appendix 1-D serves as the C&E plan. ,
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"Disadvantaged Communities • Environmental Justice Coalition for Water • Florin Census-Designated Place (CDP) DAC • Lemon Hill CDP DAC • Parkway CDP DAC • Fruitridge Pocket CDP DAC • Freeport CDP DAC
Three maps, depicted below, were prepared showing DACs in the SASb using information available from the DWR Water Tool, DAC Boundaries-Places, 2016. From the organizations above, a list of potentially Interested Parties was developed which will be used in outreach to DACs in accordance with the C&E Plan.


The following list of DAC areas in SASb was compiled using information from the DWR Water Tool, DAC
Boundaries-Places, 2016. These areas overlap with the water supply entity jurisdictions that are shown
in the maps below:
1. Florin Census-designated Place (CDP) DAC
• Water District 1: Florin County Water District
• Water District 2: Sacramento County Water District
• Water District 3: City of Sacramento
• Water District 4: California American Water Company
• Water District 5: California American Water Company
• Water District 6: California American Water Company
• Water District 7: California American Water Company
2. Parkway CDP DAC
• Water District 1: California American Water Company
• Water District 2: City of Sacramento
3. Lemon Hill CDP DAC
• Water District 1: California American Water Company
• Water District 2: City of Sacramento
4. Fruitridge Pocket CDP DAC
• Water District 1: California American Water Company
DRAFT
Communication + Engagement Plan for the SASb GSP 68 | P a g e
• Water District 2: City of Sacramento
5. Franklin CDP DAC
• Water District 1: Sacramento County Water District
6. Freeport CDP DAC
• Water District 1: Appears to be between Rec District No 307 and North Delta Water Agency","
pg 70-71-72, Appendix 1-D

Appendix G","1. Location on the map? (yes/no)
2. Identified by name? (yes/no) YES
3. DAC places, tracks, or block data used in map?

GSP provides very detailed layout of DACs within the basin and also provides names of DACs identified. ",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)


No tribal lands are mapped. ",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
GSP does not document size of DACs.",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,Somewhat,"Figure 2.1-9 shows the approximate number and average depth of domestic wells in the SASb. 131 There are approximately 3,337 domestic wells in the GSP area with well completion depth 132 ranging from 25 to 1,330 feet (DWR, 2020b).","Figure 2.1-9
pg 2-9
pg 2-14","1. Does the map include depth by location?

Although map does not include depth by location, GSP text provides range of domestic well depths. ",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"""Figure 2.1-9 shows the approximate number and average depth of domestic wells in the SASb.
131 There are approximately 3,337 domestic wells in the GSP area with well completion depth
132 ranging from 25 to 1,330 feet (DWR, 2020b).""","2.1.2.7 / 2-14
Figure 2.1-9","1. How are domestic wells mapped (density/point/none)?

Density map is used to map domestic wells
",
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"According to the 2006 Central Sacramento County Groundwater Management Plan, water  quality analyses in the aquifers underlying the SASb have generally shown that water in the upper portion of the aquifer is of higher quality than water in the lower portion of the aquifer with the exception of arsenic detections in a few locations (SCGA, 2006). 
Additional data for nitrate, total dissolved solids (TDS), chloride, arsenic, iron, and manganese were obtained directly from GEI Consultants Inc., which developed the Subbasin’s Alternative Plan. All data were then compiled into a database for analysis. Groundwater Quality Trends According to Available Historical Data. The combined database of GAMA and GEI Consultants data was analyzed for nitrate, TDS, and arsenic. Data solely from the GAMA database was analyzed for hexavalent chromium, and the larger family of per- and polyfluoroalkyl substances (PFAS). Groundwater Quality Trends According to Available Historical Data. The combined database of GAMA and GEI Consultants data was analyzed for nitrate, TDS, and arsenic. Data solely from the GAMA database was analyzed for hexavalent chromium, and the larger family of per- and polyfluoroalkyl substances (PFAS). Groundwater Quality Trends According to Available Historical Data. The combined database of GAMA and GEI Consultants data was analyzed for nitrate, TDS, and arsenic. Data solely from the GAMA database was analyzed for hexavalent chromium, and the larger family of per- and polyfluoroalkyl substances (PFAS). GAMA data include numerous estimated values (where the value was detected at a concentration below the reporting limit, but above the method detection limit). These estimated values are included in the box and whisker plots as their reported result in the GAMA database. A small number of ND results are included in the GAMA data, these data are not included in this analysis.  Figures of spatial groundwater quality data plot the location of wells where groundwater quality samples were collected and indicate the maximum sampled concentration at each well for the entirety of the dataset. With the exception of PFAS, individual maps are provided for samples collected from the shallow aquifer and deep aquifer. Due to the scarcity of PFAS data, wells of all depths are included in one map. GAMA data include numerous estimated values (where the value was detected at a concentration below the reporting limit, but above the method detection limit). These estimated values are included in the box and whisker plots as their reported result in the GAMA database. A small number of ND results are included in the GAMA data, these data are not included in this analysis.  Figures of spatial groundwater quality data plot the location of wells where groundwater quality samples were collected and indicate the maximum sampled concentration at each well for the entirety of the dataset. With the exception of PFAS, individual maps are provided for samples collected from the shallow aquifer and deep aquifer. Due to the scarcity of PFAS data, wells of all depths are included in one map.
Arsenic concentrations exceeded the MCL of 10 ug/L in 9 out of 72 public supply wells measured. The highest concentration was reported at 47 ug/L. Nitrate concentrations were below the MCL of 45 ug/L (as NO3) for all of the public supply wells sampled. Nitrate was non-detect in approximately 44 of the 183 wells sampled within the Subbasin. Iron concentrations ranged from non-detect to 9,260 ug/L and 6 out of 67 wells exceeded the SMCL of 300 ug/L.  Manganese concentrations ranged from non-detect to 809 ug/L and 25 out of 67 wells exceeded the SMCL of 50 ug/L. According to the average sampling data in 2014 for TDS, only one out of 56 wells exceeded the recommended SMCL of 500 mg/L.
 The SASb has not been listed as a priority basin for nitrate management under the CV-SALTS Basin Plan amendment. Salinity management in the Central Valley (and SASb) will be addressed as a result of the findings of a Prioritization and Optimization Study performed under the direction of the Central Valley Salinity Coalition, which will address long term salinity management plans and occur over the next ten to fifteen years.","Figure 2.3-30 thru 2.3-40
pg 2-14, pg 2-15, 2.3.4
appendix 3-D","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes Arsenic, Nitrate, Iron, Manganese, TDS
2. Are the COC's mapped?Yes
3. Is there spatial trend data for all COC's?Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? Appedix 2-c

They appear to do a good job with setting Constituents of Concern, but they also mention that there is more info regarding other COC's in Appendix 2-c which is not available yet. As Appendix 2-c is cited and missing, we ask Appendix 2-c be included.
COCs: Arsenic, Nitrate, Iron, Manganese, TDS. Data is available from 1951 to 2020


",
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Yes,"""""The following list of DAC areas in SASb was compiled using information from the DWR Water Tool, DAC
Boundaries-Places, 2016. These areas overlap with the water supply entity jurisdictions that are shown
in the maps below:
1. Florin Census-designated Place (CDP) DAC
• Water District 1: Florin County Water District
• Water District 2: Sacramento County Water District
• Water District 3: City of Sacramento
• Water District 4: California American Water Company
• Water District 5: California American Water Company
• Water District 6: California American Water Company
• Water District 7: California American Water Company
2. Parkway CDP DAC
• Water District 1: California American Water Company
• Water District 2: City of Sacramento
3. Lemon Hill CDP DAC
• Water District 1: California American Water Company
• Water District 2: City of Sacramento
4. Fruitridge Pocket CDP DAC
• Water District 1: California American Water Company 5. Franklin CDP DAC
• Water District 1: Sacramento County Water District
6. Freeport CDP DAC
• Water District 1: Appears to be between Rec District No 307 and North Delta Water Agency""
""",Appendix G / 67-73,GSP identifies where specific DACs are located within the basin and the water district associated with them showing water sources for most DACS. ,
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Groundwater levels change over time, and thus ISW locations also change over time. To assess the timing of ISW interconnection and disconnection, all available shallow groundwater elevation  data was used to krige groundwater level surfaces at spring and fall seasons between 2005 and 2018. Next, the best available streambed elevation was combined with local soil maps as an estimate of the clogging layer  beneath the thalweg. If the groundwater elevation intersects the clogging layer, a stream node is considered ISW for the time considered, otherwise, it is considered disconnected (Figure 2.3-43). The surface waters considered in this analysis included only major surface water systems represented in the CoSANA model (Figure 2.3-44), which are subdivided in 21 reaches (Figure 2.3-45). Location of interconnected surface water systems. After seasonal groundwater elevations were intersected with the elevation of the clogging layer, the percentage of seasons over the historical period evaluated wherein a stream node was interconnected to groundwater was summarized (Figure 2.3-46). Finally, present day ISW was defined by considering historical variation in ISW. Disconnected stream reaches are persistently disconnected from groundwater at all seasons evaluated, whereas Interconnected reaches (ISW) are conservatively defined as having at least the majority of nodes connected for > 0% of all seasons evaluated. In other words, if the majority of surface water nodes in a reach are connected for at least one season in the historical period considered, the entire reach is  considered ISW. Results indicate ISW along the entire Sacramento and Mokelumne rivers that border the South American Subbasin, and along reaches of the American River and Cosumnes River. Alder Creek and Morrison Creek above the Sacramento River are also identified as ISW. This characterization of ISW is consistent with The Nature Conservancy’s ICONS web tool (TNC, 2021), which uses a similar methodology of comparing streambed elevation and groundwater levels. The Cosumnes River approximately between Deer Creek and Twin Cities Road is disconnected
 on a seasonal level, but some evidence of sub-seasonal connection exists, thus it is considered  a data gap for planning purposes and more research is needed to understand stream-aquifer  interactions in this region. Estimates of timing and quantity of interconnected surface water depletions  Stream-aquifer interaction is in practice, very difficult to measure in the field and hence the  timing and quantity of ISW depletion (i.e., seepage) is almost always estimated by a model. In  this case, stream seepage is estimated by the CoSANA integrated surface and groundwater  model and evaluated along ISW reaches. Negative seepage indicates a losing stream system  and positive seepage indicates a gaining stream system. All ISW reaches identified are  persistently gaining or losing across the CoSANA current conditions baseline (Figure 2.3-47). Importantly, analysis to support the development of Sustainable Management Criteria  (Section 3) rely on comparison of the baseline ISW seepage to ISW seepage under projected  groundwater management and climate change scenarios.","Pages 2-159 - 2-162; Figure 2.3-46, appendix 3-C; Figure 2.3-44; Figure 2.3-46 ","1. Is there a clear map of ISWs? Yes - Figure 2.3-46 presents the interconnected and disconnected stream nodes, included areas with data gaps. 
2. Was temporal variability and used and described? Yes - Model used groundwater and surface water from 2005 to 2018 with biannual measurments. Figure 2.3-46 (A) presents the percentage of seasons the surface water is connected to groundwater
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? Yes - A groundwater numerical flow model was used. Appendix 3-C provides thorough details of the data incorporated into the model, including groundwater level monitoring sites in proximity to surface water.",
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Results indicate ISW along the entire Sacramento and Mokelumne rivers that border the South American Subbasin, and along reaches of the American River and Cosumnes  River. Alder Creek and Morrison Creek above the Sacramento River are also identified as ISW. This characterization of ISW is consistent with The Nature Conservancy’s ICONS web too  (TNC, 2021), which uses a similar methodology of comparing streambed elevation and groundwater levels. The Cosumnes River approximately between Deer Creek and Twin Cities Road is disconnected on a seasonal level, but some evidence of sub-seasonal connection exists, thus it is considered a data gap for planning purposes and more research is needed to understand stream-aquifer interactions in this region.","pg 2-161 ,2.3.6
figure 2.3-46","1. Are ISWs mapped in the basin? Yes
2. Is the mapping consistent with the assessment? Yes - Figure 2.3-46 presents the interconnected, disconnected, and data gap surface water segments in the basin. The analysis was very detailed and thorough, and the GSP concluded that there is a data gap in need of more research.",
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",Yes,"Groundwater levels change over time, and thus ISW locations also change over time. To assess the timing of ISW interconnection and disconnection, all available shallow groundwater elevation data was used to krige groundwater level surfaces at spring and fall seasons between 2005 and 2018. 

&& Groundwater flow direction can be interpreted from groundwater elevation maps (Figure 17, Figure 18) which define the approximate subsurface “topography” of saturated groundwater in the principal aquifer given our best available data. Groundwater flows laterally from high to low groundwater elevation, along the lateral hydraulic gradient. Groundwater elevation mapping in the SASb indicates groundwater flow inwards towards the central and eastern SASb, coincident agricultural and rural areas which may pump more groundwater than urban areas. Urban areas near Sacramento, Rancho Cordova, and Folsom generally exhibit higher and more stable groundwater elevation trends, apart from notable groundwater drawdown near the Elk Grove urban-rural fringe. Higher groundwater elevations along the Sacramento and American river channels result from substantial seepage into groundwater causes groundwater to flow inwards to lower groundwater elevation sites in the SASb. Notably, the Cosumnes River channel does not show consistently higher groundwater elevation than interior groundwater elevation, perhaps due to seasonal wetting and drying of the river, and its closer proximity to groundwater pumping compared to the Sacramento and American rivers. Hence, groundwater in some seasons flows away from the Cosumnes towards the interior of the SASb, and in other seasons appears not to flow. North to south flow from the interior of the SASb towards the Cosumnes does not appear common in the period of record analyzed, consistent with a characterization of the Cosumnes as a stream experiencing active depletion. 

&& Comparisons of measured and modeled groundwater levels with streambed elevations have been another effective method for spatial characterization of SW-GW interactions and have shown varying levels of disconnection between the Cosumnes riverbed and underlying principal aquifer. Using well data from April 2000 to 2001, Mount et al. (2001) recorded groundwater to be 7-20 feet below the channel near Dillard (RM 27.5), between 30-50 feet below the channel from Meiss to Highway 99 (RM 11-25.5), and between 3-15 feet below the channel from near Twin Cities Bridge (RM 5.5). Upstream of Dillard (RM 27.5-36), groundwater levels were within a few feet of the channel during the wet season, and levels were within 3-15 feet of the channel downstream of Twin Cities Bridge (RM 5.5) (Figure 12). In contrast to the well comparison, shallow piezometers installed downstream of Twin Cities Bridge documented groundwater levels at or above the ground surface, thus reflecting the spatial heterogeneity of water levels and potential limitations of this kind of comparative analysis","
Page 2-159, 2.3.6; Figure 20, Appendix 3- C
pg 25, 2.4.3, Appendix 3-C
pg 36, 4.1.2, Appendix 3-C","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? Yes - one principal unconfined aquifer is acknowledged
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes
",
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Yes,"The Cosumnes River approximately between Deer Creek and Twin Cities Road is disconnected on a seasonal level, but some evidence of sub-seasonal connection exists, thus it is considered a data gap for planning purposes and more research is needed to understand stream-aquifer interactions in this region.","pg 2-162, 2.3.6","1. Were data gaps identified? yes 
2. Were the data gaps identifed in the ISW section? yes",
