Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"The purpose of the SPV GSP Advisory Committee is to provide input and feedback on GSP development. The Advisory Committee is composed of the following nine member types as approved by the SPV GSA, and represent four stakeholder categories (Table 1-2).
&&&
Table 1-2 ""Environmental User: San Dieguito River Valley Conservancy""
&&&
During GSP development, Advisory Committee meetings are held quarterly and are open to thepublic. The Core Team circulates Advisory Committee meeting announcements to all stakeholders via its interested parties email list. Advisory Committee meeting agendas and materials are uploaded to the website in advance of meetings. During closure of government facilities due to the coronavirus disease 2019 (COVID-19) pandemic, Advisory Committee meetings are being held virtually and recorded for later upload to the website.","Section 1.4.5, page 1-7","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Engagement= Inform & Involve
3. Evidence/strategies listed for level of engagement:

The San Dieguito River Valley Conservacy is one of four stakeholder categoeies represented on the Advisory Committee. ",
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

NOT APPLICABLE",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"During GSP development, the SPV GSA used multiple forms of public outreach to communicate SGMA-related information and solicit input. The GSA intends to continue public outreach and provide opportunities for engagement during GSP implementation. This will include providing opportunities for public participation (including beneficial users) at public meetings and providing access to GSP information online via the SPV GSP website6. The GSA will continue to maintain a stakeholder email list with all community members and entities who have expressed interest in GSP activities. Announcements will continue to be distributed via email prior to public meetings. Public meetings/workshops will be held as needed to provide an opportunity for stakeholders and members of the public to learn about, discuss, and provide input on basin conditions, GSP activities, and the SGMA program. The GSA Core Team will meet to discuss the implementation activities of the GSP, as necessary, and regularly update the SPV GSP website with meeting agendas and materials, reports, and other program information as applicable",2021-10-06 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? 
Outlines general outreach that will be used during GSP implementation. ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"During GSP development, the SPV GSA used multiple forms of public outreach to communicate SGMA-related information and solicit input. The GSA intends to continue public outreach and provide opportunities for engagement during GSP implementation. This will include providing opportunities for public participation (including beneficial users) at public meetings and providing access to GSP information online via the SPV GSP website6. The GSA will continue to maintain a stakeholder email list with all community members and entities who have expressed interest in GSP activities. Announcements will continue to be distributed via email prior to public meetings. Public meetings/workshops will be held as needed to provide an opportunity for stakeholders and members of the public to learn about, discuss, and provide input on basin conditions, GSP activities, and the SGMA program. The GSA Core Team will meet to discuss the implementation activities of the GSP, as necessary, and regularly update the SPV GSP website with meeting agendas and materials, reports, and other program information as applicable.","Section 10.3, page10-6","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? 


Outlines general outreach that will be used during GSP implementation. ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",No,,,"GSP does not include Communications & Engagement Plan, parts of the documented outreach and engagement outlined is dispersed throughout the document. ",
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Not Applicable,,,"1. Location on the map? (yes/no)
2. Identified by name? (yes/no)
3. DAC places, tracks, or block data used in map?",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,"Figure 2-11 shows public lands in and around the Basin. There are no state, federal, or tribal lands in
the Basin.",2021-02-02 00:00:00,"1. Tribal lands identified? (yes/no) NO
2. Tribal lands mapped? (yes/no) NO

Although the GSP has identified the San Pasqual Tribe as a stakeholder in the Basin, it is stated that there are no tribal lands within the basin. 
",
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Not Applicable,,,"1. Does the GSP document the size of the population for each DAC?
",
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location. ",
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 2-8 shows the density of domestic wells from DWR’s well completion report database (DWR, 2019) in and around the Basin per square mile. DWR categorizes wells into three primary categories: domestic, production, and public. Domestic wells are those that provide private, non-commercial water. Production wells are usually for commercial purposes such as industry or agriculture. Public wells are those that supply water to public water distribution systems. There are 57 domestic wells in the Plan Area, with reported well completion depth ranging from 20 to 1,310 feet. The highest concentrations of wells are located in the northeast portion of the Basin near Guejito Creek and in the southwestern corner of the Basin near Hodges Reservoir.","Figure 2-8, Section 2.1.2, page 2-10","1. How are domestic wells mapped (density/point/none)?
Domestic wells are mapped using a density  map. ",
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"Information about Basin groundwater quality was summarized in the SNMP (City of San Diego, 2014). The SNMP summarized water quality monitoring for a wide variety of constituents, and identified TDS and nitrate as the constituents of concern in the Basin. Figure 4-23 and Figure 4-24 Groundwater Sustainability Plan Section 4 Groundwater Conditions are summary tables describing groundwater quality in the Basin from 1950 through 2006, as detailed in the SNMP. Figure 4-25 and Figure 4-26 also summarize groundwater quality in the Basin from 2007 through 2013. Other water quality constituents that were both monitored and summarized in the SNMP have not been measured at levels that are higher than the MCLs since 2013. Iron and manganese were detected at above the MCL after 2013, but are naturally occurring,
do not have primary MCLs, and are not directly associated with groundwater quality management.$$$
Groundwater quality analysis indicates constituent concentrations are correlated and likely highly dependent on surface flow quality coming into the Basin. Historically, total dissolved solids and nitrates have been the primary constituents of concern, with evidence suggesting that nitrate levels are tied to evapoconcentration and fertilizer use both within the Basin and contributions from streamflows that originate in the watershed upstream from the Basin. 
The SPGMP also noted TDS concentrations varied from 2001 to 2006 (Figure 4-4) (City of San Diego Water Department, 2007): “However, in recent years more frequent measurements have shown that TDS has varied significantly in the west central portion of the basin (well 5669 (12S/01W-32G1)). The results from well 5662 (12S/01W-30R1), located farther west than well 5669, shows a decreasing trend in TDS the most recent years.
Figure 4-5 shows nitrate concentrations (as NO3) averaged just less than the primary MCL of 45 mg/L in both the western and eastern portions of the Basin from 2003 to 2006. The SPGMP also evaluated a collection of records from 1968 and 1970. These records indicate the highest levels of nitrate in the Basin were in the central-western portion. The SPGMP also noted the following, as illustrated in Figure 4-6, below: “Nitrate has varied significantly in well 5669 (12S01W32G1), located in the west central portion of the basin. The results from well 5662 (12S01W30R1), located farther west than well 5669 shows a significant increase from the early 1970s, but the most recent measurement showed a significant decrease in the nitrate concentration. The wells in the eastern portion of the basin have shown fluctuations in the nitrate concentration for the period of record. The variability in nitrate concentrations over the period of record is potentially due to the slow migration of nitrate through the vadose zone during dry periods, and the fast migration of nitrates into the groundwater during wet periods when the groundwater level rises.”
Figure 4-31 shows the results of a query using the RWQCB’s GeoTracker website. GeoTracker documents contaminant concerns and mitigation projects. As shown in the figure, most GeoTracker sites are Irrigated Lands Regulatory Sites or closed Leaking Underground Storage Tank Cleanup Sites. These sites are localized concerns, but do not pose a threat to the Basin’s regional groundwater quality.","Figure 4-23 through Figure 4-31
Executive Summary, Page ES-3
Figure 4-4(TDS)
Figure 4-5(Nitrates)
Pages 4-5 to 4-8","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, TDS, Nitrate, Iron, Manganese
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's?

""Identifies nitrates and TDS as contaminants, maps the mean average of nitrate and TDS concentrations throughout the basin and provides graphs of temporal changes. Iron and manganese have been detected on levels higher than MCL but are naturally occuring. Other constitutes have not been higher than MCL since 2013. All other constitutes are recorded on Figure 2-23
""


",
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Not Applicable,,,,
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"The SPV GSP Model described in Appendix I was used to analyze interactions between surface water flows and groundwater in the Basin. Reaches that are shown as dashed lines have been identified as streams that are disconnected from the regional aquifer. Reaches that are identified as disconnected are in portions of the basin where depth to groundwater has been greater than 30 feet since 2015. Reaches identified as interconnected are reaches where depth to groundwater in the regional aquifer has been less than 30 feet below ground surface. Figure 4-33 shows the stream reaches that were evaluated as part of this GSP. Reaches were selected/designated as follows: • Each tributary creek (i.e., Cloverdale, Guejito, and Santa Maria Creeks) • One reach of Santa Ysabel Creek (i.e., from the upstream end of the Basin to the San Pasqual Narrows) • One reach of San Dieguito River (from San Pasqual Narrows to Lake Hodges) Table 4-1 shows the average annual depletions due to groundwater pumping over the 2005–2019 period. Reach characteristics are described below. • Cloverdale Creek drains 18 square miles and has become perennial since approximately the late 1970s due to imported irrigation return flow from irrigation of avocado groves along the hillsides surrounding, but outside of, the Basin. Surface flows into the Basin as recharged are unregulated and ungaged. Recharge due to irrigation return in Cloverdale Canyon was sufficient to turn Cloverdale Creek into a perennial stream and maintain groundwater levels near ground surface in 1977 while the remainder of the Basin was experiencing record low water levels due to extreme drought, in some cases 40 to 80 feet bgs in other parts of the Basin. • Guejito Creek drains 22 square miles. It enters the Basin in Rockwood Canyon near the northeastern portion of the Basin before flowing into Santa Ysabel Creek. • Santa Maria Creek drains 58 square miles and flows into the central portion of the Basin. The creek flows northwest after traveling through Ramona (a census designated place) and the Ramona Grasslands County Preserve before contributing to Santa Ysabel Creek. • Santa Ysabel Creek drains 128 square miles and flows primarily east to west. Its discharge into the Basin is regulated by Sutherland Reservoir upstream. • San Dieguito River begins at the San Pasqual Narrows (i.e., its upstream end at the confluence of Santa Ysabel and Santa Maria Creeka). The San Dieguito River flows out of the Basin and into Hodges Reservoir. The river continues downstream of Hodges Reservoir where it flows into the Pacific Ocean. 

&& Groundwater and surface water interaction at streams is simulated with the SFR package (see Figure 3-16). The SFR package accounts for stream segments that can gain water from and lose water to the underlying aquifer, based on the hydraulic gradient between the modeled water table and modeled stage (i.e., surface water elevation) in the SFR reach during a given month in the simulation. The monthly gaining or losing flux is computed based on the hydraulic gradient, streambed hydraulic conductivity, channel geometry, and thickness of the stream bed. Section 3.3.2 discussed the initial stream channel characteristics. 

&& To further evaluate the interaction of surface water and groundwater in the Basin, surface water depletions from streams were evaluated. Figure 4-15 depicts the surface water depletion summary reaches within the Basin that were analyzed. Modeled estimates of groundwater recharge from streams and groundwater discharge to streams were processed for each summary reach to gain insight into whether these reaches were primarily gaining water from or losing water to the underlying aquifer during the historical calibration period. The annual net gain of groundwater in the stream reaches was calculated as shown in Equation 4-1, as follows: Net Gain = Groundwater Discharge to Stream Reach – Groundwater Recharge from Stream Reach (4-1) Thus, positive values indicate primarily gaining conditions in the stream reach and negative values indicate primarily losing conditions in the stream reach during a given year. Table 4-11 lists the annual net gain of groundwater for each summary reach for the historical calibration period. In general on an annual basis, stream reaches in the eastern portion of the Basin primarily lose water to the aquifer and are disconnected from the water table, whereas stream reaches in the western portion of the Basin are interconnected with groundwater and primarily gain water from the aquifer.","Appendix H, Section 4.4.6, page 4-20, figure 11
GSP Section 4.6, page 4-43; Figures 4-1 through 4-5 appendix H && Page 3-23 / appendix H && Page 4-20 / appendix H","1. Is there a clear map of ISWs? Yes - figure 4-33
2. Was temporal variability and used and described? Somewhat - stream depletion is assessed from 2005 to 2019 but temporal characteristics of ISWs not clearly described in text. Also, the plan considered streams to be disconnected if groundater has been greater than 30 feet since 2015, which may not necessarily mean the surface water is disconnected?
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? Somewhat - the ISW section itself does not go into any detail on the data used in the model, but appendix H provides information about the spatial location of groundwater monitoring sites and hydrographs. Uncertain of screening depths of mointoring wells.",
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"The SPV GSP Model described in Appendix I was used to analyze interactions between surface water flows and groundwater in the Basin. Reaches that are shown as dashed lines have been identified as streams that are disconnected from the regional aquifer. Reaches that are identified as disconnected are in portions of the basin where depth to groundwater has been greater than 30 feet since 2015. Reaches identified as interconnected are reaches where depth to groundwater in the regional aquifer has been less than 30 feet below ground surface. Figure 4-33 shows the stream reaches that were evaluated as part of this GSP. Reaches were selected/designated as follows: • Each tributary creek (i.e., Cloverdale, Guejito, and Santa Maria Creeks  • One reach of Santa Ysabel Creek (i.e., from the upstream end of the Basin to the San Pasqual Narrows) • One reach of San Dieguito River (from San Pasqual Narrows to Lake Hodges) Table 4-1 shows the average annual depletions due to groundwater pumping over the 2005–2019 period. Reach characteristics are described below. • Cloverdale Creek drains 18 square miles and has become perennial since approximately the late 1970s due to imported irrigation return flow from irrigation of avocado groves along the hillsides surrounding, but outside of, the Basin. Surface flows into the Basin as recharged are unregulated and ungaged. Recharge due to irrigation return in Cloverdale Canyon was sufficient to turn Cloverdale Creek into a perennial stream and maintain groundwater levels near ground surface in 1977 while the remainder of the Basin was experiencing record low water levels due to extreme drought, in some cases 40 to 80 feet bgs in other parts of the Basin. • Guejito Creek drains 22 square miles. It enters the Basin in Rockwood Canyon near the northeastern portion of the Basin before flowing into Santa Ysabel Creek. • Santa Maria Creek drains 58 square miles and flows into the central portion of the Basin. The creek flows northwest after traveling through Ramona (a census designated place) and the Ramona Grasslands County Preserve before contributing to Santa Ysabel Creek. • Santa Ysabel Creek drains 128 square miles and flows primarily east to west. Its discharge into the Basin is regulated by Sutherland Reservoir upstream. • San Dieguito River begins at the San Pasqual Narrows (i.e., its upstream end at the confluence of Santa Ysabel and Santa Maria Creeka). The San Dieguito River flows out of the Basin and into Hodges Reservoir. The river continues downstream of Hodges Reservoir where it flows into the Pacific Ocean.","Section 4.6, page 4-1 && Figure 4-33 and table 4-1","1. Are ISWs mapped in the basin?  yes - figure 4-33
2. Is the mapping consistent with the assessment? somewhat - difficult to know if ISW conclusions are accurate with unknown details about data (groundwater and surface water proximity, screening depths). Also, unsure if the plan should call streams with nearby groundwater >30 feet after 2015 as disconnected. Need more information to understand historical patterns here.",changed from yes to somewhat because too many uncertainties in data 
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged (no groundwater data); shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged= yes","principal aquifer, shallow ",Yes,"There is a single principal aquifer in the Basin that is composed of the Quaternary Deposits and Residuum geologic groupings. DWR’s Water Basics Glossary (DWR, 2021) defines an aquifer as “a body of rock or sediment that is sufficiently porous and permeable to store, transmit, and yield significant or economic quantities of groundwater to wells and springs.” Most of the water pumped in the Basin is contained in Quaternary Deposits, with lesser amounts coming from the Residuum. The amount of water contributed to the Quaternary Deposits and Residuum from Crystalline Rock near the Basin is not known and may be investigated further by the GSA. There are no wide-scale aquitards in the Basin, and water moves through the Quaternary Deposits and the Residuum freely. The Basin’s principal aquifer is continuous and unconfined with some localized areas of less permeable materials that may result in semiconfined conditions.",Page 3-42,"1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? yes- only one aquifer system
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes
",
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",No,The GSA did not identify any data gaps at this time.,"Section 4.8, page 4-48","1. Were data gaps identified? no
2. Were the data gaps identifed in the ISW section? no",
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",No,,"Figure 4-33: Stream Surfce Water Depletion Summary Reaches , p.131",1. Is there a map AND description of pISW? no,
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,,"Appendix J - Table 1, Table 2, ; Figures 3-5 ","1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types? somewhat - table 2 in appendix J presents the vegetation found in each GDE in the basin. Table 1 in appendix J presents the threatened and endangered species in the basin. No clear inventory of flora in each GDE. Also, all information in appendix J and not clearly in GDE section
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? yes","Changed from yes to somewhat because no description of inventory in GDE section but inlcluded in appendix. Also, no clear description of flora"
