Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"- Public meetings of the Board and Advisory Committees: for all interested parties. Advertised and announced through appropriate means such as email newsletters, interested parties subscription lists, e-notification system, flyers and banners, etc.
- Stakeholder interviews and/or work group meetings
- Community or regional forums: conducted on as needed basis by the UVBGSA, the LWA Team, or appropriate public agencies identified by the Board.
- Public workshops/briefings: Conducted if deemed necessary by the Board with the help of the LWA Team, DWR, and/or other appropriate public agencies for information sharing and receipt of input.

All UVBGSA Board and TAC meetings are open to the public and designed to encourage input, discussion, and questions from public audience members. The minutes of UVBGSA Board and TAC meetings reflect the questions and comments raised by members and the general public. Currently scheduled public meetings are shown in Table 4. This schedule is subject to change as the GSP development process progresses and the GSP development schedule is updated (Appendix A). Meetings with the UVBGSA Board and the TAC are multi-purpose venues for public engagement and outreach. The LWA Team will provide progress reports at the meetings unless directed otherwise by the Board; presentations for the Board members or the TAC may be conducted to assist in the decision-making process or to provide for information to the public; public comments regarding scheduled and non-scheduled items will be received; and, actions will be taken and decisions will be made with regards to the GSP development and implementation.

To achieve the goals and objectives of the CommPlan, the UVBGSA will utilize multiple outreach venues as wells as broader communication tools. This will allow stakeholder engagement at different levels best suited to stakeholder needs. The Board will use these venues to provide regular feedback and updates and to receive comments. Due to the ongoing COVID-19 pandemic and in accordance with County and State health orders, these venues will be hosted virtually until new incidences of COVID-19 are reduced to a safe level within the county and we are able to return to in person meetings. These venues are discussed in previous sections and are listed below:
- Public meetings of the Board and Advisory Committees: for all interested parties. Advertised and announced through appropriate means such as email newsletters, interested parties subscription lists, e-notification system, flyers and banners, etc.
- Stakeholder interviews and/or work group meetings
- Community or regional forums: conducted on as needed basis by the UVBGSA, the LWA Team, or appropriate public agencies identified by the Board.
- Public workshops/briefings: Conducted if deemed necessary by the Board with the help of the LWA Team, DWR, and/or other appropriate public agencies for information sharing and receipt of input.
Digital venues: County website and Zoom Meetings will be used as the main online resources for conducting and tracking engagement and outreach activities. Emails and newsletters will be delivered to the interested parties’ list and subscribers. Available social media outlets will be used as needed.
- Mailing services: provided on as needed basis and may include one or a combination of informational brochures, advertisement, flyers, handouts, etc.","Appendix 1-A Page 16
Table 3, 18","1. DAC's identified? (yes/no): Yes
2. If yes, which level of engagment: Inform & Inform & Involve 
3. Evidence/strategies listed for level of engagement: Public meetings (not DAC specific)


The GSP lists disadvanatged communitites as stakeholders, and documents how all stakeholders were given the opportunity to engage during GSP development . There is no direct engagement actions focused on DACs.

Engagement= Inform & Involve through meetings (not DAC specific)",,
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"UVBGSA consists of a variety of local public agencies with water supply, water management and land use  responsibilities. These include the County of Mendocino, the City of Ukiah, the Upper Russian River Water Agency, and the RRFC. The boundaries of these agencies are shown in (Figure 9). The UVBGSA Board also includes a tribal representative and an agricultural representative, as noted in Table 4. Representation by these stakeholder groups on the Board of Directors was a decision made by the members of the JPA.

UVBGSA Board of Directors (the Board) is shown in Table 4. The Board acts as the GSP’s overall Project Management Team (PMT) and is scheduled to meet on the second Thursday of every other month at 1:30 PM in the Mendocino County Board of Supervisors Chambers. All meetings are open to the public with notices, agendas, and minutes posted on the County’s website . Public engagement is encouraged at the  Board’s meetings and an e Notification capability will be offered by the County to reinforce this purpose for interested parties. Draft deliverables, draft GSP chapters and other important development milestones are scheduled to be discussed at the scheduled Board meetings in order to promote transparency regarding the
 decision-making process.","Appendix 1-A Page 16
Table 3
2-35","1. Tribes identified? (yes/no): Yes
2. If yes, which level of engagment: Collaborate
3. Evidence/strategies listed for level of engagement: Seat/representative on the GSP advisory Committee 

Tribes are isted as stakeholders and given the opportunity to engage, they are also a part of the Advisory Commitee representing one of the Tribes and have a representative the advisory committee that meet consistently. The GSP also lists several other ways in which all stakeholders can engage in GSP development. 

Just a note for follow up here - in the stakeholder engagement plan, the tribal seat is listed as vacant. I think that they should still have this listed as a Yes, and collaborate level, but I would be interested to know if there is any background detail on why the seat is vacant.",,
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"As UVBGSA moved towards developing its GSP, it focused initially on stakeholder identification and assessment. Stakeholder interviews were conducted at the outset of the planning effort to understand the interests, concerns, opportunities, and resources that exist in the stakeholder community. During the GSP development process, UVBGSA evolved its outreach efforts by identifying additional stakeholders, understanding their interests and concerns, and providing a transparent and responsive communication venue for their engagement. This was achieved through the following approach:  • Developing and maintaining an interested parties’ list through UVBGSA stakeholder identification and outreach, voluntary subscription, and e-Notification system.  • Conducting interviews with key stakeholders at the outset of the GSP development effort.
 • Holding regular public meetings of the UVBGSA Board and the TAC, encouraging public participation through the County website and the C&E Tool.  • Convening a collaborative decision-making process through public meetings to build a shared understanding and reduce conflicts. This provided an additional venue for interested parties to get involved in the more technical side of the development and the implementation of the GSP.
 • Providing alternative opportunities for stakeholders or interested parties that face additional barriers to participation. Additional opportunities for engagement accomplished were provided through the use of group informational interviews, translated materials, evening meetings, etc.  • Using the C&E Tool as the web-based tool to provide increased access to data and information in a user-friendly form. Sending emails/newsletters to interested parties updating them on newly developed documents or information and seeking their participation and/or comments.

As UVBGSA moves towards developing its GSP, it will initially focus on stakeholder identification and assessment. The LWA Team will conduct stakeholder interviews at the outset of the planning effort to understand the interests, concerns, opportunities, and resources that exist in the stakeholder community. During the GSP development process, the Board will evolve its outreach efforts by identifying additional stakeholders, understanding their interests and concerns, and providing a transparent and responsive communication venue for their engagement. This will happen through the following approach: • Develop and maintain an updated interested parties’ list through UVBGSA stakeholder identification and outreach, voluntary subscription, and e-notification system.
• Conduct interviews with key stakeholders at the outset of the GSP planning effort. • Hold regular public meetings of the UVBGSA Board and the TAC, encouraging public participation through County website. Convene a collaborative decision-making process through public meetings with the goal of building a shared understanding and reducing conflicts. This will provide an additional venue for interested parties to get involved in the more technical side of development and implementation of GSP.
• Provide alternative opportunities for stakeholders or interested parties that face more barriers to participation such as holding interviews with the LWA Team, translated materials, evening meetings, etc. • Use the UVBGSA website to provide increased access to data and information in a user-friendly form. Provide emails/newsletters to interested parties updating them on newly developed documents or information and seeking their participation and/or comments.
Methods outlined above will help UVBGSA conduct the implementation phase of its adaptive management strategy.","Table 2-6
Page 2-46
Appendix 1-A Page 14","1. Environmental Stakeholders identified? Yes
2. Which level of engagment: Inform & Consult
3. Evidence/strategies listed for level of engagement: Public Meetings (not specific to Environmental stakeholders)

Environmental agencies are listed as stakeholders in Table 2-6, including  the UC Davis Cooperative Extension Department Resources (SWR), North Coast Regional Water Quality Conrol Board, California Department of Fish and Wildlife (CDFW), US Army and Wildlife Service, NOAA Fisheries, US Fish and Wildlife Service, and Forest Service. The GSP documents ways stakeholders were able to engage during GSP development but none of the engagement actions/uoutreach were specifically for Environmental Stakeholders. ",,
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"UVBGSA realizes that recognizable consideration of public input boosts engagement and increases the trust  in the process and GSP. Therefore, UVBGSA attempted to respond to constructive public comments and concerns and demonstrated how they shaped the outcome at hand. Efforts included:
 • Making draft deliverables provided for TAC or UVBGSA review available to the public to promote more  fruitful public discussion during the public meetings scheduled for making decisions on those deliver ables. • Publishing Board-approved draft final GSP chapters for public comment with providing reasonable  comment periods. If necessary, responses to comments were published to elaborate on how they  were implemented or considered in the revision of documents. • Continued implementation of the methods for promoting active engagement of the public with a focus  on obtaining comments and responding to concerns.

Implementation of the C&E Plan (CommPlan) followed the timeline shown in Figure 10.

All UVBGSA Board and TAC meetings are open to the public and designed to encourage input, discussion, and questions from public audience members. The minutes of UVBGSA Board and TAC meetings reflect the questions and comments raised by members and the general public. Currently scheduled public meetings are shown in Table 4. This schedule is subject to change as the GSP development process progresses and the GSP development schedule is updated (Appendix A). Meetings with the UVBGSA Board and the TAC are multi-purpose venues for public engagement and outreach. The LWA Team will provide progress reports at the meetings unless directed otherwise by the Board; presentations for the Board members or the TAC may be conducted to assist in the decision-making process or to provide for information to the public; public comments regarding scheduled and non-scheduled items will be received; and, actions will be taken and decisions will be made with regards to the GSP development and implementation.

As UVBGSA moves towards developing its GSP, it will initially focus on stakeholder identification and assessment. The LWA Team will conduct stakeholder interviews at the outset of the planning effort to understand the interests, concerns, opportunities, and resources that exist in the stakeholder community. During the GSP development process, the Board will evolve its outreach efforts by identifying additional stakeholders, understanding their interests and concerns, and providing a transparent and responsive communication venue for their engagement. This will happen through the following approach: • Develop and maintain an updated interested parties’ list through UVBGSA stakeholder identification and outreach, voluntary subscription, and e-notification system. • Conduct interviews with key stakeholders at the outset of the GSP planning effort.
• Hold regular public meetings of the UVBGSA Board and the TAC, encouraging public participation through County website. Convene a collaborative decision-making process through public meetings with the goal of building a shared understanding and reducing conflicts. This will provide an additional venue for interested parties to get involved in the more technical side of development and implementation of GSP. • Provide alternative opportunities for stakeholders or interested parties that face more barriers to participation such as holding interviews with the LWA Team, translated materials, evening meetings, etc. • Use the UVBGSA website to provide increased access to data and information in a user-friendly form. Provide emails/newsletters to interested parties updating them on newly developed documents or information and seeking their participation and/or comments. Methods outlined above will help UVBGSA conduct the implementation phase of its adaptive management strategy.","2-42
2-47 
Figure 10
Appendix 1-A, page 14,16","1. Documents outreach plans to stakeholders? Yes
2. List specific outreach methods for DACs?  No
3. What level of outreach engagement? Inform & Consult

GSP lists and documents ways stakeholders can engage during GSP implementation and outreach materials. Outrreach materials are for all stakeholders, there are no specific DAC outreach. ",,
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Yes,"UVBGSA realizes that recognizable consideration of public input boosts engagement and increases the trust  in the process and GSP. Therefore, UVBGSA attempted to respond to constructive public comments and concerns and demonstrated how they shaped the outcome at hand. Efforts included: • Making draft deliverables provided for TAC or UVBGSA review available to the public to promote more fruitful public discussion during the public meetings scheduled for making decisions on those deliverables. • Publishing Board-approved draft final GSP chapters for public comment with providing reasonable comment periods. If necessary, responses to comments were published to elaborate on how they  were implemented or considered in the revision of documents.  • Continued implementation of the methods for promoting active engagement of the public with a focus on obtaining comments and responding to concerns.

Implementation of the C&E Plan (CommPlan) followed the timeline shown in Figure 10.

All UVBGSA Board and TAC meetings are open to the public and designed to encourage input, discussion, and questions from public audience members. The minutes of UVBGSA Board and TAC meetings reflect the questions and comments raised by members and the general public. Currently scheduled public meetings are shown in Table 4. This schedule is subject to change as the GSP development process progresses and the GSP development schedule is updated (Appendix A). Meetings with the UVBGSA Board and the TAC are multi-purpose venues for public engagement and outreach. The LWA Team will provide progress reports at the meetings unless directed otherwise by the Board; presentations for the Board members or the TAC may be conducted to assist in the decision-making process or to provide for information to the public; public comments regarding scheduled and non-scheduled items will be received; and, actions will be taken and decisions will be made with regards to the GSP development and implementation.

All UVBGSA Board and TAC meetings are open to the public and designed to encourage input, discussion, and questions from public audience members. The minutes of UVBGSA Board and TAC meetings reflect the questions and comments raised by members and the general public. Currently scheduled public meetings are shown in Table 4. This schedule is subject to change as the GSP development process progresses and the GSP development schedule is updated (Appendix A). Meetings with the UVBGSA Board and the TAC are multi-purpose venues for public engagement and outreach. The LWA Team will provide progress reports at the meetings unless directed otherwise by the Board; presentations for the Board members or the TAC may be conducted to assist in the decision-making process or to provide for information to the public; public comments regarding scheduled and non-scheduled items will be received; and, actions will be taken and decisions will be made with regards to the GSP development and implementation.

As UVBGSA moves towards developing its GSP, it will initially focus on stakeholder identification and assessment. The LWA Team will conduct stakeholder interviews at the outset of the planning effort to understand the interests, concerns, opportunities, and resources that exist in the stakeholder community. During the GSP development process, the Board will evolve its outreach efforts by identifying additional stakeholders, understanding their interests and concerns, and providing a transparent and responsive communication venue for their engagement. This will happen through the following approach: • Develop and maintain an updated interested parties’ list through UVBGSA stakeholder identification and outreach, voluntary subscription, and e-notification system. • Conduct interviews with key stakeholders at the outset of the GSP planning effort. • Hold regular public meetings of the UVBGSA Board and the TAC, encouraging public participation through County website. Convene a collaborative decision-making process through public meetings with the goal of building a shared understanding and reducing conflicts. This will provide an additional venue for interested parties to get involved in the more technical side of development and implementation of GSP. • Provide alternative opportunities for stakeholders or interested parties that face more barriers to participation such as holding interviews with the LWA Team, translated materials, evening meetings, etc. • Use the UVBGSA website to provide increased access to data and information in a user-friendly form. Provide emails/newsletters to interested parties updating them on newly developed documents or information and seeking their participation and/or comments. Methods outlined above will help UVBGSA conduct the implementation phase of its adaptive management strategy.","2-42
2-47 
Figure 10
Appendix 1-A, page 14,16","
1. Documents outreach plans to stakeholders? Yes
2. List specific outreach methods for Tribes?  Yes
3. What level of outreach engagement? Collaborate


GSP lists and documents ways stakeholders can engage during GSP implementation and outreach materials. The GSP also documents having  a Tribe representative on the advisory commitee which continues to meet and ensuring to reach out to other Tribal members in the basin. The text also includes general stakeholder engagement. ",,
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"UVBGSA realizes that recognizable consideration of public input boosts engagement and increases the trust  in the process and GSP. Therefore, UVBGSA attempted to respond to constructive public comments and concerns and demonstrated how they shaped the outcome at hand. Efforts included:  • Making draft deliverables provided for TAC or UVBGSA review available to the public to promote more fruitful public discussion during the public meetings scheduled for making decisions on those deliver
ables. • Publishing Board-approved draft final GSP chapters for public comment with providing reasonable comment periods. If necessary, responses to comments were published to elaborate on how they were implemented or considered in the revision of documents.• Continued implementation of the methods for promoting active engagement of the public with a focus on obtaining comments and responding to concerns.

Implementation of the C&E Plan (CommPlan) followed the timeline shown in Figure 10.

As UVBGSA moves towards developing its GSP, it will initially focus on stakeholder identification and assessment. The LWA Team will conduct stakeholder interviews at the outset of the planning effort to understand the interests, concerns, opportunities, and resources that exist in the stakeholder community. During the GSP development process, the Board will evolve its outreach efforts by identifying additional stakeholders, understanding their interests and concerns, and providing a transparent and responsive communication venue for their engagement. This will happen through the following approach:• Develop and maintain an updated interested parties’ list through UVBGSA stakeholder identification and outreach, voluntary subscription, and e-notification system. • Conduct interviews with key stakeholders at the outset of the GSP planning effort.• Hold regular public meetings of the UVBGSA Board and the TAC, encouraging public participation through County website. Convene a collaborative decision-making process through public meetings with the goal of building a shared understanding and reducing conflicts. This will provide an additional venue for interested parties to get involved in the more technical side of development and implementation of GSP. • Provide alternative opportunities for stakeholders or interested parties that face more barriers to participation such as holding interviews with the LWA Team, translated materials, evening meetings, etc. • Use the UVBGSA website to provide increased access to data and information in a user-friendly form. Provide emails/newsletters to interested parties updating them on newly developed documents or information and seeking their participation and/or comments. Methods outlined above will help UVBGSA conduct the implementation phase of its adaptive management strategy.","2-42
2-47 
Figure 10
Appendix 1-A, page 14,16","1. Documents outreach plans to stakeholders? Yes
2. List specific outreach methods for Environmental stakeholders? No
3. What level of outreach engagement? Inform & Consult

The GSP lists and documents outreach materials and methods for all stakeholders to engage. Environmental stakehodlers are listed as stakeholders. There are no specific outreach for environmental stakeholders. ",,
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,A Communication Plan (CommPlan) was developed to promote the efficient and effective coordination of  internal/external communications and stakeholder engagement in the UVBGSA effort to develop a GSP.  The CommPlan will serve as the primary guideline for addressing the requirements outlined in DWR GSP  Regulations Section § 354.10:,"Appendix 1-A  Ukiah Vallley Basin Communications & Engagement
Page 2-34",Appendix 1-A serves as the Communications & Engagement Plan,,
Martha,,,DACs,1,"Does the GSP identify each DAC by name and location on a map? Please indicate in the Notes whether DAC places, tracks, or block data were used.","No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"Figure 4: Map of (A) disadvantaged and severely disadvantaged communities , and (B) economically distressed areas in the Ukiah Valley Groundwater Basin (order of overlay: census place, census tract, census blocks).

Communities within the Basin are designated as either Disadvantaged Communities (DACs) or Severely Disadvantaged Communities (SDACs), as shown in Figure 4.

 All of the census tracts that are wholly within or intersect the Ukiah Valley Basin are designated as DAC or SDAC. In addition, the combined population of these DAC and SDAC census tracts is 25,348, which is about 85% of the estimated 2010 population of the Ukiah Valley Basin (29,671), which includes the Ukiah Census  County Division (CCD), the Calpella Census Designated Place (CDP), and the Redwood Valley CDP.","Page 2-14
Page 2-15, Figure 4
Page 2-13","1. Location on the map? Yes
2. Identified by name? Yes, in text
3. DAC places, tracks, or block data used in map--all three used

GSP includes Figure 4 which serves as a map of DAC all over the basin, census tracts, places, and blocks were used. 

",,
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Yes,"Four small portions of the Basin are designated federal tribal lands and are not subject to SGMA requirements (Figure 2). These tribal lands are owned by the Guidiville Rancheria Tribe, Pinoleville Pomo Nation, Coyote Valley Tribe, and Redwood Valley Little River Band of Pomo Indians. However, one tribal representative sits on each the UVBGSA Board and the Technical Advisory Committee (TAC).","2-13
Figure 2, Section 2","1. Tribal lands identified? Yes
2. Tribal lands mapped? Yes

Tribal lands are identified in the text and one specific tribe is mapped in figure 2-13. 


",,
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Yes,"According to DWR’s DAC Mapping Tool (DWR 2019a), the statewide annual MHI for 2012-2016 is $63,783, which designates the City of Ukiah as a DAC with its annual MHI of $38,686. Moreover, the U.S. Census American Community Survey (ACS) further delineates census tracts within the Basin, each of which are designated as DAC or SDAC. The MHI (DWR 2019a) for each of these tracts is as follows:
 • Tract 06045010900, population 5,044 – $44,296 (qualifies as DAC)
 • Tract 06045011300, population 5,703 –$36,310 (qualifies as SDAC)
 • Tract 06045011500, population, 6,616 – $38,662 (qualifies as DAC)
 • Tract 06045011600, population 5,814 – $26,122 (qualifies as SDAC)
239 • Tract 06045011800, population 2,171 – $49,485 (qualifies as DAC)
 All of the census tracts that are wholly within or intersect the Ukiah Valley Basin are designated as DAC or  SDAC. In addition, the combined population of these DAC and SDAC census tracts is 25,348, which is about 85% of the estimated 2010 population of the Ukiah Valley Basin (29,671), which includes the Ukiah CensusCounty Division (CCD), the Calpella Census Designated Place (CDP), and the Redwood Valley CDP.","2-13
2-15","1. Does the GSP document the size of the population for each DAC? Yes

GSP documents specific populations of locations designated as DACs and used DWR's Mapping Tool. 



",,
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,"Figure 7: Number of wells within the Ukiah Valley Groundwater Basin present in each Public Land Survey System (PLSS) section, based on data taken from OSWCR (DWR 2019b) per well type: (A) domestic wells, (B) production wells. PLSS sections delineated on maps are nominally one square mile.",Figure 2-7,"1. Does the map include depth by location? No


GSP includes Figure 2-7 mapping well density in the Basin by approximate location, no well depths are provided. 

",,
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 7: Number of wells within the Ukiah Valley Groundwater Basin present in each Public Land Survey
System (PLSS) section, based on data taken from OSWCR (DWR 2019b) per well type: (A) domestic
wells, (B) production wells. PLSS sections delineated on maps are nominally one square mile.",Figure 2-7,"1. How are domestic wells mapped (density/point/none)? Density

Figure 2-7 shows domestic well density in the basin. 
",,
