Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"During development of the 2022 GSPs SVBGSA conducted the scoping of an engagement strategy for Underrepresented Communities (URCs) and Disadvantaged Communities (DACs) that would provide both an assessment of how URCs and DACs may be engaged with the GSA and to develop GSA materials that are accessible and culturally responsive (visual and in Spanish). These materials will communicate impacts of groundwater management on local water conditions in order to engage URCs and DACs into GSA plan reviews and develop pathways for future involvement. 



Additional activities scoped for engagement of Underrepresented Communities and Disadvantaged Communities include: • Conduct workshops with partners on importance of water and groundwater sustainability • Identify URC and DAC concerns and needs for engagement • Plan listening sessions around GSA milestones • Coordinate with partner organizations to develop a “resource hub” where people can go for support • Identify community allies in groundwater engagement work and bring down barriers for participation • Consider particular URC and DAC impacts during routine GSA proceedings • Convene a working group on domestic water, including URCs and DACs

&&

The basin wide SVBGSA program area also has well documented DAC designation including seven Census Designated Places (CDPs), 60 Block Groups and 20 Tracts. Additionally, workconducted by the Greater Monterey County Integrated Regional Water Management Program(IRWMP) identified 25 small DACs, SDACs, and suspected disadvantaged communities inunincorporated areas of the IRWMP region (RWMG, 2018). Figure 2-3 shows where DACs,SDACs, and EDAs are located within the Salinas Valley Groundwater Basin, and Appendix 2Dfurther describes DACs.

&&

2.7.6 Engagement Strategies
SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online
access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Forebay Subbasin and ASCMA Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, ASCMA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability
Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the six Groundwater Sustainability Plans in the Basin including public
outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and
organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions.n •
&&

Additional activities scoped for engagement of Underrepresented Communities and Disadvantaged Communities include: • Conduct workshops with partners on importance of water and groundwater sustainability • Identify URC and DAC concerns and needs for engagement • Plan listening sessions around GSA milestones • Coordinate with partner organizations to develop a “resource hub” where people can go for support • Identify community allies in groundwater engagement work and bring down barriers for participation • Consider particular URC and DAC impacts during routine GSA proceedings • Convene a working group on domestic water, including URCs and DACs

&&

The basin wide SVBGSA program area also has well documented DAC designation including seven Census Designated Places (CDPs), 60 Block Groups and 20 Tracts. Additionally, workconducted by the Greater Monterey County Integrated Regional Water Management Program(IRWMP) identified 25 small DACs, SDACs, and suspected disadvantaged communities inunincorporated areas of the IRWMP region (RWMG, 2018). Figure 2-3 shows where DACs,SDACs, and EDAs are located within the Salinas Valley Groundwater Basin, and Appendix 2Dfurther describes DACs.

&&

2.7.6 Engagement Strategies
SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online
access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Forebay Subbasin and ASCMA Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, ASCMA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability
Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the six Groundwater Sustainability Plans in the Basin including public
outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and
organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions.n • Educational materials","2-17
2-20

Appendix 2D

2-14","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform, Involve, 
3. Evidence/strategies listed for level of engagement:
GSP documents including DAC groups in the GSP Advisory "
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"The Subbasin does not contain any tribal lands (RWMG, 2018).

&&

The Advisory Committee, at this time, does not include representation from: • Tribes","3-23
2-3","1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

NOT APPLICABLE"
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"Stakeholders associated with these beneficial users and uses include the following. These users are also represented on the SVBGSA Board and Advisory Committees as described in the next section. 
Environmental organizations. Environmental organizations that are stakeholders include Sustainable Monterey County, League of Women Voters of Monterey County, Landwatch Monterey County, Friends and Neighbors of Elkhorn Slough, California Native Plant Society Monterey Chapter, Trout Unlimited, Surfriders, the Nature Conservancy and the Carmel River Steelhead

2.7.6 Engagement Strategies
SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Forebay Subbasin and ASCMA Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, ASCMA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the six Groundwater Sustainability Plans in the Basin including public outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions.n • Educational materials","2/2/2021
2-14","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Inform & Involve
3. Evidence/strategies listed for level of engagement:

Environmental stakeholders are identified and some are listed as being a part of the GSP Advisory Committee. The GSP also lists engagement opportunities open to all stakeholders. "
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"2.7.6 Engagement Strategies
SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Forebay Subbasin and ASCMA Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, ASCMA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the six Groundwater Sustainability Plans in the Basin including public outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions.n • Educational materials",2021-02-14 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? Engagement = general inform & continuing to include as part of the Advisory Committee

The GSP lists engagement stategies that ave been used during development and will continue to be used during implementation. These engagement and outreach stategies do not include any DAC-specific outreach. 
"
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  ( yes/no)
3. What level of outreach engagement? "
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"2.7.6 Engagement Strategies
SVBGSA utilizes a variety of tactics to achieve broad, enduring, and productive involvement with stakeholders during the development of the GSP. Below are activities that SVBGSA uses to engage the public currently and anticipated activities for GSP implementation: • Develop and maintain a list of interested parties • Offer public informational sessions and subject-matter workshops and provide online access via Facebook Live or via Zoom • Basin tours (currently on hold due to COVID restrictions) • SVBGSA Map Portal • Salinas Valley Subbasin GSP Web Map • Forebay Subbasin and ASCMA Web Map • Annual Report presentations • FAQS – Offer FAQs on several topics including SGMA, SVBGSA, ASCMA, GSP, projects, Monitoring Program, Annual Report, Programs and Groundwater Sustainability Fee • Science of Groundwater – new examples (studies, etc.) • Board, Advisory Committee, and other Committee Meetings o Regular public notices and updates; Brown Act compliance o Develop talking points for various topics and evolve as necessary • Subbasin Implementation Committees o Each subbasin’s planning committee for GSP development will transition to a subbasin implementation committee to be convened for GSP updates and annual report reviews. • Integrated Implementation Committee o The Integrated Implementation Committee will be convened to discuss Basin wide aspects to the six Groundwater Sustainability Plans in the Basin including public outreach. • Online communications o SVBGSA website: maintain with current information o SVBGSA Facebook page: maintain and grow social media presence o Direct email via Mailchimp newsletter • Mailings to most-impacted water users and residents – topics to include: Annual Report dashboard, What does your GSA do with the Sustainability Fee?, newsletter that accompanies each tax bill. • Media coverage. Appendix 2C includes SVBGSA’s media policy o Op-eds in the local newspapers o Press releases o Radio interviews • Promote/Celebrate National Groundwater Week (held in December) • Co-promotional opportunities and existing channels with agencies, committees, and organizations including email newsletters, social media, board meetings and mailings to customers. • Talks and presentations to various stakeholder groups, associations, community organizations, and educational institutions.n • Educational materials",2021-02-14 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  ( yes/no) NO
3. What level of outreach engagement?  General Inform


GSP ilists engagement and outreach stategies but is a general plan that does not include specific outreach or engagement stategies for environmental stakeholders. "
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Chapter 2,Chapter 2 of the GSP is titled the Communications & Engagement Plan
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"The City of Greenfield is a DAC. 
The basin wide SVBGSA program area also has well documented DAC designation including seven Census Designated Places (CDPs), 60 Block Groups and 20 Tracts. Additionally, work conducted by the Greater Monterey County Integrated Regional Water Management Program (IRWMP) identified 25 small DACs, SDACs, and suspected disadvantaged communities in unincorporated areas of the IRWMP region (RWMG, 2018). Figure 2-3 shows where DACs, SDACs, and EDAs are located within the Salinas Valley Groundwater Basin, and Appendix 2D further describes DACs.

Underrepresented communities (URCs) and Disadvantaged Communities (DACs). Underrepresented communities and Disadvantaged Communities include the City of Greenfield, Castroville Community Services District, San Jerardo Cooperative, San Ardo Water District, San Vicente Mutual Water Company, Environmental Justice Coalition for Water","2-18
Figure 2-3 on 2-19","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) YES
3. DAC places, tracks, or block data used in map? Cenus Designated Places, Block Groups and Tracts used

GSP identifies DAC groups as well as identifies DACs in specific cities within the Basin. The GSP used places, ttracts, and blocks to identify DACs and mapped in Figure 2-3. "
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
"
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,"The City of Greenfield is a DAC. 

&&

The Monterey County General Plan does not include population projections; however, the Association of Monterey Bay Area Governments (AMBAG) has developed population projections through 2050, as shown in Table 3-4","2-18

Table 3-2, Appendix , Page 109 in Appendix 1, Volume 1","1. Does the GSP document the size of the population for each DAC?

The GSP states the City of Greenfield is considered a DAC, Table 3-2 in Appendix 1 shows the population of specific cities within the basin and surrounding basins and shows the population for the city of Greenfield which has already been identified as a DAC. No other DAC population is specifically mentioned. Only one DAC population was found in the GSP, the other DACs populations we not referenced. "
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
The map provided does not include depth by location. It is only a density map. "
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 3-8, Figure 3-9, and Figure 3-10 show the density of domestic, production, and public supply wells, respectively, in the Subbasin, with the production wells being inclusive of the public supply wells.",Figuire 3-8 /  3-34,"1. How are domestic wells mapped (density/point/none)?
Density 

"
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"The SVBGSA does not have regulatory authority over groundwater quality and is not charged with improving groundwater quality in the Salinas Valley Groundwater Basin.&&&
Figure 5-13 shows a map of nitrate distribution in the Subbasin prepared by CCGC. The orange and red areas shown on the figure illustrate the portions of the Subbasin where groundwater has nitrate concentrations above the drinking water MCL of 45 mg/L as NO3. Figure 5-14 shows maps of measured nitrate concentration from six decades of monitoring for the entire Salinas Valley Groundwater Basin. These maps, prepared by MCWRA, indicate that elevated nitrate concentrations in groundwater were locally present in the 1960s, but significantly increased in 1970s and 1980s. Extensive distribution of nitrate concentrations above the drinking water MCL, as shown on Figure 5-13, has been present in the Forebay Aquifer Subbasin for 20 to 30 years. &&&
5.3.4 Groundwater Quality Summary
Based on the water quality information for the DDW and ILRP wells from GAMA groundwater information system, the following are the COC for drinking water supply wells in the Subbasin and will be included in the GSP monitoring program: • 1,2 dibromo-3-chloropropane • 1,2,3-trichloropropane • beryllium • chloride • di(2-ethylhexyl) phthalate • dinoseb • iron • lindane • manganese • nitrate (as nitrogen) • nitrate + nitrite (sum as nitrogen) • nitrite • polychlorinated biphenyls • specific conductance • sulfate • thallium • total dissolved solids (TDS) • vinyl chloride The COC for irrigation supply wells that occur in the Subbasin and are known to cause reductions in crop production when irrigation water includes them in concentrations above agricultural water quality objectives include: • iron • manganese The COC for active cleanup site listed in Table 5-2 are not part of the monitoring network described in Chapter 7. However, the status of these constituents at this site will continue to be monitored by the DTSC or the CCRWQCB. Furthermore, the COC for this site that have a regulatory standard under Title 22 for drinking water wells, or the Basin Plan for irrigation supply wells will be monitored in the DDW and ILRP wells that are part of the monitoring network. ","Page 5-19 / 5.3
Page 5-21 / 5.3.3
Page 5-25 / 5.3.4
Table 5-3
Appendix 5-B
figure 5-12 thru 5-14","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes  1,2 dibromo-3-chloropropane • 1,2,3-trichloropropane • beryllium • chloride • di(2-ethylhexyl) phthalate • dinoseb • iron • lindane • manganese • nitrate (as nitrogen) • nitrate + nitrite (sum as nitrogen) • nitrite • polychlorinated biphenyls • specific conductance • sulfate • thallium • total dissolved solids (TDS) • vinyl chloride
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? Not mentioned

Although they have mapped the constitutes, better mapping and map legend is needed. 



"
Martha,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",Yes,"Many of the communities in the Salinas Valley Groundwater Basin are classified as Disadvantaged Communities (DACs) and Severely Disadvantaged Communities (SDACs), as well as Economically Distressed Areas (EDAs). The SVBGSA jurisdictional area has well documented DAC-designated areas including seven Census Designated Places (CDPs), 60 Block Groups, and 20 Tracts. Additionally, work conducted by the Greater Monterey County Integratedn Regional Water Management (IRWM) Program identified 25 small disadvantaged, severely disadvantaged, and suspected disadvantaged communities in unincorporated areas of the IRWMP region (Greater Monterey County Regional Water Management Group, 2018), which includes the entire SVBGSA area. As many of these communities are dependent on groundwater for drinking water, they face challenges associated with drinking water quality. 

&&

As highlighted in the IWRM Plan, small disadvantaged communities in unincorporated areas often have small public water systems that serve fewer than 200 connections. The smallest of these communities have State Small Water Systems (SSWS),  which serve between five and 14 connections); Local Small Water Systems (LSWS), which serve between two and four connections; and/or households served by private domestic groundwater wells. There is a significant difference in capacity, water supply, and infrastructure needs between a DAC served by a large water system (e.g., a large disadvantaged community of several thousand people, or a small disadvantaged community served by a large water utility) and a small disadvantaged community served by a small water system or by private wells.","Appendix 2D, Page 1, 4","The GSP mentions that the water source for most DACs is groundwater from domestic wells. THe GSP does provide approximate water connections for DACs through domestic wells, small water systems, and larger water systems. "
