Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"The SABGSA created an Advisory Committee representing many of the stakeholders and basin water users described above. Members of this group provide meaningful insight, support, and expertise from a variety of viewpoints for the SABGSA Board of Directors (the Board) to consider. The Advisory Committee is strictly advisory and does not vote on Board items, but members represent a number of social, cultural, and economic backgrounds to bring the widest possible perspective. Potential committee members were identified through local outreach, word of mouth, and email to the stakeholder list. The qualifications of the candidates were reviewed, and the SAC members were selected by the Board. The selected representatives reflect the interests of their group and are able to effectively communicate the group’s opinions and feedback. The Advisory Committee is made up of the following committee representatives with up to 9 members each:  County of Santa Barbara  VSFB  Environmental interests  Agricultural interests  Domestic water users The members of the Advisory Committee were responsible for reviewing drafts of the various sections of the GSP, providing feedback on those drafts, reviewing presentations that were delivered during workshops and Board meetings, and soliciting input from their respective stakeholders as the plan was being developed.

&&

1. Public Notices To ensure that the general public is apprised of local activities and allow stakeholders to access information, SGMA specifies several public notice requirements for GSAs. All meetings, hearings, and workshops were noticed in compliance with the Ralph M. Brown Act.9 As outlined below, there were a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board of Director and Advisory Committee meetings, and through written comments. In addition to open meeting requirements, three sections of the California Water Code require public notice before establishing a GSA, adopting (or amending) a GSP, or imposing or increasing fees:  Section 10723(b). “Before electing to be a groundwater sustainability agency, and after publication of notice pursuant to § 6066 of the Government Code, the local agency or agencies shall hold a public hearing in the county or counties overlying the basin.” In accordance with California Water Code § 10723(b), the following occurred: on May 10 and May 16, 2017, at the duly noticed public meetings of the LACSD and the CRCD, respectively, the two agencies approved the JPA creating the GSA. On June 14, 2017, SABGSA held a noticed public hearing to consider becoming a GSA for the San Antonio Basin and voted to become such a GSA. The June 14, 2017, public hearing was noticed in the Santa Maria Times in accordance with Government Code § 6066.  Section 10728.4. “A groundwater sustainability agency may adopt or amend a groundwater sustainability plan after a public hearing, held at least 90 days after providing notice to a city or county within the area of the proposed plan or amendment. …”  Section 10730(b)(1). “Prior to imposing or increasing a fee, a groundwater sustainability agency shall hold at least one public meeting, at which oral or written presentations may be made as part of the meeting....(3) At least 10 days prior to the meeting, the groundwater sustainability agency shall make available to the public data upon which the proposed fee is based.” 2. Public Meetings/Hearings Stakeholder involvement included regularly scheduled public meetings of the Board, Advisory Committee meetings, and workshops to provide input during development of the GSP. In addition to signing up to receive information about GSP development at the SABGSA webpage, interested parties participated in the development of the GSP by attending and participating in public meetings (Water Code § 10727.8[a]). Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans, and proposals. During development of the GSP, topics associated with each chapter were presented at various Board meetings to keep the Board and public informed about the progress of the GSP and to obtain input as the GSP was being prepared. Each meeting had a scheduled time for public comments. Information about the meetings can be found on the SABGSA website: https://sanantoniobasingsa.org/. 3. Stakeholder Briefings Regular meetings of the Advisory Committee facilitated technical review of GSP progress and allowed for increased opportunity for discussion and input. Advisory Committee members met with and communicated regularly with organizations made up of the stakeholder groups they represent. To facilitate cohesive communication and messaging, all briefings were coordinated with SABGSA staff. All meetings are open to the public and stakeholder groups","2-18
2-23","
1. Environmental Stakeholders identified? YES
3. Evidence/strategies listed for level of engagement
Documents methods of engagement made available to all stakeholders.,  Do include envirnmental interests in the committee but needs more details on how environmental interests were represented. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,"Outreach Methods The communication and engagement plan (see Appendix C) describes the approach that was taken for outreach. Outreach methods included facilitating the public’s access to information and documents through the SABGSA’s website and email distribution list, as well as making information available, where needed, in hard copy form. For instance, SABGSA used already-established outreach venues in the Basin’s predominantly rural, agricultural community, such as community posting locations for placement and/or distribution of informational materials (e.g., flyers or posters). Locations for posting of materials included LACSD, CRCD, Los Alamos Public Library, and the Los Alamos Post Office. Public meetings and project information were disseminated through email or direct mail, as requested. This communication provided information for the Basin community, public agencies, and other interested persons/organizations about milestones, meetings, and the progress of GSP development. The SABGSA would have invited participation of federally recognized Indian tribes sharing the interest of sustainability of the groundwater agency, as required by SGMA, but there are no federally recognized tribes within the Basin. Some of the outreach methods employed for this project are described below.

1. Public Notices To ensure that the general public is apprised of local activities and allow stakeholders to access information, SGMA specifies several public notice requirements for GSAs. All meetings, hearings, and workshops were noticed in compliance with the Ralph M. Brown Act.9 As outlined below, there were a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board of Director and Advisory Committee meetings, and through written comments. In addition to open meeting requirements, three sections of the California Water Code require public notice before establishing a GSA, adopting (or amending) a GSP, or imposing or increasing fees:  Section 10723(b). “Before electing to be a groundwater sustainability agency, and after publication of notice pursuant to § 6066 of the Government Code, the local agency or agencies shall hold a public hearing in the county or counties overlying the basin.” In accordance with California Water Code § 10723(b), the following occurred: on May 10 and May 16, 2017, at the duly noticed public meetings of the LACSD and the CRCD, respectively, the two agencies approved the JPA creating the GSA. On June 14, 2017, SABGSA held a noticed public hearing to consider becoming a GSA for the San Antonio Basin and voted to become such a GSA. The June 14, 2017, public hearing was noticed in the Santa Maria Times in accordance with Government Code § 6066.  Section 10728.4. “A groundwater sustainability agency may adopt or amend a groundwater sustainability plan after a public hearing, held at least 90 days after providing notice to a city or county within the area of the proposed plan or amendment. …”  Section 10730(b)(1). “Prior to imposing or increasing a fee, a groundwater sustainability agency shall hold at least one public meeting, at which oral or written presentations may be made as part of the meeting....(3) At least 10 days prior to the meeting, the groundwater sustainability agency shall make available to the public data upon which the proposed fee is based.” 2. Public Meetings/Hearings Stakeholder involvement included regularly scheduled public meetings of the Board, Advisory Committee meetings, and workshops to provide input during development of the GSP. In addition to signing up to receive information about GSP development at the SABGSA webpage, interested parties participated in the development of the GSP by attending and participating in public meetings (Water Code § 10727.8[a]). Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans, and proposals. During development of the GSP, topics associated with each chapter were presented at various Board meetings to keep the Board and public informed about the progress of the GSP and to obtain input as the GSP was being prepared. Each meeting had a scheduled time for public comments. Information about the meetings can be found on the SABGSA website: https://sanantoniobasingsa.org/. 3. Stakeholder Briefings Regular meetings of the Advisory Committee facilitated technical review of GSP progress and allowed for increased opportunity for discussion and input. Advisory Committee members met with and communicated regularly with organizations made up of the stakeholder groups they represent. To facilitate cohesive communication and messaging, all briefings were coordinated with SABGSA staff. All meetings are open to the public and stakeholder groups",2021-02-22 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

Although this plan documents general outreach plan to stakeholders, DACs were not  officially identified as stakeholders for this Basin, so unsure if this would be a somewhat or  a no. Leaning towards a no because the way the spectrum has been interpreted this far has been if DACs are listed as stakeholder but no specific plan for DACs is included, instead a general plan is included, it is safe to say DACs are part of the stakeholder pool. 

"
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",No,"Outreach Methods The communication and engagement plan (see Appendix C) describes the approach that was taken for outreach. Outreach methods included facilitating the public’s access to information and documents through the SABGSA’s website and email distribution list, as well as making information available, where needed, in hard copy form. For instance, SABGSA used already-established outreach venues in the Basin’s predominantly rural, agricultural community, such as community posting locations for placement and/or distribution of informational materials (e.g., flyers or posters). Locations for posting of materials included LACSD, CRCD, Los Alamos Public Library, and the Los Alamos Post Office. Public meetings and project information were disseminated through email or direct mail, as requested. This communication provided information for the Basin community, public agencies, and other interested persons/organizations about milestones, meetings, and the progress of GSP development. The SABGSA would have invited participation of federally recognized Indian tribes sharing the interest of sustainability of the groundwater agency, as required by SGMA, but there are no federally recognized tribes within the Basin. Some of the outreach methods employed for this project are described below.

1. Public Notices To ensure that the general public is apprised of local activities and allow stakeholders to access information, SGMA specifies several public notice requirements for GSAs. All meetings, hearings, and workshops were noticed in compliance with the Ralph M. Brown Act.9 As outlined below, there were a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board of Director and Advisory Committee meetings, and through written comments. In addition to open meeting requirements, three sections of the California Water Code require public notice before establishing a GSA, adopting (or amending) a GSP, or imposing or increasing fees:  Section 10723(b). “Before electing to be a groundwater sustainability agency, and after publication of notice pursuant to § 6066 of the Government Code, the local agency or agencies shall hold a public hearing in the county or counties overlying the basin.” In accordance with California Water Code § 10723(b), the following occurred: on May 10 and May 16, 2017, at the duly noticed public meetings of the LACSD and the CRCD, respectively, the two agencies approved the JPA creating the GSA. On June 14, 2017, SABGSA held a noticed public hearing to consider becoming a GSA for the San Antonio Basin and voted to become such a GSA. The June 14, 2017, public hearing was noticed in the Santa Maria Times in accordance with Government Code § 6066.  Section 10728.4. “A groundwater sustainability agency may adopt or amend a groundwater sustainability plan after a public hearing, held at least 90 days after providing notice to a city or county within the area of the proposed plan or amendment. …”  Section 10730(b)(1). “Prior to imposing or increasing a fee, a groundwater sustainability agency shall hold at least one public meeting, at which oral or written presentations may be made as part of the meeting....(3) At least 10 days prior to the meeting, the groundwater sustainability agency shall make available to the public data upon which the proposed fee is based.” 2. Public Meetings/Hearings Stakeholder involvement included regularly scheduled public meetings of the Board, Advisory Committee meetings, and workshops to provide input during development of the GSP. In addition to signing up to receive information about GSP development at the SABGSA webpage, interested parties participated in the development of the GSP by attending and participating in public meetings (Water Code § 10727.8[a]). Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans, and proposals. During development of the GSP, topics associated with each chapter were presented at various Board meetings to keep the Board and public informed about the progress of the GSP and to obtain input as the GSP was being prepared. Each meeting had a scheduled time for public comments. Information about the meetings can be found on the SABGSA website: https://sanantoniobasingsa.org/. 3. Stakeholder Briefings Regular meetings of the Advisory Committee facilitated technical review of GSP progress and allowed for increased opportunity for discussion and input. Advisory Committee members met with and communicated regularly with organizations made up of the stakeholder groups they represent. To facilitate cohesive communication and messaging, all briefings were coordinated with SABGSA staff. All meetings are open to the public and stakeholder groups",,"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? 

Similar dilema as above for DACs. Although they note briefly that there is a spot on the advisory committee for environmental interests, they do not mention whether the advisory committee will play a role in implementaiton. More information is needed on the environmental interesets represented on the advisory committee, as well as whether the committee will continue to play a role in implementation. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix C: Communication and Engagement,Title: Communication and Engagement
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,,,"1. Location on the map? (yes/no) NO
2. Identified by name? (yes/no) NO
3. DAC places, tracks, or block data used in map?"
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
"
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
GSP does not document size of population for DACs. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location. "
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"2.2.3.2 Existing Well Types, Numbers, Density [§ 354.8(f)(4)] There are several different well types in the basin including agricultural, municipal, and domestic wells. Figures 2-2, 2-3, and 2-4 present the number and density of agricultural, municipal, and domestic wells in the Basin based on available data from DWR. The location and status (active, inactive, destroyed) of the wells shown on the maps have not been verified.","Figure 2-4
2-13","1. How are domestic wells mapped (density/point/none)?
Domestic Wells are mapped using a density map. "
