Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,GSP Information,Answer,Unnamed: 8,Unnamed: 9,Unnamed: 10
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"This GSP was developed with input from the public. The GSAs reached out to the public by developing  a website and a list interested parties. The GSAs sought input from the stakeholders by notifying them of  the status via newsletters (both English and Spanish) and direct mailer post cards. The GSAs developed  information materials and held at over 40 public meetings (both at board and city councils and monthly technical committee meeting), workshops, and contact by trusted messengers to connect with hard-to- reach stakeholder groups. 
The public had opportunities to comment directly on this GSP during individual releases of draft chapters  followed by another opportunity to comment on the Public Draft GSP. If a comment was specific to an individual section of the GSP, the GSP text was revised. General comments that raised substantial technical or policy issues may have resulted changes to multiple GSP sections. Comments that were general in nature or that did raise substantial issues were noted, but no changes were made.
&&
A description of the beneficial uses and users of groundwater in the basin, including the land uses and  property interests potentially affected by the use of groundwater in the basin, the types of parties representing those interests and the nature of consultation with those parties. 
Beneficial users and uses of groundwater were identified and engaged by the GSAs based on the place-  and interest-based categories described in SGMA and codified in Water Code Section 10723.2:
Disadvantaged communities, including, but not limited to, those served by private domestic  wells or small community water systems
Beneficial users and uses representing these categories and nature of consultation with these users are further described below and identified in Table 11-1.
&&
The GSAs conducted variety of outreach activities to provide opportunities for interested parties and stakeholders to stay informed and engaged in the development of the GSP. These activities sought to build public awareness of the GSAs and SGMA and to actively engage key stakeholder groups to coordinate and collaborate on technical issues important for GSP development. Outreach activities included:  Public Meetings: The primary way for members of the public to provide input on development of the GSP was by attending and providing public comment at regular GSP Coordination Committee and Technical Committee meetings. In addition, GSA representatives and consultant staff conducted periodic presentations at public meetings of the GSA governing bodies and organizations and agencies representing beneficial users in the Subbasin. These meetings are described in more detail in Chapter 11.4 – List of Public Meetings. 
 GSP Development Workshops: In support of GSP development, the GSAs hosted public workshops aimed at informing members of the public about key GSP topics and to solicit input on technical content and draft GSP chapters. These workshops are described in more detail about Chapter 11.4.2 – Public Workshops. 
 Partnerships with Trusted Messengers: The Subbasin GSAs utilized partnerships with trusted messengers in the Subbasin to broaden the dissemination of SGMA information and connect with hard-to-reach stakeholder groups. This included disseminating information through the Mountain House Community Services District, San Joaquin Farm Bureau Federation, Sikhs of Tracy, and Stockton East Water District.","ES-10
11-1, 11-2
Table 11-1 in Page 11-3
11-8","GSP documents how different stakeholders were given the opportunity to engage in GSP development. The table cited here docuemnts how DAc were engaged including being a part of the GSPCoordination meetings and public workshops hosted by the GSA committee. Access to GSP development was also accessible for spanish speaking commmunities 
Level of Engagement = Involve"
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"3.3.3 California Native American Tribes
There are no tribal lands within the Subbain. 

A description of the beneficial uses and users of groundwater in the basin, including the land uses and  property interests potentially affected by the use of groundwater in the basin, the types of parties representing those interests and the nature of consultation with those parties. 
Beneficial users and uses of groundwater were identified and engaged by the GSAs based on the place-  and interest-based categories described in SGMA and codified in Water Code Section 10723.2:
California Native American Tribes

11.2.9 California Native American Tribes
There are no California Native American Tribes with tribal lands loacted within the Subbasin. ","3-4
11-1 and 11-2
11-6",GSP documents several times that there are no California Native American Tribes within the subbasin. 
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","environment, stakeholder, environmental beneficial user",Yes,"A description of the beneficial uses and users of groundwater in the basin, including the land uses and  property interests potentially affected by the use of groundwater in the basin, the types of parties representing those interests and the nature of consultation with those parties. 
Beneficial users and uses of groundwater were identified and engaged by the GSAs based on the place-  and interest-based categories described in SGMA and codified in Water Code Section 10723.2:
Environmental users of groundwater
Surface water users, if there is a hydrologic connection between surface water bodies and groundwater
Beneficial users and uses representing these categories and nature of consultation with these users are further described below and identified in Table 11-1.
&&
Organizations representing environmental and ecosystem interests in Subbasin include the CDFW, California Sportfishing Protection Alliance, and TNC. Representatives from the California Sportfishing Protection Alliance and TNC are included in the Interested Parties Database. Representatives from organizations representing environmental uses of groundwater were provided the opportunity to participate in monthly meetings and public workshops and provide comment on draft GSP chapters.

&&

The GSAs conducted variety of outreach activities to provide opportunities for interested parties and stakeholders to stay informed and engaged in the development of the GSP. These activities sought to build public awareness of the GSAs and SGMA and to actively engage key stakeholder groups to coordinate and collaborate on technical issues important for GSP development. Outreach activities included:  Public Meetings: The primary way for members of the public to provide input on development of the GSP was by attending and providing public comment at regular GSP Coordination Committee and Technical Committee meetings. In addition, GSA representatives and consultant staff conducted periodic presentations at public meetings of the GSA governing bodies and organizations and agencies representing beneficial users in the Subbasin. These meetings are described in more detail in Chapter 11.4 – List of Public Meetings. 
 GSP Development Workshops: In support of GSP development, the GSAs hosted public workshops aimed at informing members of the public about key GSP topics and to solicit input on technical content and draft GSP chapters. These workshops are described in more detail about Chapter 11.4.2 – Public Workshops. 
 Partnerships with Trusted Messengers: The Subbasin GSAs utilized partnerships with trusted messengers in the Subbasin to broaden the dissemination of SGMA information and connect with hard-to-reach stakeholder groups. This included disseminating information through the Mountain House Community Services District, San Joaquin Farm Bureau Federation, Sikhs of Tracy, and Stockton East Water District.","11-2 and 11-2
Table 11-1
11-5
11-8","Table 11-1 identifies thrree stakeholders listed under Environmental Users of Groundwater including California Department of Fish and Wildlife, California Sportfishing Protection Alliance, and The Nature Conservacy and documents that they were given the opportunity to engage through workshops, access to public omments, and the ability to participate in monthly meetings. 

Level of Engagement = Involve"
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"
Outreach Tools:The GSAs used several tools to support communication and engagement activities with stakeholders in the Subbasin. These tools include the following: 
 Subbasin Website: The Subbasin website (tracysubbasin.org) is the primary location for beneficial users and interested parties to stay informed about GSP development and opportunities for engagement. The website serves a repository for public workshop and meeting materials,  outreach collateral, draft and final GSP chapters and appendices, and other key documents. During GSP development, members of the public could review and provide comments on draft GSP 4616 chapters using a virtual public comment form. The public comment process is described further in Chapter 11.5 – GSP Comments and Responses. 
 Interested Parties Database: Pursuant to the requirements of SGMA, the GSAs developed and maintained an Interested Parties Database (Database). Beneficial users and members of the public can self-subscribe to the Database by signing up on the Tracy Subbasin website. The Database is used to notify beneficial users of public meetings and workshops, opportunities for public comment, and other GSA outreach actions. It is also used to distribute meeting agendas and other  key materials. 
 Newsletter: The GSAs distributed a biannual electronic newsletter to keep interested parties informed about GSP development, opportunities for public engagement, and groundwater management issues or news of regional importance. The newsletter was distributed to the  Interested Parties Database and copies are housed on the Subbasin website. 
 Informational Materials: The GSAs developed a suite of materials aimed at informing interested parties about topics related to SGMA and GSP development. These materials include a fact sheet,  frequently asked questions, and recorded presentations on SGMA and sustainable management  criteria.",2021-11-07 00:00:00,The GSP documents stakeholder outreach which included several tools of communication  and other engagement activities. This would be a somwehat since they are broad in their stakeholder language and listed DAC as stakeholders previously. 
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","environment, stakeholder, environmental beneficial user",Somewhat,"
Outreach Tools:The GSAs used several tools to support communication and engagement activities with stakeholders in the Subbasin. These tools include the following: 
 Subbasin Website: The Subbasin website (tracysubbasin.org) is the primary location for beneficial users and interested parties to stay informed about GSP development and opportunities for engagement. The website serves a repository for public workshop and meeting materials,  outreach collateral, draft and final GSP chapters and appendices, and other key documents. During GSP development, members of the public could review and provide comments on draft GSP 4616 chapters using a virtual public comment form. The public comment process is described further in Chapter 11.5 – GSP Comments and Responses. 
 Interested Parties Database: Pursuant to the requirements of SGMA, the GSAs developed and maintained an Interested Parties Database (Database). Beneficial users and members of the public can self-subscribe to the Database by signing up on the Tracy Subbasin website. The Database is used to notify beneficial users of public meetings and workshops, opportunities for public comment, and other GSA outreach actions. It is also used to distribute meeting agendas and other  key materials. 
 Newsletter: The GSAs distributed a biannual electronic newsletter to keep interested parties informed about GSP development, opportunities for public engagement, and groundwater management issues or news of regional importance. The newsletter was distributed to the  Interested Parties Database and copies are housed on the Subbasin website. 
 Informational Materials: The GSAs developed a suite of materials aimed at informing interested parties about topics related to SGMA and GSP development. These materials include a fact sheet,  frequently asked questions, and recorded presentations on SGMA and sustainable management  criteria.",,The GSP documents stakeholder outreach which included several tools of communication  and other engagement activities. This would be a somwehat since they are broad in their stakeholder language and listed environmetal users as stakeholders previously. 
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"Stakeholder community and engagement plan, beneficial user",No,"The GSAs utilized a variety of tools and activities to encourage the active involvement of diverse social, cultural, and economic elements of the population within the Subbasin. These activities were guided by the Tracy Subbasin Communication and Engagement Plan, which is provided in Appendix P. The activities identified in the Communication and Engagement Plan were adapted in accordance with state and local social distancing requirements resulting from the COVID-19 pandemic.","11-7
Appendix P","GSP documents there is a Public Outreach Plan and directly reference Appendix P, however Appendix P is not completed and the page reads""To be Completed"""
Martha,,,DACs,1,"Does the GSP identify each DAC by name and location on a map? Please indicate in the Notes whether DAC places, tracks, or block data were used.","Disadvantaged Communit*, DAC",Yes,DACs and Severely Disadvantaged Communities (SDACs) are present in the Subbasin (DWR 2018). Figure 3-9 show their locations. Most are located within rural areas of the Delta as well as some along the San Joaquin River in the non-Delta areas. Some are located within the cities of Lathrop and Tracy where municipal water service is available.,"3-17
Figure 3-9
Table 11-1","GSP provides a map of DAC and SDAC locations (Figure 3-17), and provides Table 11-1 which identifies DACs by census tracts. "
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"tribal, tribe",Not Applicable,,,
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"Disadvantaged Communit*, DAC, population",No,,,GSP does not identify population size or any estimates of population of DACs
Martha,,,DACs,2,Does the GSP map the location of all domestic wells by location and by depth?,domestic well,Yes,Rural area residents typically have domestic wells and rely upon groundwater (De minimis extractor). Domestic well use of groundwater is not shown on Figure 3-10 but the general distribution across the Subbasin is shown on Figure 3-13.,"3-22
Figure 3-14
",Figure 3-14 shows the minimum depth of domestic wells per mile and provides an opporimate location of the wells around the basin. 
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,domestic well,Yes,Figure 3-13. Density of Domestic Wells Per Square Mile,Figure 3-13,Figure 3-13 shows the density of domestic wells per mile within the basin and within the same map outlines the DAc and SDAC locations in red. 
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"Problem constituents (constituents of concern [COCs]) include: • In the non-Delta portion of the Subbasin (generally south of the Old River) TDS, nitrates, boron, chloride, and sulfate (GEI 2007). In addition to these constituents, localized areas of manmade  contamination, including trihalomethanes, volatile organic compounds (solvents), and gasoline are  present. In the City of Lathrop, uranium and PFASs are present in the groundwater above their MCLs. 2090 • In the Delta portions of the Subbasin (generally north of the Old River), the key COCs are  dissolved organic carbon, methyl mercury, and salts which originate from the oxidation of drained peat soils (Hydrofocus 2015). • Domestic wells are present in both Delta and non-Delta regions of the Subbasin. Water quality test  results from domestic wells are very limited. Where public supply well water quality data is available it can be used as a proxy for domestic well water quality, but most domestic wells obtain water from shallow aquifers while public supply wells are typically constructed into deeper aquifers. Approximately 25 percent of domestic wells may have water quality risks for one or more constituents with an MCL. Four constituents (arsenic, 1,2,3- TCP, nitrate, and gross alpha 2099 [radioactive elements]) account for 80 percent of elevated water quality risk (State Water Board SAFER Workshop 2020). Tracy Subbasin Groundwater Sustainability Plan Chapter 5 5-36 PUBLIC DRAFT Testing for EDB, DBCP, and simazine in the Subbasin have been at less than detectable levels, except  near the former Occidental Chemical site, based on Geotracker database 2009 through 2013 (Hydrofocus 2103 2015). No further assessment for pesticides was performed during GSP development, other than for 1,2,3  TCP
Figures 5-20 through 5-28 show the most recent analyses and distribution of these elements in the Subbasin by principal aquifer. Where multiple nested wells are present at a single location, only the  shallowest well water quality is shown. The most recent analysis was extracted from the datasets for each well to demonstrate current conditions. The analyses dates range from 1944 to 2020. Appendix H provides a detailed list of the water quality analyses and wells used to create the figures. The figures show:   Salinity as represented by TDS (Figure 5-20) is high in both the Upper and Lower aquifers with a few areas with good quality water.  Elevated concentrations of chloride (Figure 5-21) and sulfate (Figure 5-22) are present in the  Upper aquifer but do not show a distinct pattern. Chloride and sulfate concentrations in the Lower aquifer are quite variable. Chloride concentrations are for the most part all low except for one deep nested monitoring well located on the east side of Tracy (not shown on Figure 5-20) where the most recent concentration is 460 mg/L. Elevated concentrations of sulfate are present near the foothills potentially as a results of recharge water originating from the Coast Ranges. Nitrate (Figure 5-23) concentrations are low in the basin and other than a few wells, nitrate does not appear to be adversely impacting water quality. Elevated concentrations of arsenic (Figure 5-24) are only in the Upper aquifer and within the Delta area and not in the Lower aquifer. Boron (Figure 5-25) is present in the Upper aquifer. Most elevated concentrations are present in the non-Delta areas and in the northern portions of the Delta area.  Elevated concentrations of iron and manganese (Figures 5-26 and 5-27) are found randomly in the Subbasin in both aquifers. Elevated concentrations of manganese appear to be more prevalent  in the Upper aquifer in the Delta area.  1,2,3 TCP (Figure 5-28) was detected in both the Upper and Lower aquifers, but at concentrations  below the MCL.","Page 5-35 / 5.6.1
figure 5-20 thru 5-28
Table 5-1
Appendix H","They have listed the COC's spatially and temporally since. Table 5-1 summerizes the data gathered In appendix H; they have dated sampling date clearly with latitude and longitude of the sampling location. 
COC's: TDS, chloride, sulfate, Nitrate, 1,2,3 TCP are high but lower than MCL, arsenic, boron, (Iron and manganese are found randomly at high levels?!)"
Martha,,,DACs,2,"Does the GSP identify the sources of water for DACs (e.g., what percentage is supplied by groundwater?","Disadvantaged Communit*, DAC",Yes, ,"3-8
3-22
Figure 3-10","GSP identifies water sources for DAC specifically and in another section they identify the sources of water throughout the basin through using a map (Figure 3-10) and discuss the water supply of urban and rural residents which could include DAC communities,. When comparing the DAC location map(Figure 3-9) with the map that describes water sources (Figure 3-10), it shows most DACs revieve surface water supply from municipal systems or smaller local systems, a small potion of DAC rely on a mixture of sruface and groundwater. "
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. ","Interconnected surface water, ISW, gaining, losing",Somewhat,"Interconnected surface water refers to surface water that is hydraulically connected at any point by acontinuous saturated zone to the underlying aquifer and the overlying surface water is not completely depleted (CCR 2014). The groundwater elevation map for the Upper aquifer provides an initial indication of whether the rivers and creeks are interconnected or disconnected in the Tracy Subbasin. For purposes of this GSP the rivers and creeks were assumed to be interconnected to the aquifers when the depth to water is less than 20 feet bgs. Delta Area: In general, surface water and groundwater are interconnected along the San Joaquin and Old rivers, channels, and within the Delta islands portion of the Tracy Subbasin. Monitoring wells were constructed in the Subbasin at various locations along the rivers and creeks. The monitoring wells may be used with river gage stations to evaluate the interconnectedness of surface water and groundwater from a groundwater-level aspect. Figure 5-41 shows the locations of these monitoring wells that are close to surface water gaging stations. Appendix K contains the hydrographs from the wells along with surface water elevations. These monitoring wells prove the relationship that, when the depth to water is less than 20 feet of ground surface, the surface water can be inferred to be interconnected to the Upper aquifer. Non-Delta Area: As discussed in Chapter 4 – Hydrogeologic Conceptual Model, the non-Delta area of the Subbasin are the lands south of the Old River and Tom Paine Slough, where ground surface is higher in elevation and groundwater surface elevations are lower. The creeks in these areas are perennial, not flowing year-round,and therefore the surface water in this area is not considered to be interconnected to groundwater.",Page 5-72 / 5.9 && Figure 5-40,"Very short and vague analysis. No model used directly for ISWs (a model is used in the water budget section to predict future surace water depletion). Groundwater elevations in comparison to stream elevations used to spatially assess ISWs. Surface water was considered connected if depth to groundwater near stream was less than 20 feet. Figure 5-40 shows where coupled surface water and groundwater was monitored (only 5 locations). The figure does not highlight surface water at all, and does not describe gaining or losing reaches. The hydrographs have various temporal scales, but no discussion of temporal interconnection. Non-delta portion of basin was not assessed because of perennial flow - this is a mistake as there could still be ISWs for portions of the year. Only data from center of basin used and no information on well screening depth, which is important since the plan claims there are two principle aquifers in portions of the basin."
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","Interconnected surface water, ISW, gaining, losing",No," In general, surface water and groundwater are interconnected along the San Joaquin and Old rivers, channels, and within the Delta islands portion of the Tracy Subbasin. Monitoring wells were constructed in the Subbasin at various locations along the rivers and creeks. &&  As discussed in Chapter 4 – Hydrogeologic Conceptual Model, the non-Delta area of the Subbasin are the lands south of the Old River and Tom Paine Slough, where ground surface is higher in elevation and groundwater surface elevations are lower. The creeks in these areas are perennial, not flowing year-round,and therefore the surface water in this area is not considered to be interconnected to groundwater.",Page 5-72 / 5.9 && Figure 5-40,"Conclusion that delta area is interconnected ""in general"", but no details on gaining or losing. Lack of data to make any claims. No aerial photographs or supporting data used. The non-delta area is dismissed and said to be not connected but there is no data to back this up."
Becky,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","principal aquifer, shallow ",Somewhat,For purposes of this GSP the rivers and creeks were assumed to be interconnected to the aquifers when the depth to water is less than 20 feet bgs.,Page 5-72 / 5.9 ,"""the aquifers"" are mentioned, and groundwater elevations are used, but no clear description of each principal aquifer"
Becky,,,Environment,2,Were data gaps identified when mapping ISWs?,"Interconnected surface water, ISW",Yes,"Groundwater conditions in the Tracy Subbasin have been investigated and documented since the early  20th century and through the present. Data collection may be improved with the following monitoring network enhancements: • Construction of monitoring wells screened in the Lower aquifer near the west side of the Subbasin  will confirm the presence of the Corcoran Clay and provide additional groundwater level control  in this area.  • Purchase and installation of transducers into monitoring wells 03S06E22H001M,   01S05E31R0002M and ORL-1W to improve the correlation of groundwater to surface water.  Currently, groundwater levels in monitoring wells near gaging stations are only being measured  semi-annually whereas surface water gages are monitored every 15 minutes. The difference in  frequency makes it difficult to correlate groundwater and surface water data which is necessary  for assessment of surface water depletion.",Page 5-78 / 5.11,Data gaps identified in section immediately following ISWs and GDEs
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","Interconnected surface water, ISW, data gap",No,,,No decription or map of potential ISWs
Becky,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",No,"
The distribution of freshwater fish and wildlife species that may be dependent on GDEs is not well known and is not included in this analysis. A list of threatened and endangered species that may be in the Tracy Subbasin or its waterways is provided in Appendix L.",Page 5-76 / 5.10,"The plan states that the species dependent on GDEs are not well known and not included in the analysis. Lists of threatened and endandgered species that 'may' be in the Tracy basin were included in appendix I, but the GSA put no effort into identifying specific species in basin's GDEs."
Becky,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"
Potential GDEs were identified from NCCAG Vegetation and Wetlands mapping are shown on 
Figure 5-42. 

&&2419
All potential GDEs identified from NCCAG were kept at this time but
may be revisited in the future.",Page 5-76 / 5.10 && Figure 5-42 (but actually Figure 5-41),
Becky,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",No,Most potential GDEs are located adjacent to the San Joaquin River and other waterways and within the  Delta islands and as such are supported by both surface water and groundwater. No further assessments were made to better quantify potential or actual GDEs. Few potential GDEs are located in the non-Delta  areas where depths to groundwater are greater than 20 feet and may be evaluated in the future to more  clearly demonstrate whether the GDEs are groundwater dependent,Page 5-76 / 5.10,No depth to groundwater used. No assessment of GDEs.
Becky,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)Other?  If so, please specify in the Notes. ","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",Yes,All potential GDEs identified from NCCAG were kept at this time but may be revisited in the future.,Page 5-76 / 5.10,"No assessment done to verify NC dataset GDEs, but all potential GDEs from the NCCAG were kept."
Becky,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",No,,,No groundwater data used to verify GDEs.
Becky,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",No,,,No groundwater data used to verify GDEs.
Becky,,,Environment,2,Were data gaps identified when mapping GDEs?,"groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Yes,The areas (NCCAG dataset) identified as GDEs have not been validated. Evaluation of GDEs through a detailed depth to water evaluation should be performed.,Page 5-78 / 5.11,The lack of evaluation of GDEs is listed as a data gap in data gap section after GDE section
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",Yes,"Most potential GDEs are located adjacent to the San Joaquin River and other waterways and within the Delta islands and as such are supported by both surface water and groundwater. No further assessments were made to better quantify potential or actual GDEs. Few potential GDEs are located in the non-Delta areas where depths to groundwater are greater than 20 feet and may be evaluated in the future to more
clearly demonstrate whether the GDEs are groundwater dependent",Figure 5-41,All of the NC dataset polygon GDEs are included and described as potential GDEs.
Lauren,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","water budget, native vegetation, phreatophyte",Yes,"Cites C2VSimFG model report for details of the model, this was in the report: ""C2VSimFG divides all land use types into four principal classifications (non-ponded agriculture, ponded agriculture, urban, and native vegetation) and 28 operational land use categories. Within agricultural lands, individual components exist for non-ponded crops (e.g. alfalfa, orchards, corn, etc.) and for ponded crops (e.g. rice and managed wetlands). Within the native component, water use is estimated separately for native (e.g. upland) vegetation and riparian vegetation. These components are depicted in Figure 56.""

 && ""Evapotranspiration: The C2VSim model includes monthly evapotranspiration rates for each agricultural crop, urban landscaping, and native vegetation across each of the model’s 21 subregions and 210 small stream watershed groups. Evapotranspiration data has undergone multiple iterations during model development and calibration""",pg 113 & 138 of DWR report cited in GSP: https://data.cnra.ca.gov/dataset/c2vsimfg-version-1-0 ,The water demands (ET) of native vegation is included in the C2VSimFG model that the GSP uses to create the water bugets
