Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"1.8.8 Disadvantaged Communities 
There are several communities within the Yucaipa Subbasin that DWR has mapped as Disadvantaged Communities (DAC) and Severely Disadvantaged Communities (SDAC) based on median household income within community census tracts, blocks, and places as shown in Figure 1-13 (https://gis.water.ca.gov/app/dacs/). These communities rely on water supplied by the water purveyors operating in the Plan Area. The majority of the areas designated as DAC and SDAC are within either the City of Yucaipa or the City of Calimesa. Members of these communities are represented on the Yucaipa GSA by both their City representative and their water suppliers. Though not presently reflected in the DWR DAC Mapping Tool, South Mesa's service area has recently been recognized by DWR as a SDAC.

&&

5.4 Disadvantaged Communities
There are several communities within the Subbasin that DWR has mapped as Disadvantaged Communities (DAC) and Severely Disadvantaged Communities (SDAC) based on median household income within community census tracts, blocks, and places as shown in Figure 3. The majority of the areas designated as DAC and SDAC are within either the City of Yucaipa or the City of Calimesa. Members of these communities are represented on the Yucaipa SGMA by both their City representative and their water supplier. 

&&

5.1 Meeting Opportunities
The Yucaipa SGMA Board holds quarterly regular meetings the fourth Wednesday in January, April, July, and October to conduct routine business matters. During the development of the GSP, the Technical Advisory Group (TAG) will meet approximately monthly as needed. All Board and TAG meetings are open to the public and each meeting agenda includes an item where members of the public can speak to the Board. All meeting agendas and minutes are posted on the Yucaipa SGMA website (https://yucaipasgma.org). 

&&

5.2 Collaborative Opportunities
The Yucaipa-SMGA has taken an inclusive approach to groundwater management, making space on the Board for each of the local entities with water supply, water management, and or land use responsibility in the Yucaipa Subbasin that wanted to participate in the GSA. The Board understands that each interested party has an established relationship with their local water supplier that should continue through the development and implementation of the GSP. Each Board member is appointed by the  member agency and represents the constituents in their jurisdiction. In addition to the Yucaipa SGMA Board member agencies, representatives from the City of Calimesa, the County of Riverside and the County of San Bernardino participated in the formation of the Yucaipa SGMA and are committed to continued involvement as representatives of their stakeholder interests. Due to this uniquely inclusive Board structure, Yucaipa SGMA views each Board member and stakeholder representative as an ambassador of their own jurisdiction, representing their interests in the Yucaipa SGMA meetings. 

&&

A Regional Water Management Group, also known as the Basin Technical Advisory Committee, was formed to implement and update the IRWM. The Basin Technical Advisory Committee consists of water agencies and other stakeholders. The Basin Technical Advisory Committee prepares an annual water management plan, which tracks certain metrics from the IRWM such as groundwater level data, groundwater storage levels, and liquefaction potential. It also provides recommended thresholds for groundwater recharge to help prevent liquefaction and migration of groundwater contamination plumes.

&&

Yucaipa GSA has provided ongoing and innovative opportunities for stakeholders to engage in the GSP development process. Yucaipa GSA has provided public notices of upcoming meetings to interested parties through monthly electronic emails. The meetings notices have provided information on the date, time and place for each meeting, and how the public may participate in the meeting. Due to the spread of COVID-19 in early 2020 and the Governor’s Executive Order N-29-20 on March 17, 2020, “a local legislative body or state body is authorized to hold public meetings via teleconferencing and to make public meetings accessible telephonically or otherwise electronically to all members of the public seeking to observe and to address the local legislative body or state body.” N-29-20 effectively waived the requirements in the Bagley-Keene Act and the Brown Act requiring the physical presence of members of the public to participate at public meetings. Accordingly, Yucaipa GSA stated in the monthly electronic notices of upcoming meetings after March 17, 2020, the following, “Due to the spread of COVID-19 and in accordance with the Governor’s Executive Order N-29-20, this meeting will be conducted by teleconference only. There will be no location available to attend this meeting in person.” To which the notices provided links to view in real-time the meeting online, and links to view the meeting agenda, meeting packet (both as a PDF and online). The notices also provided a telephone number for the public to call in and participate during the meeting. Monthly updates and opportunities for public comment were provided at Yucaipa GSA Board Meetings and workshops. Meeting agendas and minutes are available on the Yucaipa GSA website (yucaipasgma.org). The Preliminary Draft GSP was made available to the public to review and provide comments on the Yucaipa GSA website on November 1, 2021. The draft GSP was available online for a 30-day public comment period. Yucaipa GSA encouraged active participation from stakeholders through two community engagement meetings (April 28, 2021, and November 1, 2021).","1-46
Appendix 1-C, Page 10, 6
1-30
1-47","1. DAC's identified? (yes/no): Yes, the GSP notes that the City of Yucapia and City of Calimesa have higher density of DACs within their boundaries. 
2. If yes, which level of engagment: Inform, Consult
3. Evidence/strategies listed for level of engagement: 
Although the GSP has identified DACs, it is unclear if DACs are represented on an advisory board. The GSP does document DACs being represented on Yucapia SGMA by both their city representative and water supplier. 

Note to Katherine & Lauren: Still unsure if city and water supplier representation is enough for a YES, will check with Courtney. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"5.3 Opportunities for Tribal Communities 
According to the DWR Water Management Planning Tool, as of January 2019, there are no tribal trust lands within the Yucaipa Subbasin as shown in Figure 2. Although there are no federally recognized tribes, Indian land currently or historically held in Trust by the United States Government or smaller Reservation areas within the Yucaipa Subbasin, the Yucaipa SGMA encourages participation from all stakeholders including tribal communities within the watershed.","Appendix 1-C, Page 10","1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"1.8.6 Environmental Users 
Environmental users of groundwater are concentrated in the GDEs and potential GDEs described further in Chapter 2. Yucaipa GSA has included GDEs in its evaluation of sustainable yield and has incorporated the interests of environmental users in the development of the GSP.",,"
1. Environmental Stakeholders identified? GDEs and potential GDEs are identified as enviornmental users. Was not able to find more information about specific enviornmental organizations and representation listed other than GDEs. 
2. Which level of engagment:
3. Evidence/strategies listed for level of engagement:"
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Notification and communication regarding the development of the Yucaipa Subbasin GSP takes place in the following four key phases:
1. Initial Notification
2. GSP Development
3. Draft GSP Review and Comment
4. GSP Implementation

The Draft GSP Review and Comment phase will include the formal public comment period for the Draft GSP and response to comments, as discussed in Section 1.9.1, Summary of Comments and Responses. The GSP
Implementation notification and communication period will begin once the Yucaipa GSA submits the final GSP to DWR and will include engagement with the public and beneficial users regarding the progress of monitoring and reporting updates on the GSP to DWR, establishment of fees, and the development and implementation of management strategies, including projects as needed.",1-42 / 1.7.1 ,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

GSP mostly focuses on outreach during development but does include statements such as ""Notification and communication regarding the development of the Yucaipa Subbasin GSP takes place in the four key phases: GSP Implementation"". Mostly making references that GSP notification and outreach will be ongoing through implementation. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Notification and communication regarding the development of the Yucaipa Subbasin GSP takes place in the following four key phases:
1. Initial Notification
2. GSP Development
3. Draft GSP Review and Comment
4. GSP Implementation

The Draft GSP Review and Comment phase will include the formal public comment period for the Draft GSP and response to comments, as discussed in Section 1.9.1, Summary of Comments and Responses. The GSP
Implementation notification and communication period will begin once the Yucaipa GSA submits the final GSP to DWR and will include engagement with the public and beneficial users regarding the progress of monitoring and reporting updates on the GSP to DWR, establishment of fees, and the development and implementation of management strategies, including projects as needed.",1-42 / 1.7.1 ,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

GSP mostly focuses on outreach during development but does include statements such as ""Notification and communication regarding the development of the Yucaipa Subbasin GSP takes place in the four key phases: GSP Implementation"". Mostly making references that GSP notification and outreach will be ongoing through implementation."
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,A public outreach and engagement plan was developed for the development of the Yucaipa Subbasin GSP (Appendix 1-C).,"1-46
Appendix 1-C",Title: PUBLIC OUTREACH AND ENGAGEMENT PLAN
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"1.8.8 Disadvantaged Communities 
There are several communities within the Yucaipa Subbasin that DWR has mapped as Disadvantaged Communities (DAC) and Severely Disadvantaged Communities (SDAC) based on median household income within community census tracts, blocks, and places as shown in Figure 1-13 (https://gis.water.ca.gov/app/dacs/). These communities rely on water supplied by the water purveyors operating in the Plan Area. The majority of the areas designated as DAC and SDAC are within either the City of Yucaipa or the City of Calimesa. Members of these communities are represented on the Yucaipa GSA by both their City representative and their water suppliers. Though not presently reflected in the DWR DAC Mapping Tool, South Mesa's service area has recently been recognized by DWR as a SDAC.

&&

5.4 Disadvantaged Communities
There are several communities within the Subbasin that DWR has mapped as Disadvantaged Communities (DAC) and Severely Disadvantaged Communities (SDAC) based on median household income within community census tracts, blocks, and places as shown in Figure 3. The majority of the areas designated as DAC and SDAC are within either the City of Yucaipa or the City of Calimesa. Members of these communities are represented on the Yucaipa SGMA by both their City representative and their water supplier. ","1-45
Appendix 1-C, Page 10
Figure 3, Figure 1-13","1. Location on the map? (yes/no) YES, Figure 3 on Appendix 1-C
2. Identified by name? (yes/no) Identifies as the of City of Yucaipa or the City of Calimesa having the most DACs within the subbasin. 
3. DAC places, tracks, or block data used in map?
DAC places, tracts, and block data all used to map. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,"1.8.7 California Native American Tribes
According to the U.S. Bureau of Indian Affairs California Tribal Homelands and Trust Land Map, as of January 2019,
there are not currently any federally recognized Indian Tribes, Indian land currently or historically held in trust by
the U.S. government, or smaller Reservation or Rancheria areas in the Yucaipa Subbasin (Figure 1-12).

&&

5.3 Opportunities for Tribal Communities 
According to the DWR Water Management Planning Tool, as of January 2019, there are no tribal trust lands within the Yucaipa Subbasin as shown in Figure 2. Although there are no federally recognized tribes, Indian land currently or historically held in Trust by the United States Government or smaller Reservation areas within the Yucaipa Subbasin, the Yucaipa SGMA encourages participation from all stakeholders including tribal communities within the watershed.

","1-45
Appendix 1-C, Page 10","1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
"
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Somewhat,"5.4 Disadvantaged Communities
There are several communities within the Subbasin that DWR has mapped as Disadvantaged Communities (DAC) and Severely Disadvantaged Communities (SDAC) based on median household income within community census tracts, blocks, and places as shown in Figure 3. The majority of the areas designated as DAC and SDAC are within either the City of Yucaipa or the City of Calimesa. Members of these communities are represented on the Yucaipa SGMA by both their City representative and their water supplier. 

&&


1.4.1.4.1 City of Calimesa The City of Calimesa was incorporated in 1990 and encompasses approximately 14.9 square miles (9,536 acres) in Riverside County. The population in 2019 was estimated at 9,160 (US Census Bureau 2019) residents. Water service in the City is provided by South Mesa and YVWD. The City of Calimesa is located in Riverside County within the SGPWA service area.","Appendix 1-C, Page 10
Chapter 1: 1-14","1. Does the GSP document the size of the population for each DAC?
The City of Calimesa has been identified as having most of the identified DACs within the subbasin along with the City of Yucaipa. On a seperate part of the GSP, a population for the city of Calimesa is recorded as 9,160 residents in 2019. Although the GSP has identified the City of Calimesa as having a lot of DACs present, it would be helpful to take it one step further and explicitly mention the DAC population within the basin that  would include those present in the City of Yucaipa. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?

Does not map domestic wells and no reference to domestic wells or well depth. "
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,,Chapter 2: Figure 2-17,"1. How are domestic wells mapped (density/point/none)?
Domestic wells are not mapped. The GSP includes Figure 2-17 which maps well locations and well owners within the Yucapia Subbasin, none of the wells mapped are marked as domestic wells, they are either production wells or monitoring wells. "
