Unnamed: 0,GENERAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",No,,,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:


No mention of  Tribes or Tribal lands or the lack of Tribal lands in the Plan Area. Usually if there are no tribal lands, GSPs will mention that under federal lands and state there are no tribal lands within the plan area. Clarificaton is needed. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",No,"Users of groundwater have been identified as landowners, agricultural operations (including farms, dairies, and  food processors), rural residents, managed and natural wetlands, commercial and industrial users, incorporated cities and communities, unincorporated communities, and State facilities. These beneficial users of groundwater have been identified as stakeholders for public outreach activities in the Subbasin.

&&

Public Engagement Opportunities In addition to routinely scheduled YSGA meetings, further outreach and engagement opportunities were conducted, which included special workshops and outreach meetings. Details of additional public engagement opportunities are included in the following section.","1-32
1-33","
1. Environmental Stakeholders identified? Managed and natural wetlands are the only listed environmental  users. No other details of orgs or grups are provided. 
2. Which level of engagment: Engagement=General Stakeholder Inform
3. Evidence/strategies listed for level of engagement:

Although the GSP has documented some engagement opportunities, I do not believe that this small section of text explaining these engagement activies are enough. The GSP does not even have a Communications & Engagement Pla to further explain. Information about environmental users and stakeholders is lacking, more detail is needed. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

No mention of DAC anywehere in the GSP text. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",No,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? 

No mention of Tribes or  Tribal lands or the lack of Tribal lands in the Plan Area. Usually if there are no tribal lands, GSPs will mention that under federal lands and state there are no tribal lands within the plan area. "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",No,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

The GSP does not include any outreach plan to environmental stakeholders during GSP implementation. Only provdes VERY VAGUE plan for engagement during development. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",No,,,"Does not include seperate section for Stakeholder Communications & Engagement Plan, only briefly reviews their plan in section 1.5.5."
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",No,,,"1. Location on the map? (yes/no)
2. Identified by name? (yes/no)
3. DAC places, tracks, or block data used in map?

No mention of DACs in GSP. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)

No mention of Tribes in Plan Area. "
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",No,,,"1. Does the GSP document the size of the population for each DAC?
No reference of DAC in GSP. "
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
Map does not include depth by location. 
"
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,,Figure 1-7,"1. How are domestic wells mapped (density/point/none)?
Density map is used. "
WQ,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"Salinity – Basinwide Conditions Electrical conductivity (EC) can be used to characterize salinity in Yolo Subbasin. Figure 2-25 shows the maximum recorded EC in groundwater quality monitoring wells from 2000 to 2004, collected as part of the AB 303 Groundwater Management Assistance Act Program. In the shallow groundwater zone, average EC ranges from around 480 μmhos/cm near Buckeye and Zamora, to over 1,450 μmhos/cm in the Lower Cache-Putah and Southern Sacramento River areas (YCFCWCD, 2004). High EC in the shallow zone is also observed in southern portions of the Capay Valley. Intermediate groundwater EC values are similar to the shallow zone, in the vicinity of Davis and Woodland. The deep groundwater zone, though limited to the Davis and Lower Cache- Putah areas, display lower EC values than the intermediate and shallow groundwater zones. &&&
TDS data were obtained from 603 wells, which were described in the Groundwater Quality Assessment Report ([GAR] NCWA, 2016), and are presented in Figure 2-26. The GAR provides available data as of 2014. The GAR distributions generally agree with results mentioned above, as TDS is elevated in the agricultural areas surrounding Woodland and Davis and the Capay Valley. However, these data show additional pockets of elevated TDS, including areas near Clarksburg and Knight’s Landing.Recent data (2000 to 2016) have been collected for the Central Valley Salinity Alternatives for Long-Term Sustainability database (NCWA, 2019) and display similar concentration trends to the AB 303 and GAR data discussed above. In the shallow groundwater zone, TDS is high (>1000 milligrams per liter [mg/l] or ppm) across a large portion of the eastern Subbasin, overlying West Sacramento, Davis, and Woodland. TDS values are also elevated in the Capay Valley. TDS is generally lower in the deeper groundwater zone, though patches of elevated TDS are present near Madison and north of Woodland, and concentrations in Capay Valley are uniformly above 500 mg/l.&&&
Nitrate – Basinwide Conditions Figure 2-28 shows the maximum observed nitrate concentrations in groundwater quality monitoring wells, collected from 2000 to 2004 as part of the AB 303 Groundwater Management Assistance Act Program. Nitrate (as NO3) averages in the shallow groundwater zone range from about 16 ppm near Buckeye and Zamora to 64 ppm in the Southern Sacramento River area (YCFCWCD, 2004). Nitrate poses a significant threat to human health and therefore is subject to a primary drinking water standard. The maximum contaminant level (MCL) is 45 ppm as nitrate (NO3) or 10 ppm as nitrogen (N).&&&
Boron – Basinwide Conditions Figure 2-32 and Figure 2-33 display maximum observed boron measurements in groundwater quality monitoring wells for 1951 to 2004. This compilation was part of the AB 303 Groundwater Management Assistance Act Program. Average boron concentrations for the shallow groundwater zone ranged from about 660 micrograms per liter (ug/L) in the Western Yolo area to 2,300 ug/L in the Capay Valley area. The Capay Valley has been identified as particularly high in boron, and hosts a disparate range of boron concentrations, ranging from 392 to 9,490 ug/L. The second highest average shallow boron concentration (1,600 ug/L) was present in the Lower Cache-Putah area (YCFCWCD, 2004).&&&
Arsenic – Basinwide Conditions Figure 2-34 shows arsenic data compiled for samples collected from 1951 to 2004 as part of the AB 303 Project. Although the data are limited due to high detection limits and sampling quantity, results are useful in the identification of potential arsenic trends in the Subbasin. The limitations were discussed in the full report (YCFCWCD, 2004). Maximum arsenic detection values from 1951 to 2004 are displayed on Figure 2-34. Arsenic was not typically detected in the shallow groundwater zone, while concentrations range up to 6.4 ug/L in the intermediate zone. Arsenic detections in the deep groundwater zone are slightly higher, ranging up to 10 ug/L. The distribution of arsenic across the Subbasin illustrates some possible patterns of distribution. However, the high detection limit(s) of the older analyses may have actually omitted an area(s) of naturally-occurring arsenic at very low concentrations. In general, concentrations increase from the west to the east of the Subbasin, possibly correlated with increased thickness of the Tehama formation. Historical arsenic results in the Capay Valley and Western Yolo area show mostly non-detects and low concentrations up to 2.5 ug/L. Arsenic trends relatively higher in the area between Woodland south to Davis, exhibiting a greater prevalence of values between 2.5 and 5 ug/L. Near Davis, arsenic concentrations can range from 5 to 10 ug/L.&&&
Chromium / Hexavalent Chromium – Basinwide Conditions Total chromium (chromium III and chromium VI) data were compiled for samples collected from 1951 to 2004 as part of the AB 303 Project and are displayed on Figure 2-35. While the following discussion focuses on total chromium, it should be noted that hexavalent chromium, when detected, generally occurred at lower concentrations than chromium (YCFCWCD, 2004). Historical total chromium data in the Capay Valley and Western Yolo areas were generally non-detects or up to 10 ug/L. Chromium levels were relatively high in the area between Woodland and Davis, which exhibited a greater prevalence of values between 10 and 50 ug/L. Total chromium was particularly elevated near the City of Davis, where results ranged between 25 and 50 ug/L. It is possible that chromium concentrations decrease with depth, as maximum detected chromium decreases from 71 ug/L to 31 ug/L between the intermediate and deep groundwater zones respectively. Existing data are not sufficient to pinpoint trends in chromium concentration over time. &&&
Manganese – Basinwide Conditions Maximum manganese detections were compiled for samples collected from 1951 to 2004 as part of the AB 303 Project and are displayed on Figure. The distribution of high manganese is quite scattered, with few obvious patterns present in the data (YCFCWCD, 2004). Pockets of high concentration (>0.05 mg/L) exist between West Sacramento and Davis and in the vicinity of Davis. The Western Yolo area displays elevated concentrations along Cache Creek and east of I-505 between Madison and Winters. Near the City of Davis, manganese concentration appears to increase with depth, and is especially high to the north and east of the Davis area. (YCFCWCD, 2004). Historical data are not sufficient to establish significant increasing or decreasing trends. &&& 
Selenium – Basinwide Conditions Maximum detected selenium data were compiled for samples collected from 1969 to 2004 as part of the AB 303 Project and are displayed on Figure. Relatively high detection limits were common for the older analyses so non-4 detects may have omitted an area(s) of low concentration selenium (YCFCWCD). Nevertheless, some general selenium trends can be gleaned from the data. Elevated concentrations of selenium were historically present in the lower Cache-Putah area, particularly near Davis and generally range from 10-50 ug/L. Conversely, selenium is quite low in the Capay Valley and Western Yolo areas, where concentrations range up to 10 ug/L.&&&

","Figure 2-24 thru 2-39
Table 2-10 thru 2-15
Page 2-65 /2.2.4.4
Page 2-70 / 2.2.4.4
Page 2-77 / 2.2.4.4
Page 2-80 / 2.2.4.4
Page 2-81 /2.2.4.4
Page 2-85 / 2.2.4.4
","1. Are all concerning constituents identified as COC's, Yes/No -->which ones? Yes, EC, TDS, nitrate, boron, arsenc, manganese, selenium, hexavelant chromium, (The GSP just considers, nitrate, Salinity, TDS, Boron, Hexavelant Chromium as COC's)
2. Are the COC's mapped? Yes 
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Almost all constitutes are of concern
5. Is there a data gap/ Or not enough data related COC's? No

Figures need to be regraphed for better clarification, although everything is graphed but it seems like they have been copied from other sources which has lower the resolution and quality. 
They haven't included figure number in text for Manganese (It is figure 2-36)
The graphs are for 2000 to 2016, I was wondering if they have evaluated groundwater quality more recently.


"
WQ,,,DACs,2,Does the GSP identify the water source for DACs?,"No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Community*, DAC",No,,,No mention of DAC throughout GSP. 
ISW/GDE,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Figure 2-47 characterizes the connection of the major streams in the Subbasin to groundwater. The methodology for this analysis is adapted from The Nature Conservancy’s ICONs map, available at icons.codefornature.org (TNC, 2021). Based on the principles of groundwater-surface water interaction described above, the minimum groundwater elevation from water years 2006-2015 was intersected with the stream surface elevations. Stream surface is estimated from a 1-meter resolution DEM. Gaining, losing, uncertain, and disconnected reaches are calculated according to Table 2-16.

 Most major water bodies in the Subbasin are connected to groundwater. The following section provides an overview of the state of local knowledge regarding the major connected water bodies, including:Sacramento River area Putah Creek area   Cache Creek area  Other Canals, Sloughs, and Streams in the Yolo Subbasin
 && Quantification and Timing of Depletion of Interconnected Surface Waters: The quantity and timing of depletions of interconnected surface waters is described by the YSGA Model. Table 2-17 Error! Reference source not found. summarizes the average annual stream seepage values in thousand acre-feet. Figure 2-48 and Figure 2-49 illustrate the seasonal variability of stream gains and losses as depicted in the Model. Generally, gains are greater and losses are less in the spring than in the fall due to elevated  groundwater levels.

 && The modeling team worked with Yolo County Flood Control and Water Conservation District staff to identify 174 monitoring wells throughout the study area that have: a multi-decade record of observations during the study period of Water Years 1971 – 2018, a known w ell depth, and a known location and ground surface elevation. The wells are distributed throughout the County but do not provide uniform coverage of all regions (Figure 3-9). The Central Yolo, Capay Valley, and North Yolo management areas have the densest coverage of wells, largely due to the long running data collection efforts by the Yolo County Flood Control and Water Conservation district. The Clarksburg and South Yolo management areas have relatively few observation wells. The Dunnigan Hills management area has the largest area without any observation wells. This includes the Dunnigan Hillls, Buckeye Creek, Bird Creek, and Oat Creek sub-regions. Due to the lack of available observation data in some regions, the requirement that a well have multiple decades of observations was relaxed in some cases. The focus was on wells with multiple observations during the final two decades of the simulation period.

&& Groundwater levels and trends are uncertain in some areas like in north-west Yolo. Although groundwater observations are scarce in areas close to Sacramento R. as well, there is widespread knowledge that water levels are shallow there. Additionally, surface elevations and screening depths are uncertain, and in many cases, missing. The latter point made it challenging to ascertain which aquifer layer was being pumped.","Page 2-103 and 104 / 2.2.6.1

&& Page 2-109 / 2.2.7 

&& Page 79 / appendix D

&& Page 89 / appendix D

Figure 2-47
Figure 2-48
Figure 2-49
Table 2-16","1. Is there a clear map of ISWs? yes - figure 2-47 presents the connected gaining, connected losing, uncertain segments, and disconnected surface water segments. 
2. Was temporal variability used and described? Yes, groundwaterdata from 2006-2015 was used. The plan presents the temporal variability of ISWs in figures 2-48 and 2-49, which show the average monthly spring simulated seepage and average monthly fall seepage, respectively.
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? somewhat - the plan does a fairly thorough job describing the model in appendix D (including the spatial distribution of groundwater monitoring and surface water monitoring points), but there is uncertainty around the screening depths of the wells used in the model. There are different aquifer systems and even perched aquifers described in the ISW section. There should be more details on the screening depths of the well used in the model. The plan recognized in the uncertainty section (3.3 - page 89) that screening depths are not widely known."
ISW/GDE,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"Most major water bodies in the Subbasin are connected to groundwater. The following section provides an overview of the state of local knowledge regarding the major connected water bodies, including:Sacramento River area Putah Creek area  Cache Creek area  Other Canals, Sloughs, and Streams in the Yolo Subbasin",Page 2-103 and 104 / 2.2.6.1,"1. Are ISWs mapped in the basin? yes
2. Is the mapping consistent with the assessment? yes - the plan identifies most surface water as connected and points out where uncertainties exist. This is well done with the available data. As the plan states, more can be done in the future to fill data gaps"
ISW/GDE,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged; shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (or related appendix)  (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowledged (in ISW section or related appendix)= yes","principal aquifer, shallow ",Yes,"Putah Creek channel lies on a perched alluvial fan, with no tributaries to the Creek as it flows eastward from the  Winters, CA to the east of Highway 80.

&& The Cache Creek channel is located on a perched alluvial fan, also like Putah Creek, so there are no tributaries to the Creek east of Esparto, CA, except for the Salisbury Spill at Gordon Slough.

&& As detailed in Table 2-1,the aquifer system was represented by three layers which generally correspond to alluvium in the shallow zone (#1), upper Tehama Formation or intermediate and deep zones (#2) and the
 lower Tehama Formation or deepest zone (#3).

&& Groundwater within the Subbasin occurs under water table or unconfined conditions in the shallow zone and possibly semi-confined conditions with increasing depth.","Page 2-104 / 2.2.6.2

&& Page 2-107 / 2.2.6.2

&& Page 2-8 / 2.1.3.4

&& Page 2-10 / 2.1.3.4","1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? somewhat - the ISW section references perched shallow aquifers, but does not specifically acknlowedge the shallow zone #1 (described in principal aquifer section)
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes
"
ISW/GDE,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Yes,"During the summer, losing and gaining reaches create dry and wet sections. Wetted sections caused by gaining reaches can generally be found in the vicinities of I-505, Moore’s Siphon, and County Road 94B. There is no regular monitoring program that has documented gaining and losing reaches over time. Stream gages on Cache Creek are spaced too far apart to be useful to determine gaining and losing stretches.

&& Information about groundwater levels in the area
11
and the timing and quantity of flow in the creeks is limited and considered a data gap of this GSP.","Page 2-108 / 2.2.6.2 

&& Page 2-109 / 2.2.6.2 ","1. Were data gaps identified? yes 
2. Were the data gaps identified in the ISW section? yes"
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",Somewhat,,Figure 2-47,"1. Is there a map AND description of pISW? somewhat- figure 2-47 presents the ""uncertain"" areas in the ISW assessment but does not label as pISWs. Also, there is not a clear description of pISWs in the text."
ISW/GDE,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Somewhat,"To further understand groundwater dependent ecosystems in the Yolo Subbasin, additional ecologic data was compiled. The California Freshwater Species Database was utilized to inventory species present in each GDE Unit/HUC 12. The total number of freshwater species, the number of listed species, the number of vulnerable species, and the number of endemic species present in the California Freshwater Species Database is shown in Table 2-20. Additionally, CDFW ‘s ACE Species Biodiversity dataset [ds2769] was used to summarize the GDE Units in the Yolo Subbasin . The biodiversity dataset combines three measures of biodiversity: Native species richness. Rare species richness. Irreplaceability, a weighted measure of endemism. This dataset displays biodiversity relative to the whole state of California (Gogol-Prokurat, 2018). Figure 2-54 displays the State Biodiversity Rank within the Yolo Subbasin. The State Biodiversity value “ranks of 1-5 assigned to the statewide normalized biodiversity values, with all zero values removed and remaining values broken into 5 quantiles” (Gogol-Prokurat, 2018). Figure 2-54 Table 2-20, as well as the underlying data can be used as proxies to better understand, characterize, and inventory ecological conditions within the Yolo Subbasin","Page 2-123 / 2.2.7.4

Table 2-20
Figure 2-54","1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types (in GDE section or related appendix)? Somewhat- the plan does not go into any detail on the flora and fuana in the basin's GDEs other than a table which presents the count of species, listed species, vulernable species, and endemic species. 
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? Somewhat - count of number of listed species in the basin's GDEs, but no mention of type or name of species."
