GSP_ID,GSP,Human Answers,Rocs_gpt41ft_trial5_20260426_100420
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,NotApplicable,0.85
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,No,0.85
14,East Contra Costa,Yes,0.85
14,East Contra Costa,No,0.85
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.85
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.85
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.85
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,No,0.85
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.85
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.85
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.85
15,Fillmore,Yes,0.15000000000000002
15,Fillmore,NotApplicable,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,Yes,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,No,0.85
15,Fillmore,Yes,0.85
15,Fillmore,Yes,0.15000000000000002
15,Fillmore,NotApplicable,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,Yes,0.85
15,Fillmore,Yes,0.85
15,Fillmore,Yes,0.85
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,No,0.85
15,Fillmore,No,0.85
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.85
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.85
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.85
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.85
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.85
30,Sonoma,Yes,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Somewhat,0.85
30,Sonoma,No,0.85
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Somewhat,0.85
30,Sonoma,No,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,No,0.85
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,NotApplicable,0.15000000000000002
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,No,0.85
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
