GSP_ID,GSP,Human Answers,Rocs_gpt41ftv3_trial5_20260426_214837
30,Sonoma,Somewhat,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,No,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,No,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,0.25
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,No,1.0
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,NotApplicable,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,No,1.0
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,No,0.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
