GSP_ID,GSP,Human Answers,Rocs_gpt4o_trial5_20260504_094753
15,Fillmore,Yes,0.0
15,Fillmore,Yes,0.5
15,Fillmore,NotApplicable,0.0
15,Fillmore,Yes,1.0
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,1.0
15,Fillmore,Yes,0.85
15,Fillmore,Yes,1.0
15,Fillmore,Yes,1.0
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.4
15,Fillmore,No,0.4
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.0
15,Fillmore,Somewhat,0.25
15,Fillmore,No,0.4
15,Fillmore,No,0.25
15,Fillmore,No,0.25
15,Fillmore,No,0.85
15,Fillmore,Somewhat,0.4
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.85
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.85
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.0
15,Fillmore,No,0.0
15,Fillmore,No,0.25
15,Fillmore,Somewhat,0.85
15,Fillmore,No,0.25
15,Fillmore,No,0.85
15,Fillmore,Yes,0.75
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
30,Sonoma,Somewhat,1.0
30,Sonoma,Yes,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,NotApplicable,0.0
30,Sonoma,Yes,0.75
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,0.0
30,Sonoma,Yes,0.25
30,Sonoma,Somewhat,1.0
30,Sonoma,Yes,0.25
30,Sonoma,Somewhat,1.0
30,Sonoma,Yes,0.25
30,Sonoma,No,0.15000000000000002
30,Sonoma,NotApplicable,0.0
30,Sonoma,Yes,1.0
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.75
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,1.0
30,Sonoma,Somewhat,0.25
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,No,0.85
30,Sonoma,Somewhat,0.25
30,Sonoma,No,0.0
30,Sonoma,NotApplicable,0.0
30,Sonoma,Somewhat,0.25
30,Sonoma,No,1.0
30,Sonoma,No,0.0
30,Sonoma,NotApplicable,0.0
30,Sonoma,No,0.25
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,Yes,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,No,0.0
30,Sonoma,No,0.25
30,Sonoma,Somewhat,0.85
30,Sonoma,No,0.0
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,1.0
30,Sonoma,Yes,1.0
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,Somewhat,0.75
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,0.0
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Somewhat,0.75
50,San Luis Obispo,NotApplicable,0.4
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.4
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,0.0
50,San Luis Obispo,No,1.0
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,No,0.0
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.85
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Somewhat,0.0
50,San Luis Obispo,No,0.0
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,Somewhat,1.0
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.0
50,San Luis Obispo,No,0.0
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
