Human Answers,Rocs_o3_20260312_114324,GSP
No,0.15000000000000002,Fillmore
No,0.25,Fillmore
Yes,0.85,Fillmore
Somewhat,0.25,Fillmore
Somewhat,0.15000000000000002,Fillmore
Yes,0.15000000000000002,San Luis Obispo
Somewhat,0.25,San Luis Obispo
Yes,0.25,San Luis Obispo
Somewhat,0.25,San Luis Obispo
Somewhat,0.25,San Luis Obispo
Yes,0.85,San Luis Obispo
Somewhat,0.25,San Luis Obispo
Yes,0.85,San Luis Obispo
Yes,1.0,San Luis Obispo
Somewhat,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Somewhat,0.85,San Luis Obispo
NotApplicable,0.85,San Luis Obispo
Yes,1.0,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Yes,1.0,San Luis Obispo
Yes,0.85,San Luis Obispo
Yes,0.4,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Somewhat,0.85,San Luis Obispo
Somewhat,0.15000000000000002,San Luis Obispo
Somewhat,0.85,San Luis Obispo
No,0.85,San Luis Obispo
Yes,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Somewhat,0.25,San Luis Obispo
No,0.85,San Luis Obispo
No,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
Somewhat,0.25,San Luis Obispo
No,0.25,San Luis Obispo
Yes,0.85,San Luis Obispo
Somewhat,0.25,San Luis Obispo
Yes,0.85,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
Somewhat,0.25,San Luis Obispo
No,0.25,San Luis Obispo
Yes,0.25,San Luis Obispo
Somewhat,0.85,San Luis Obispo
Somewhat,0.85,San Luis Obispo
Somewhat,0.75,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
Somewhat,0.25,San Luis Obispo
